Time,SpineBaseX,SpineBaseY,SpineBaseZ,SpineBaseTracked,SpineMidX,SpineMidY,SpineMidZ,SpineMidTracked,NeckX,NeckY,NeckZ,NeckTracked,HeadX,HeadY,HeadZ,HeadTracked,ShoulderLeftX,ShoulderLeftY,ShoulderLeftZ,ShoulderLeftTracked,ElbowLeftX,ElbowLeftY,ElbowLeftZ,ElbowLeftTracked,WristLeftX,WristLeftY,WristLeftZ,WristLeftTracked,HandLeftX,HandLeftY,HandLeftZ,HandLeftTracked,ShoulderRightX,ShoulderRightY,ShoulderRightZ,ShoulderRightTracked,ElbowRightX,ElbowRightY,ElbowRightZ,ElbowRightTracked,WristRightX,WristRightY,WristRightZ,WristRightTracked,HandRightX,HandRightY,HandRightZ,HandRightTracked,HipLeftX,HipLeftY,HipLeftZ,HipLeftTracked,KneeLeftX,KneeLeftY,KneeLeftZ,KneeLeftTracked,AnkleLeftX,AnkleLeftY,AnkleLeftZ,AnkleLeftTracked,FootLeftX,FootLeftY,FootLeftZ,FootLeftTracked,HipRightX,HipRightY,HipRightZ,HipRightTracked,KneeRightX,KneeRightY,KneeRightZ,KneeRightTracked,AnkleRightX,AnkleRightY,AnkleRightZ,AnkleRightTracked,FootRightX,FootRightY,FootRightZ,FootRightTracked,SpineShoulderX,SpineShoulderY,SpineShoulderZ,SpineShoulderTracked,HandTipLeftX,HandTipLeftY,HandTipLeftZ,HandTipLeftTracked,ThumbLeftX,ThumbLeftY,ThumbLeftZ,ThumbLeftTracked,HandTipRightX,HandTipRightY,HandTipRightZ,HandTipRightTracked,ThumbRightX,ThumbRightY,ThumbRightZ,ThumbRightTrackedKinect 2: 2.1986459, -0.1704372, -0.3949115, 1.709704, Tracked, -0.1634593, -0.08138192, 1.771771, Tracked, -0.1555413, 0.2199293, 1.818015, Tracked, -0.1186954, 0.3633359, 1.845029, Tracked, -0.3293928, 0.1074682, 1.76482, Tracked, -0.434595, -0.1402964, 1.746354, Tracked, -0.434502, -0.3577524, 1.652841, Tracked, -0.4340234, -0.4250152, 1.627906, Tracked, 0.03535819, 0.0939949, 1.835103, Tracked, 0.09940339, -0.1217006, 1.820652, Tracked, 0.06703128, -0.2784682, 1.676955, Tracked, 0.01578246, -0.3225, 1.636805, Tracked, -0.2508526, -0.3835181, 1.65519, Tracked, -0.2563515, -0.7140684, 1.593849, Tracked, -0.2379271, -1.113147, 1.557183, Inferred, -0.2089288, -1.132063, 1.418874, Inferred, -0.08279984, -0.3894445, 1.69122, Tracked, -0.02115369, -0.688485, 1.528849, Tracked, 0.05197505, -1.05978, 1.367059, Inferred, 0.07922128, -1.050856, 1.223925, Inferred, -0.1576855, 0.1461637, 1.80897, Tracked, -0.4203774, -0.5019785, 1.604836, Tracked, -0.3738722, -0.4015688, 1.606667, Tracked, 0.004840519, -0.3862278, 1.576548, Tracked, -0.01975195, -0.2895298, 1.609825, Tracked,
Kinect 2: 2.5979877, -0.04699768, -0.4380871, 1.824126, Tracked, -0.0205384, -0.1202938, 1.886167, Tracked, 0.005484376, 0.1860201, 1.932025, Tracked, 0.05719289, 0.3212631, 1.964904, Tracked, -0.1745106, 0.0871575, 1.862611, Tracked, -0.3020604, -0.1368285, 1.817656, Tracked, -0.3278618, -0.3209515, 1.679488, Tracked, -0.3376297, -0.3827673, 1.622518, Tracked, 0.1858989, 0.04129024, 1.961508, Tracked, 0.2316083, -0.1574431, 1.96065, Tracked, 0.1987545, -0.3193285, 1.831385, Tracked, 0.1532583, -0.3467221, 1.804398, Tracked, -0.1279362, -0.4146, 1.770323, Tracked, -0.1859182, -0.7202188, 1.65399, Tracked, -0.2765183, -1.099719, 1.544012, Inferred, -0.2530599, -1.106861, 1.401595, Inferred, 0.0357582, -0.443742, 1.803681, Tracked, 0.03784356, -0.7623233, 1.7624, Tracked, 0.02572342, -1.160497, 1.787631, Inferred, 0.05613351, -1.198943, 1.659559, Inferred, -0.0009444439, 0.1109094, 1.92316, Tracked, -0.3451815, -0.4416997, 1.58254, Tracked, -0.295444, -0.3829267, 1.660546, Tracked, 0.1257329, -0.4121488, 1.746688, Tracked, 0.1079806, -0.2867713, 1.771727, Tracked,
Kinect 2: 2.6335219, -0.0319458, -0.4405926, 1.834279, Tracked, -0.005021579, -0.1233478, 1.89578, Tracked, 0.02097442, 0.1825756, 1.941139, Tracked, 0.07796447, 0.3157646, 1.976548, Tracked, -0.1586258, 0.08690669, 1.871025, Tracked, -0.2836774, -0.1372631, 1.825797, Tracked, -0.2974637, -0.3182713, 1.695294, Tracked, -0.3050468, -0.3765204, 1.634343, Tracked, 0.2029549, 0.03627597, 1.976098, Tracked, 0.2434337, -0.1629813, 1.971287, Tracked, 0.207068, -0.3211774, 1.839556, Tracked, 0.1627862, -0.3614035, 1.805442, Tracked, -0.112739, -0.4166414, 1.778369, Tracked, -0.1773327, -0.7220014, 1.658555, Tracked, -0.2768435, -1.096176, 1.547137, Inferred, -0.252963, -1.103502, 1.404922, Inferred, 0.05019315, -0.446759, 1.81619, Tracked, 0.04856979, -0.7605879, 1.773064, Tracked, 0.02531518, -1.162798, 1.792532, Inferred, 0.05522122, -1.200382, 1.663952, Inferred, 0.01459942, 0.1075448, 1.932394, Tracked, -0.3181141, -0.437521, 1.585309, Tracked, -0.3077529, -0.4406979, 1.61425, Tracked, 0.1345257, -0.4288106, 1.750503, Tracked, 0.1172454, -0.3015727, 1.774786, Tracked,
Kinect 2: 2.6659061, -0.02096274, -0.4446514, 1.841026, Tracked, 0.009013561, -0.1277497, 1.904381, Tracked, 0.0382496, 0.1779351, 1.951934, Tracked, 0.09397954, 0.3105742, 1.987509, Tracked, -0.1439343, 0.08658849, 1.878803, Tracked, -0.2707605, -0.1356467, 1.830364, Tracked, -0.2783932, -0.3183781, 1.699244, Tracked, -0.271163, -0.3804189, 1.643637, Tracked, 0.2145957, 0.02955088, 1.986376, Tracked, 0.2540488, -0.1689078, 1.982965, Tracked, 0.218311, -0.3243594, 1.848858, Tracked, 0.1758954, -0.364567, 1.813242, Tracked, -0.1017253, -0.4193608, 1.783339, Tracked, -0.1702497, -0.7235623, 1.663891, Tracked, -0.2733327, -1.094115, 1.548079, Inferred, -0.2487617, -1.100671, 1.406191, Inferred, 0.06067719, -0.4521809, 1.824807, Tracked, 0.05623898, -0.7631751, 1.7809, Tracked, 0.02451127, -1.166581, 1.789631, Inferred, 0.05396995, -1.201531, 1.659972, Inferred, 0.03106018, 0.102948, 1.94261, Tracked, -0.2815728, -0.4391674, 1.589199, Tracked, -0.2264904, -0.3983808, 1.663, Tracked, 0.147775, -0.4317645, 1.758281, Tracked, 0.1275793, -0.3049021, 1.781118, Tracked,
Kinect 2: 2.6988723, -0.01067958, -0.447962, 1.845841, Tracked, 0.01998889, -0.1305631, 1.910698, Tracked, 0.04949476, 0.1757051, 1.959701, Tracked, 0.1116695, 0.3069182, 1.998655, Tracked, -0.1253986, 0.08283603, 1.886227, Tracked, -0.2549692, -0.1377507, 1.832762, Tracked, -0.2546628, -0.3338098, 1.692941, Tracked, -0.2486354, -0.395135, 1.642595, Tracked, 0.2299692, 0.02248706, 1.999496, Tracked, 0.2654088, -0.1759795, 1.994615, Tracked, 0.230287, -0.3276303, 1.856962, Tracked, 0.1869872, -0.3659542, 1.818302, Tracked, -0.09131268, -0.4212189, 1.786237, Tracked, -0.1635081, -0.7264308, 1.66763, Tracked, -0.2695863, -1.093393, 1.552167, Inferred, -0.2438043, -1.100303, 1.410779, Inferred, 0.07053432, -0.4569676, 1.83165, Tracked, 0.06283335, -0.7661867, 1.785272, Tracked, 0.02035406, -1.169343, 1.790616, Inferred, 0.04966787, -1.204262, 1.661172, Inferred, 0.04228515, 0.1005622, 1.950024, Tracked, -0.237414, -0.4601337, 1.605274, Tracked, -0.2044526, -0.394006, 1.633224, Tracked, 0.1586415, -0.430464, 1.762355, Tracked, 0.1381423, -0.3066106, 1.784167, Tracked,
Kinect 2: 2.7312057, 0.001983087, -0.4507197, 1.851048, Tracked, 0.03505513, -0.1330308, 1.918506, Tracked, 0.06693387, 0.1735858, 1.970451, Tracked, 0.1272797, 0.3032336, 2.00939, Tracked, -0.1117585, 0.0803349, 1.891229, Tracked, -0.2362048, -0.1392056, 1.833941, Tracked, -0.2324858, -0.3438582, 1.688821, Tracked, -0.2226986, -0.4051113, 1.642591, Tracked, 0.2435387, 0.01889282, 2.010676, Tracked, 0.2736544, -0.1795915, 2.007517, Tracked, 0.2439659, -0.3288382, 1.866852, Tracked, 0.203626, -0.3706781, 1.827256, Tracked, -0.07774311, -0.4233387, 1.790842, Tracked, -0.1562249, -0.7301848, 1.66909, Tracked, -0.2840169, -1.083722, 1.548132, Inferred, -0.2597359, -1.089594, 1.406303, Inferred, 0.08155752, -0.4600759, 1.837106, Tracked, 0.07090948, -0.7682702, 1.789699, Tracked, 0.01405533, -1.170031, 1.788791, Inferred, 0.0421876, -1.204406, 1.658908, Inferred, 0.05914512, 0.0983458, 1.960007, Tracked, -0.2157891, -0.4643682, 1.613387, Tracked, -0.1770871, -0.4070309, 1.636734, Tracked, 0.1758561, -0.432067, 1.772086, Tracked, 0.1573508, -0.3116996, 1.797857, Tracked,
Kinect 2: 2.7660061, 0.01778781, -0.4536356, 1.855494, Tracked, 0.04906506, -0.1351597, 1.925207, Tracked, 0.07916435, 0.1720885, 1.97915, Tracked, 0.1445744, 0.2994411, 2.01954, Tracked, -0.09543733, 0.07747848, 1.89724, Tracked, -0.2150386, -0.1384501, 1.830681, Tracked, -0.2004994, -0.3600812, 1.679799, Tracked, -0.1957318, -0.4102976, 1.643774, Tracked, 0.255319, 0.01537356, 2.019666, Tracked, 0.2812589, -0.1830245, 2.016025, Tracked, 0.2532674, -0.3308986, 1.874507, Tracked, 0.2157674, -0.3683998, 1.835857, Tracked, -0.06180057, -0.4257359, 1.79409, Tracked, -0.148384, -0.7332817, 1.668392, Tracked, -0.2676579, -1.087941, 1.557659, Inferred, -0.2418503, -1.095832, 1.416768, Inferred, 0.09661853, -0.4633953, 1.842665, Tracked, 0.0786263, -0.7689899, 1.793767, Tracked, 0.01038331, -1.170704, 1.788657, Inferred, 0.0374829, -1.204922, 1.65858, Inferred, 0.07182589, 0.09669843, 1.968225, Tracked, -0.187826, -0.4725845, 1.619029, Tracked, -0.1505351, -0.4113958, 1.64519, Tracked, 0.1892765, -0.4313329, 1.780736, Tracked, 0.1678815, -0.3095611, 1.802117, Tracked,
Kinect 2: 2.798962, 0.03627545, -0.4537379, 1.857994, Tracked, 0.06560977, -0.1352646, 1.92998, Tracked, 0.09374366, 0.1719413, 1.985993, Tracked, 0.1596275, 0.296424, 2.028221, Tracked, -0.08113202, 0.07599133, 1.9006, Tracked, -0.1908273, -0.130548, 1.830185, Tracked, -0.1780606, -0.3589534, 1.678044, Tracked, -0.1704576, -0.4095114, 1.637362, Tracked, 0.2677771, 0.01024599, 2.028197, Tracked, 0.2887077, -0.1877516, 2.025284, Tracked, 0.2622891, -0.3334045, 1.882368, Tracked, 0.2260218, -0.3694073, 1.841057, Tracked, -0.04507398, -0.4252279, 1.794586, Tracked, -0.1312021, -0.728521, 1.662516, Tracked, -0.2634207, -1.081971, 1.558201, Inferred, -0.2385998, -1.091623, 1.417797, Inferred, 0.116306, -0.4641477, 1.847289, Tracked, 0.0853638, -0.768428, 1.796719, Tracked, 0.01161814, -1.168666, 1.787441, Inferred, 0.03935361, -1.202368, 1.657546, Inferred, 0.08689991, 0.09656196, 1.974567, Tracked, -0.1592937, -0.4701985, 1.612356, Tracked, -0.1267921, -0.399665, 1.638417, Tracked, 0.1985874, -0.4282934, 1.784081, Tracked, 0.1790855, -0.311814, 1.805773, Tracked,
Kinect 2: 2.8319443, 0.05303802, -0.4533457, 1.859672, Tracked, 0.08183014, -0.1359619, 1.933988, Tracked, 0.1093327, 0.1701282, 1.992457, Tracked, 0.1738256, 0.2955547, 2.038379, Tracked, -0.0647568, 0.07518668, 1.903389, Tracked, -0.1761616, -0.1290206, 1.829055, Tracked, -0.1494054, -0.3529366, 1.673232, Tracked, -0.1411682, -0.4067757, 1.629742, Tracked, 0.2803442, 0.006242467, 2.037472, Tracked, 0.2975644, -0.1947996, 2.031319, Tracked, 0.267502, -0.3367925, 1.886148, Tracked, 0.2331237, -0.3741037, 1.84217, Tracked, -0.02722568, -0.4237316, 1.794938, Tracked, -0.1043386, -0.715652, 1.653555, Tracked, -0.2466583, -1.073917, 1.543651, Inferred, -0.2214223, -1.083341, 1.403558, Inferred, 0.1312409, -0.4647516, 1.850024, Tracked, 0.09081957, -0.7724914, 1.800059, Tracked, 0.01332143, -1.166498, 1.788136, Inferred, 0.04234564, -1.200147, 1.658839, Inferred, 0.102663, 0.09502686, 1.980405, Tracked, -0.1265042, -0.4650409, 1.604476, Tracked, -0.09563336, -0.3989636, 1.629889, Tracked, 0.2070455, -0.4332199, 1.785704, Tracked, 0.1846977, -0.3201138, 1.799643, Tracked,
Kinect 2: 2.8658532, 0.06990594, -0.4522353, 1.862495, Tracked, 0.09688, -0.1353884, 1.93884, Tracked, 0.1225557, 0.1702093, 1.999245, Tracked, 0.1916072, 0.2937313, 2.048501, Tracked, -0.0493575, 0.0743627, 1.906197, Tracked, -0.1572314, -0.1276157, 1.827897, Tracked, -0.129778, -0.3473112, 1.667446, Tracked, -0.1176901, -0.3995881, 1.62097, Tracked, 0.2953192, -0.0002605659, 2.048645, Tracked, 0.3067587, -0.2002604, 2.04169, Tracked, 0.2785019, -0.3417126, 1.896552, Tracked, 0.2460414, -0.3769161, 1.851065, Tracked, -0.009424642, -0.4212155, 1.795118, Tracked, -0.08859636, -0.7096754, 1.638072, Tracked, -0.2181649, -1.072347, 1.540845, Inferred, -0.1897935, -1.08515, 1.402687, Inferred, 0.1468841, -0.4650516, 1.855437, Tracked, 0.09777331, -0.7732615, 1.804152, Tracked, 0.01404539, -1.16355, 1.789418, Inferred, 0.0440545, -1.197461, 1.660761, Inferred, 0.1163476, 0.09522232, 1.986718, Tracked, -0.09973387, -0.4571909, 1.596386, Tracked, -0.07362273, -0.3854205, 1.618459, Tracked, 0.2217352, -0.4345055, 1.796058, Tracked, 0.1999805, -0.3174024, 1.812479, Tracked,
Kinect 2: 2.8998797, 0.08798867, -0.4483157, 1.865636, Tracked, 0.1134268, -0.134725, 1.942217, Tracked, 0.1376487, 0.1679478, 2.002974, Tracked, 0.2024186, 0.2927145, 2.055056, Tracked, -0.03138108, 0.07403966, 1.908123, Tracked, -0.1398965, -0.1254824, 1.825755, Tracked, -0.1095288, -0.3388706, 1.658099, Tracked, -0.096238, -0.3884666, 1.610516, Tracked, 0.3024083, -0.0005675309, 2.052043, Tracked, 0.3161402, -0.206768, 2.045927, Tracked, 0.2846444, -0.3756514, 1.875537, Tracked, 0.2469186, -0.3991062, 1.84094, Inferred, 0.009260841, -0.4156102, 1.793213, Tracked, -0.06179912, -0.689635, 1.620801, Tracked, -0.190696, -1.062081, 1.528397, Inferred, -0.1613869, -1.077352, 1.391582, Inferred, 0.164515, -0.4627995, 1.863883, Tracked, 0.1081399, -0.7721922, 1.806518, Tracked, 0.01258197, -1.156365, 1.790675, Inferred, 0.04126781, -1.191438, 1.662425, Inferred, 0.1318001, 0.09366347, 1.990355, Tracked, -0.07684409, -0.4453106, 1.583495, Tracked, -0.05220101, -0.3721152, 1.605125, Tracked, 0.2299387, -0.4650938, 1.799445, Tracked, 0.2047576, -0.357984, 1.797, Tracked,
Kinect 2: 2.9309379, 0.1089277, -0.4450359, 1.869166, Tracked, 0.1310684, -0.1335862, 1.944674, Tracked, 0.1518481, 0.1672454, 2.004529, Tracked, 0.2215804, 0.2881113, 2.060063, Tracked, -0.0176931, 0.07424995, 1.907784, Tracked, -0.1253917, -0.1251137, 1.822298, Tracked, -0.09468478, -0.331412, 1.646453, Tracked, -0.08159172, -0.3758923, 1.594588, Tracked, 0.3134688, -0.004887681, 2.055549, Tracked, 0.3259077, -0.2122871, 2.052047, Tracked, 0.2867398, -0.374558, 1.878477, Tracked, 0.244987, -0.4181689, 1.832442, Tracked, 0.03082215, -0.4102672, 1.790644, Tracked, -0.0298767, -0.6707665, 1.609131, Tracked, -0.1573442, -1.053654, 1.51238, Inferred, -0.1265465, -1.069551, 1.376068, Inferred, 0.1841458, -0.4617605, 1.873557, Tracked, 0.1245093, -0.7674201, 1.807586, Tracked, 0.008312283, -1.149215, 1.790437, Inferred, 0.03367666, -1.186284, 1.662014, Inferred, 0.1468685, 0.0933817, 1.992123, Tracked, -0.0605414, -0.4283405, 1.566926, Tracked, -0.04126681, -0.3504581, 1.587114, Tracked, 0.2208509, -0.4815664, 1.790136, Tracked, 0.2018988, -0.3697809, 1.78575, Tracked,
Kinect 2: 2.9658301, 0.1293675, -0.4430678, 1.872025, Tracked, 0.1484861, -0.1320589, 1.946685, Tracked, 0.1660515, 0.1681689, 2.005742, Tracked, 0.2354234, 0.2866606, 2.061301, Tracked, 0.002412244, 0.07390275, 1.905739, Tracked, -0.116979, -0.1217061, 1.817949, Tracked, -0.0814847, -0.3170656, 1.634184, Tracked, -0.07013652, -0.3648609, 1.580413, Tracked, 0.3236354, -0.008955834, 2.058129, Tracked, 0.3356748, -0.2160831, 2.05782, Tracked, 0.2926077, -0.3741543, 1.885576, Tracked, 0.2522811, -0.4168852, 1.837779, Tracked, 0.04927775, -0.4087501, 1.79058, Tracked, 0.002484008, -0.6610492, 1.597963, Tracked, -0.1147131, -1.053172, 1.513662, Inferred, -0.08092601, -1.073563, 1.379859, Inferred, 0.204152, -0.4596775, 1.87933, Tracked, 0.1499219, -0.7602392, 1.808151, Tracked, 0.02338329, -1.144542, 1.780199, Inferred, 0.04938975, -1.179969, 1.650868, Inferred, 0.161902, 0.09446627, 1.993532, Tracked, -0.05033999, -0.4145292, 1.55337, Tracked, -0.03480585, -0.3954417, 1.6474, Tracked, 0.2222582, -0.4776998, 1.791817, Tracked, 0.2058887, -0.3652762, 1.790259, Tracked,
Kinect 2: 2.9979759, 0.1449381, -0.4407717, 1.873668, Tracked, 0.1644262, -0.1309533, 1.947269, Tracked, 0.1822429, 0.1679983, 2.005216, Tracked, 0.2532426, 0.2844199, 2.061605, Tracked, 0.01557678, 0.07408886, 1.902584, Tracked, -0.1083055, -0.1158077, 1.813534, Tracked, -0.07799102, -0.2883449, 1.629346, Tracked, -0.06875976, -0.3450482, 1.565794, Tracked, 0.3336053, -0.01227396, 2.061257, Tracked, 0.3466654, -0.2214987, 2.062906, Tracked, 0.3272605, -0.3677215, 1.923854, Tracked, 0.2912742, -0.3965909, 1.877025, Tracked, 0.06522981, -0.4066267, 1.789112, Tracked, 0.03921424, -0.6460077, 1.589095, Tracked, -0.08682865, -1.039181, 1.525294, Inferred, -0.05534745, -1.068112, 1.39473, Inferred, 0.2193105, -0.457277, 1.884109, Tracked, 0.1949997, -0.7217382, 1.812235, Tracked, 0.06352255, -1.14891, 1.764203, Inferred, 0.08956361, -1.167985, 1.635416, Inferred, 0.178055, 0.09462409, 1.993292, Tracked, -0.04848814, -0.3950036, 1.533812, Tracked, -0.1150892, -0.3697394, 1.56825, Tracked, 0.2692848, -0.4658789, 1.826135, Tracked, 0.24736, -0.3646923, 1.829083, Tracked,
Kinect 2: 3.0328603, 0.1624023, -0.4418142, 1.877447, Tracked, 0.1789268, -0.1311003, 1.947309, Tracked, 0.1946884, 0.1686275, 2.002043, Tracked, 0.2693157, 0.2830324, 2.059459, Tracked, 0.03930038, 0.07334455, 1.895752, Tracked, -0.1003861, -0.109785, 1.808985, Tracked, -0.0781364, -0.2795044, 1.618846, Tracked, -0.07077265, -0.3316723, 1.548287, Tracked, 0.3482336, -0.01232517, 2.060011, Tracked, 0.3485863, -0.2541136, 2.062831, Tracked, 0.3643648, -0.3923746, 1.914952, Tracked, 0.3135142, -0.4060142, 1.883836, Inferred, 0.08557217, -0.4066022, 1.790023, Tracked, 0.06333566, -0.633742, 1.586946, Tracked, 0.01047763, -1.047157, 1.51034, Inferred, 0.05747847, -1.068484, 1.383749, Inferred, 0.2334788, -0.4593594, 1.890488, Tracked, 0.2181308, -0.7254883, 1.811869, Tracked, 0.08201825, -1.146157, 1.766216, Inferred, 0.09754846, -1.166167, 1.641559, Inferred, 0.1909373, 0.09506718, 1.990907, Tracked, -0.05410859, -0.3785696, 1.515938, Tracked, -0.1099585, -0.35412, 1.540821, Tracked, 0.2975771, -0.4459506, 1.853087, Tracked, 0.2982995, -0.3828579, 1.863714, Tracked,
Kinect 2: 3.0655054, 0.1702518, -0.4403233, 1.877753, Tracked, 0.1934523, -0.1300083, 1.946267, Tracked, 0.2165535, 0.1689569, 1.998622, Tracked, 0.2879859, 0.2811244, 2.056856, Tracked, 0.05201124, 0.07362934, 1.891165, Tracked, -0.09113301, -0.09989382, 1.802405, Tracked, -0.07991442, -0.2725683, 1.613082, Tracked, -0.07614461, -0.3202261, 1.537469, Tracked, 0.3628902, -0.01989084, 2.063835, Tracked, 0.3596256, -0.2584383, 2.063717, Tracked, 0.3658845, -0.3978249, 1.915935, Tracked, 0.3202489, -0.4123986, 1.886849, Inferred, 0.09394903, -0.4046641, 1.789145, Tracked, 0.1001094, -0.6315346, 1.582856, Tracked, 0.007055185, -1.035783, 1.555546, Inferred, 0.0455438, -1.076227, 1.435521, Inferred, 0.2401008, -0.4584238, 1.891974, Tracked, 0.2674939, -0.7256012, 1.826845, Inferred, 0.1069804, -1.134538, 1.779986, Inferred, 0.08076517, -1.136074, 1.652506, Inferred, 0.2109712, 0.09561986, 1.988158, Tracked, -0.06347109, -0.3691451, 1.509624, Tracked, -0.1178403, -0.3302299, 1.53237, Tracked, 0.2979525, -0.4480635, 1.849836, Tracked, 0.3014719, -0.3857722, 1.86694, Tracked,
Kinect 2: 3.0990004, 0.1770162, -0.4413168, 1.876641, Tracked, 0.2052793, -0.131134, 1.942796, Tracked, 0.2323547, 0.1681977, 1.992486, Tracked, 0.3062859, 0.2795117, 2.050954, Tracked, 0.07381182, 0.07356386, 1.880779, Tracked, -0.082536, -0.09448216, 1.794131, Tracked, -0.08309241, -0.2623359, 1.600145, Tracked, -0.08314534, -0.3139505, 1.523258, Tracked, 0.3840321, -0.03477299, 2.070017, Tracked, 0.3823442, -0.2446882, 2.075526, Tracked, 0.367662, -0.3909326, 1.935779, Tracked, 0.3280715, -0.4110584, 1.890498, Tracked, 0.1023672, -0.4050847, 1.78836, Tracked, 0.1308023, -0.6285045, 1.579965, Tracked, 0.03228896, -1.029775, 1.570885, Inferred, 0.07129554, -1.077949, 1.457055, Inferred, 0.2449529, -0.4598435, 1.890795, Tracked, 0.08154158, -0.7958007, 1.834976, Tracked, 0.01533174, -1.109114, 1.777339, Inferred, 0.03980914, -1.144619, 1.657076, Inferred, 0.2259119, 0.09472768, 1.982681, Tracked, -0.08277941, -0.3695773, 1.50231, Tracked, -0.1251686, -0.3249575, 1.537733, Tracked, 0.3079712, -0.4874553, 1.841985, Tracked, 0.2930264, -0.3833772, 1.840042, Tracked,
Kinect 2: 3.1309523, 0.1785652, -0.4414149, 1.876052, Tracked, 0.2147115, -0.1308693, 1.938697, Tracked, 0.254093, 0.169456, 1.982657, Tracked, 0.3296309, 0.277363, 2.039857, Tracked, 0.09334457, 0.07351073, 1.869113, Tracked, -0.06967437, -0.0895834, 1.78079, Tracked, -0.08363894, -0.2607505, 1.593295, Tracked, -0.08825265, -0.3106102, 1.516658, Tracked, 0.3940347, -0.04267943, 2.068227, Tracked, 0.3894738, -0.2468236, 2.076953, Tracked, 0.3731512, -0.3928377, 1.937543, Tracked, 0.3448081, -0.4033104, 1.901686, Tracked, 0.1047333, -0.4040614, 1.786705, Tracked, 0.1565702, -0.6242632, 1.581438, Tracked, 0.08230378, -1.030399, 1.576752, Inferred, 0.1292472, -1.075983, 1.465815, Inferred, 0.2461777, -0.4608148, 1.890886, Tracked, 0.08361445, -0.7970161, 1.826013, Tracked, 0.0137413, -1.119839, 1.773564, Inferred, 0.06184993, -1.148333, 1.65046, Inferred, 0.2442275, 0.095691, 1.974452, Tracked, -0.09504608, -0.3671474, 1.501747, Tracked, -0.1354779, -0.3119123, 1.523358, Tracked, 0.3265197, -0.4687957, 1.847327, Tracked, 0.3040753, -0.3499985, 1.840769, Tracked,
Kinect 2: 3.1658192, 0.1886787, -0.4422023, 1.873609, Tracked, 0.2340611, -0.1331787, 1.931075, Tracked, 0.2763356, 0.1653075, 1.971862, Tracked, 0.3479254, 0.2755333, 2.031306, Tracked, 0.1170433, 0.07248215, 1.854696, Tracked, -0.05672861, -0.08762886, 1.769678, Tracked, -0.08278786, -0.2615705, 1.590869, Tracked, -0.09461483, -0.3101379, 1.511393, Tracked, 0.4091145, -0.04804499, 2.068253, Tracked, 0.4033773, -0.2464382, 2.0802, Tracked, 0.386712, -0.3950065, 1.944206, Tracked, 0.356119, -0.4182317, 1.8992, Tracked, 0.1168735, -0.4041985, 1.784387, Tracked, 0.2069257, -0.64768, 1.567909, Tracked, 0.1324537, -1.025797, 1.533994, Inferred, 0.1836628, -1.059276, 1.418261, Inferred, 0.2533621, -0.4622244, 1.88877, Tracked, 0.09042678, -0.7990583, 1.827356, Inferred, 0.008565255, -1.114289, 1.773445, Inferred, 0.05786827, -1.145204, 1.652402, Inferred, 0.2663946, 0.09200802, 1.964183, Tracked, -0.1011867, -0.3448608, 1.484371, Tracked, -0.1429734, -0.3146244, 1.5131, Tracked, 0.335318, -0.4710389, 1.8406, Tracked, 0.3153325, -0.3785898, 1.835, Tracked,
Kinect 2: 3.1996467, 0.2132343, -0.4453766, 1.866568, Tracked, 0.2569059, -0.1348988, 1.922239, Tracked, 0.2970492, 0.1648792, 1.962177, Tracked, 0.3754601, 0.2677344, 2.013686, Tracked, 0.1390183, 0.07142808, 1.841309, Tracked, -0.04123455, -0.08997633, 1.748332, Tracked, -0.08284544, -0.2635074, 1.584289, Tracked, -0.0994504, -0.3127497, 1.512238, Tracked, 0.4276931, -0.05420873, 2.065797, Tracked, 0.4183243, -0.2510026, 2.080683, Tracked, 0.412552, -0.4038808, 1.949452, Tracked, 0.3716926, -0.426028, 1.900402, Tracked, 0.1447075, -0.407208, 1.775468, Tracked, 0.2215037, -0.6308321, 1.578943, Tracked, 0.14245, -1.030479, 1.535035, Inferred, 0.1933837, -1.067318, 1.421566, Inferred, 0.2733379, -0.4656258, 1.88373, Tracked, 0.1113735, -0.7970056, 1.828115, Inferred, 0.0170888, -1.111903, 1.7544, Inferred, 0.06706642, -1.140634, 1.632756, Inferred, 0.2874771, 0.09129875, 1.954757, Tracked, -0.1081053, -0.3506603, 1.484135, Tracked, -0.1578745, -0.3294533, 1.524857, Tracked, 0.348014, -0.4829676, 1.839681, Tracked, 0.3378212, -0.3889095, 1.838857, Tracked,
