Time,SpineBaseX,SpineBaseY,SpineBaseZ,SpineBaseTracked,SpineMidX,SpineMidY,SpineMidZ,SpineMidTracked,NeckX,NeckY,NeckZ,NeckTracked,HeadX,HeadY,HeadZ,HeadTracked,ShoulderLeftX,ShoulderLeftY,ShoulderLeftZ,ShoulderLeftTracked,ElbowLeftX,ElbowLeftY,ElbowLeftZ,ElbowLeftTracked,WristLeftX,WristLeftY,WristLeftZ,WristLeftTracked,HandLeftX,HandLeftY,HandLeftZ,HandLeftTracked,ShoulderRightX,ShoulderRightY,ShoulderRightZ,ShoulderRightTracked,ElbowRightX,ElbowRightY,ElbowRightZ,ElbowRightTracked,WristRightX,WristRightY,WristRightZ,WristRightTracked,HandRightX,HandRightY,HandRightZ,HandRightTracked,HipLeftX,HipLeftY,HipLeftZ,HipLeftTracked,KneeLeftX,KneeLeftY,KneeLeftZ,KneeLeftTracked,AnkleLeftX,AnkleLeftY,AnkleLeftZ,AnkleLeftTracked,FootLeftX,FootLeftY,FootLeftZ,FootLeftTracked,HipRightX,HipRightY,HipRightZ,HipRightTracked,KneeRightX,KneeRightY,KneeRightZ,KneeRightTracked,AnkleRightX,AnkleRightY,AnkleRightZ,AnkleRightTracked,FootRightX,FootRightY,FootRightZ,FootRightTracked,SpineShoulderX,SpineShoulderY,SpineShoulderZ,SpineShoulderTracked,HandTipLeftX,HandTipLeftY,HandTipLeftZ,HandTipLeftTracked,ThumbLeftX,ThumbLeftY,ThumbLeftZ,ThumbLeftTracked,HandTipRightX,HandTipRightY,HandTipRightZ,HandTipRightTracked,ThumbRightX,ThumbRightY,ThumbRightZ,ThumbRightTrackedKinect 2: 0.0220077, 0.01452649, -0.3898243, 1.756569, Tracked, 0.01147113, -0.08529988, 1.836222, Tracked, 0.009579133, 0.2096628, 1.902208, Tracked, 0.04055112, 0.3455602, 1.931257, Tracked, -0.1605067, 0.0833151, 1.839704, Tracked, -0.2510912, -0.1691963, 1.787767, Tracked, -0.2554711, -0.3733541, 1.647594, Tracked, -0.2607357, -0.4357934, 1.621037, Tracked, 0.2016282, 0.08772007, 1.915228, Tracked, 0.2664064, -0.1303383, 1.907677, Tracked, 0.2527565, -0.2800629, 1.757025, Tracked, 0.2084553, -0.3130891, 1.718772, Inferred, -0.06358472, -0.3800969, 1.712254, Tracked, -0.1342543, -0.7397768, 1.663562, Tracked, -0.1673981, -1.05389, 1.659393, Inferred, -0.1549729, -1.095963, 1.52864, Inferred, 0.09381227, -0.3858185, 1.734787, Tracked, 0.1126486, -0.7516216, 1.679717, Tracked, 0.1510364, -1.064024, 1.637338, Inferred, 0.1769514, -1.08838, 1.503529, Inferred, 0.009999741, 0.1371812, 1.887947, Tracked, -0.2604975, -0.5050711, 1.593031, Tracked, -0.2985926, -0.4294739, 1.602241, Tracked, 0.1973771, -0.3807438, 1.667665, Tracked, 0.1751342, -0.2876617, 1.6865, Tracked,
Kinect 2: 1.8578685, -0.113398, -0.4025424, 1.744813, Tracked, -0.1131213, -0.0937868, 1.820027, Tracked, -0.1122353, 0.2036715, 1.880402, Tracked, -0.0789475, 0.3486714, 1.899253, Tracked, -0.3096933, 0.08678092, 1.865361, Tracked, -0.5318894, -0.001930862, 1.831079, Tracked, -0.7004808, 0.1076984, 1.709366, Tracked, -0.762522, 0.1597104, 1.666847, Tracked, 0.09336308, 0.09498251, 1.855096, Tracked, 0.2805282, -0.004456797, 1.790072, Tracked, 0.4857891, 0.009062607, 1.670363, Tracked, 0.523459, 0.02781039, 1.633811, Tracked, -0.194598, -0.3924572, 1.707024, Tracked, -0.2523198, -0.702367, 1.621935, Tracked, -0.2619023, -1.087694, 1.571007, Inferred, -0.2626806, -1.103215, 1.433093, Inferred, -0.02779542, -0.3965737, 1.713094, Tracked, 0.03378626, -0.7237104, 1.639292, Tracked, 0.1761299, -1.067748, 1.617492, Inferred, 0.1983483, -1.08504, 1.482252, Inferred, -0.1125691, 0.1307232, 1.867695, Tracked, -0.8092661, 0.1985743, 1.62964, Tracked, -0.6998659, 0.1828867, 1.609811, Tracked, 0.5826889, 0.03470418, 1.593574, Tracked, 0.491749, 0.0613267, 1.602107, Tracked,
Kinect 2: 1.8886097, -0.1262179, -0.4042189, 1.746309, Tracked, -0.1268155, -0.0953763, 1.821124, Tracked, -0.1266103, 0.2022305, 1.881026, Tracked, -0.08782828, 0.3461298, 1.89932, Tracked, -0.319682, 0.08620061, 1.859523, Tracked, -0.5465605, -0.007011077, 1.81969, Tracked, -0.7011257, 0.09419013, 1.679728, Tracked, -0.7703916, 0.1431086, 1.631298, Tracked, 0.07746004, 0.09201024, 1.863045, Tracked, 0.2556332, -0.003668077, 1.798683, Tracked, 0.4247261, 0.01296564, 1.643531, Tracked, 0.4837455, 0.02430256, 1.607605, Tracked, -0.2073833, -0.3933817, 1.706279, Tracked, -0.2615356, -0.700098, 1.625077, Tracked, -0.2672261, -1.090195, 1.578323, Inferred, -0.2633093, -1.107166, 1.440715, Inferred, -0.04049197, -0.3990367, 1.716964, Tracked, 0.02556242, -0.7211306, 1.633973, Tracked, 0.1713786, -1.066981, 1.601447, Inferred, 0.1961507, -1.079603, 1.465443, Inferred, -0.126801, 0.1292397, 1.868444, Tracked, -0.8150758, 0.1706057, 1.584491, Tracked, -0.7072463, 0.1706553, 1.570957, Tracked, 0.5449333, 0.03686181, 1.564869, Tracked, 0.4530643, 0.05852554, 1.574915, Tracked,
Kinect 2: 1.9237602, -0.1380313, -0.4051382, 1.74832, Tracked, -0.137901, -0.09589304, 1.822229, Tracked, -0.1369574, 0.2021086, 1.881278, Tracked, -0.0973509, 0.3446791, 1.898739, Tracked, -0.3287825, 0.08578561, 1.852805, Tracked, -0.5552369, -0.01095046, 1.808439, Tracked, -0.7047715, 0.07210939, 1.650037, Tracked, -0.768877, 0.1114537, 1.599903, Tracked, 0.06205883, 0.08885302, 1.873512, Tracked, 0.2356274, -0.01029412, 1.807886, Tracked, 0.374765, 0.001170947, 1.639659, Tracked, 0.4344298, 0.009234259, 1.581645, Tracked, -0.2184183, -0.3930748, 1.705528, Tracked, -0.2698949, -0.6986216, 1.629324, Tracked, -0.2725672, -1.090823, 1.580329, Inferred, -0.2630543, -1.107278, 1.442591, Inferred, -0.05297261, -0.4013153, 1.722101, Tracked, 0.01807357, -0.718806, 1.630483, Tracked, 0.1697095, -1.063976, 1.584736, Inferred, 0.1979755, -1.071273, 1.448288, Inferred, -0.1373376, 0.1290212, 1.868906, Tracked, -0.8118697, 0.1396135, 1.550559, Tracked, -0.7075869, 0.138891, 1.548889, Tracked, 0.4860508, 0.02832088, 1.513921, Tracked, 0.4009378, 0.0430075, 1.544878, Tracked,
Kinect 2: 1.9564338, -0.1485339, -0.4058633, 1.750723, Tracked, -0.1487518, -0.09619399, 1.82375, Tracked, -0.1481009, 0.2022712, 1.881873, Tracked, -0.1067307, 0.3430156, 1.89967, Tracked, -0.3379699, 0.08735996, 1.845939, Tracked, -0.5625138, -0.01870353, 1.794809, Tracked, -0.7229979, 0.03761895, 1.607124, Tracked, -0.7764164, 0.06468615, 1.56661, Tracked, 0.04821009, 0.08555675, 1.882443, Tracked, 0.2135111, -0.02590108, 1.826475, Tracked, 0.3289734, -0.01681306, 1.639131, Tracked, 0.365922, -0.01108076, 1.574853, Tracked, -0.2286623, -0.3928648, 1.705334, Tracked, -0.2803436, -0.6911778, 1.633768, Tracked, -0.2705065, -1.091094, 1.591444, Inferred, -0.2536525, -1.109359, 1.454737, Inferred, -0.0632464, -0.4029512, 1.727126, Tracked, 0.009884307, -0.7165455, 1.626679, Tracked, 0.1384491, -1.072049, 1.572831, Inferred, 0.1670278, -1.078727, 1.436263, Inferred, -0.1484191, 0.1290656, 1.869738, Tracked, -0.8200216, 0.08084293, 1.512182, Tracked, -0.7118407, 0.08975775, 1.535714, Tracked, 0.3989388, -0.012116, 1.510782, Tracked, 0.3360352, 0.02052066, 1.532256, Tracked,
Kinect 2: 1.9887302, -0.1574978, -0.4060207, 1.75336, Tracked, -0.1542535, -0.09610005, 1.824825, Tracked, -0.1510189, 0.202513, 1.881937, Tracked, -0.114925, 0.342254, 1.901752, Tracked, -0.3421682, 0.08831322, 1.842499, Tracked, -0.5581295, -0.04510376, 1.787381, Tracked, -0.7101086, -0.01529393, 1.586487, Tracked, -0.772734, 0.008359035, 1.53664, Tracked, 0.04810353, 0.08552796, 1.882502, Tracked, 0.2044865, -0.03995957, 1.832916, Tracked, 0.2785572, -0.04135888, 1.636167, Tracked, 0.30119, -0.03832725, 1.570621, Tracked, -0.2374024, -0.3921916, 1.705575, Tracked, -0.2863536, -0.6917009, 1.637088, Tracked, -0.2815836, -1.091617, 1.600389, Inferred, -0.2645808, -1.111652, 1.464212, Inferred, -0.07208607, -0.403948, 1.732237, Tracked, -0.0003384402, -0.7129972, 1.622897, Tracked, 0.1489492, -1.06363, 1.568382, Inferred, 0.1808209, -1.068192, 1.432291, Inferred, -0.1518985, 0.1292818, 1.870005, Tracked, -0.8081436, 0.01538518, 1.458756, Tracked, -0.7050133, 0.02255977, 1.50851, Tracked, 0.3240547, -0.05744162, 1.488418, Tracked, 0.2850053, -0.004940323, 1.546365, Tracked,
Kinect 2: 2.0238645, -0.1653525, -0.4069555, 1.755526, Tracked, -0.1650465, -0.0965449, 1.826122, Tracked, -0.1643956, 0.2028073, 1.881755, Tracked, -0.1218079, 0.3418775, 1.903628, Tracked, -0.348247, 0.09074408, 1.835071, Tracked, -0.5530185, -0.05884878, 1.778652, Tracked, -0.6936404, -0.05977486, 1.574039, Tracked, -0.7591752, -0.05419763, 1.509568, Tracked, 0.02136911, 0.0800698, 1.900281, Tracked, 0.1636779, -0.06119232, 1.850014, Tracked, 0.2208674, -0.06909072, 1.628752, Tracked, 0.240068, -0.06961131, 1.559884, Tracked, -0.244481, -0.392551, 1.705578, Tracked, -0.292944, -0.6914615, 1.640378, Tracked, -0.2810903, -1.091994, 1.601894, Inferred, -0.2544795, -1.111062, 1.466815, Inferred, -0.08035013, -0.4054692, 1.736716, Tracked, -0.006873447, -0.7128409, 1.621375, Tracked, 0.1318273, -1.065937, 1.553086, Inferred, 0.1684114, -1.067213, 1.417899, Inferred, -0.1646876, 0.1293712, 1.870251, Tracked, -0.7963035, -0.05136378, 1.4508, Tracked, -0.6939176, -0.0130261, 1.451, Tracked, 0.2640072, -0.08051459, 1.499849, Tracked, 0.2277924, -0.03541224, 1.546191, Tracked,
Kinect 2: 2.0556216, -0.1731911, -0.4088787, 1.756638, Tracked, -0.1734303, -0.09690247, 1.826855, Tracked, -0.1729883, 0.2040076, 1.882087, Tracked, -0.1281476, 0.3420998, 1.905652, Tracked, -0.3505554, 0.09330775, 1.829065, Tracked, -0.5462325, -0.06976693, 1.773951, Tracked, -0.6701716, -0.1049309, 1.571983, Tracked, -0.7319742, -0.1153057, 1.494184, Tracked, 0.01584225, 0.07782935, 1.904603, Tracked, 0.1558453, -0.06747183, 1.863528, Tracked, 0.1735228, -0.1009539, 1.640249, Tracked, 0.1801407, -0.1134067, 1.572489, Tracked, -0.2514631, -0.3935375, 1.705101, Tracked, -0.2979426, -0.6908703, 1.641464, Tracked, -0.2829002, -1.093404, 1.607472, Inferred, -0.2521646, -1.11346, 1.473589, Inferred, -0.08857191, -0.4082972, 1.739347, Tracked, -0.01333812, -0.7134739, 1.619695, Tracked, 0.12122, -1.069231, 1.554034, Inferred, 0.1605644, -1.070969, 1.419877, Inferred, -0.1732575, 0.1301852, 1.870683, Tracked, -0.7790666, -0.1345477, 1.440848, Tracked, -0.7126958, -0.1102512, 1.433889, Tracked, 0.1906945, -0.1279989, 1.528624, Tracked, 0.1697316, -0.08173238, 1.562572, Tracked,
Kinect 2: 2.0889916, -0.1781884, -0.4096706, 1.757661, Tracked, -0.1800622, -0.09662629, 1.827346, Tracked, -0.1813098, 0.2055753, 1.881884, Tracked, -0.1354899, 0.342443, 1.907995, Tracked, -0.3536463, 0.09502743, 1.824203, Tracked, -0.5355956, -0.08641153, 1.770345, Tracked, -0.6575289, -0.1475501, 1.549687, Tracked, -0.7065879, -0.1712125, 1.482854, Tracked, 0.00935839, 0.07443878, 1.910599, Tracked, 0.1198782, -0.0958105, 1.901027, Tracked, 0.1249438, -0.1264216, 1.679218, Tracked, 0.1343976, -0.155858, 1.595302, Tracked, -0.2556735, -0.3937127, 1.704469, Tracked, -0.303127, -0.6927515, 1.64189, Tracked, -0.284188, -1.093274, 1.605898, Inferred, -0.2493147, -1.11235, 1.472742, Inferred, -0.09443449, -0.4097895, 1.742268, Tracked, -0.02047835, -0.7142664, 1.618953, Tracked, 0.1056934, -1.072902, 1.551828, Inferred, 0.1472409, -1.074729, 1.4185, Inferred, -0.1811621, 0.1314119, 1.870668, Tracked, -0.7536461, -0.196664, 1.420066, Tracked, -0.6704638, -0.1347815, 1.431727, Tracked, 0.1339939, -0.1723746, 1.55319, Tracked, 0.1504856, -0.2160453, 1.596923, Tracked,
Kinect 2: 2.1228759, -0.1852884, -0.4103015, 1.757955, Tracked, -0.1866793, -0.0966484, 1.827065, Tracked, -0.1870627, 0.2059706, 1.881137, Tracked, -0.1401273, 0.3426164, 1.908706, Tracked, -0.3564885, 0.09584337, 1.818438, Tracked, -0.5323748, -0.0938641, 1.761072, Tracked, -0.6407723, -0.1805767, 1.541101, Tracked, -0.677677, -0.2160652, 1.471849, Tracked, 0.003218338, 0.07049838, 1.91707, Tracked, 0.1135571, -0.09989861, 1.902769, Tracked, 0.09679787, -0.1872828, 1.657694, Tracked, 0.1019223, -0.2007966, 1.620634, Tracked, -0.2623434, -0.3932897, 1.702725, Tracked, -0.3067863, -0.6941149, 1.641042, Tracked, -0.2893672, -1.093555, 1.605267, Inferred, -0.2509178, -1.112705, 1.473186, Inferred, -0.1018366, -0.4114209, 1.744412, Tracked, -0.02541729, -0.72, 1.617673, Tracked, 0.1089009, -1.070039, 1.549753, Inferred, 0.1545664, -1.070107, 1.417866, Inferred, -0.1871594, 0.1317232, 1.870025, Tracked, -0.7064843, -0.2451615, 1.370234, Tracked, -0.6446539, -0.1653684, 1.409667, Tracked, 0.08829165, -0.2197187, 1.571468, Tracked, 0.07270981, -0.2441831, 1.636714, Tracked,
Kinect 2: 2.1565538, -0.1905058, -0.4100026, 1.758135, Tracked, -0.1919594, -0.09621614, 1.826757, Tracked, -0.1922131, 0.2064618, 1.88036, Tracked, -0.145695, 0.3432144, 1.910403, Tracked, -0.3582382, 0.09681328, 1.813493, Tracked, -0.5206175, -0.09180562, 1.744934, Tracked, -0.6229156, -0.1943403, 1.546907, Tracked, -0.6554655, -0.2530819, 1.465215, Tracked, -0.005775463, 0.06866384, 1.922687, Tracked, 0.09946091, -0.1048829, 1.905685, Tracked, 0.08795685, -0.2012305, 1.69603, Tracked, 0.08790734, -0.2316207, 1.647934, Tracked, -0.2676432, -0.3924106, 1.701262, Tracked, -0.3101802, -0.6963915, 1.64041, Tracked, -0.2885885, -1.093157, 1.606133, Inferred, -0.245985, -1.112219, 1.475428, Inferred, -0.1067382, -0.4115733, 1.745943, Tracked, -0.03051426, -0.7231306, 1.619015, Tracked, 0.1059169, -1.069516, 1.550668, Inferred, 0.1548425, -1.068761, 1.42014, Inferred, -0.1923614, 0.1322078, 1.869362, Tracked, -0.6901418, -0.2893345, 1.401296, Tracked, -0.6439757, -0.2156748, 1.413375, Tracked, 0.07516334, -0.2657227, 1.604884, Tracked, 0.02867572, -0.2475334, 1.6706, Tracked,
Kinect 2: 2.1886876, -0.1945602, -0.410607, 1.758385, Tracked, -0.1954685, -0.09629646, 1.826665, Tracked, -0.1952119, 0.2067949, 1.879967, Tracked, -0.1498051, 0.3431577, 1.911103, Tracked, -0.3581179, 0.09620961, 1.814363, Tracked, -0.5189039, -0.09479945, 1.737658, Tracked, -0.6095533, -0.2224071, 1.528557, Tracked, -0.6369931, -0.2744795, 1.46121, Tracked, -0.006719358, 0.06867448, 1.923245, Tracked, 0.08275111, -0.1131061, 1.916632, Tracked, 0.08937147, -0.2363583, 1.701506, Tracked, 0.09132043, -0.2607684, 1.672761, Tracked, -0.272111, -0.3925808, 1.700552, Tracked, -0.3130283, -0.6971752, 1.640036, Tracked, -0.2918762, -1.093675, 1.606074, Inferred, -0.2493633, -1.112866, 1.475361, Inferred, -0.1100497, -0.4124899, 1.746923, Tracked, -0.03298084, -0.7261027, 1.620578, Tracked, 0.1080461, -1.068854, 1.553693, Inferred, 0.1574446, -1.067812, 1.423324, Inferred, -0.1954851, 0.1324475, 1.869042, Tracked, -0.6780807, -0.3263879, 1.421824, Tracked, -0.6499394, -0.2630336, 1.377667, Tracked, 0.07642934, -0.3014498, 1.625462, Tracked, 0.03245341, -0.2460663, 1.6425, Tracked,
Kinect 2: 2.2224905, -0.1971411, -0.4103801, 1.759213, Tracked, -0.1981352, -0.09602647, 1.826944, Tracked, -0.1979738, 0.2071102, 1.879687, Tracked, -0.1522942, 0.3429277, 1.911737, Tracked, -0.3580996, 0.09587464, 1.814736, Tracked, -0.5161441, -0.09577519, 1.735223, Tracked, -0.6060565, -0.2235679, 1.526135, Tracked, -0.6231542, -0.2784016, 1.456156, Tracked, -0.008366168, 0.06851272, 1.924369, Tracked, 0.07847741, -0.1177941, 1.922278, Tracked, 0.1090117, -0.2512476, 1.726983, Tracked, 0.1080728, -0.2844179, 1.693585, Tracked, -0.2743321, -0.3918701, 1.699886, Tracked, -0.316187, -0.697552, 1.639244, Tracked, -0.2976903, -1.093091, 1.606242, Inferred, -0.2552161, -1.112778, 1.475657, Inferred, -0.113475, -0.412857, 1.749925, Tracked, -0.0338027, -0.7278382, 1.622088, Tracked, 0.1216568, -1.063364, 1.563573, Inferred, 0.1731495, -1.061942, 1.434217, Inferred, -0.1982239, 0.1327524, 1.868905, Tracked, -0.6554992, -0.3295303, 1.423548, Tracked, -0.6471555, -0.2512349, 1.434607, Tracked, 0.09611778, -0.3379753, 1.646257, Tracked, 0.05124403, -0.2739937, 1.666, Tracked,
Kinect 2: 2.2549339, -0.1990789, -0.4106348, 1.759606, Tracked, -0.2002136, -0.096136, 1.827011, Tracked, -0.2001549, 0.2071441, 1.879403, Tracked, -0.155308, 0.3426411, 1.912161, Tracked, -0.3581909, 0.09559343, 1.814944, Tracked, -0.5153079, -0.09528289, 1.732058, Tracked, -0.6029924, -0.2228517, 1.520002, Tracked, -0.617525, -0.2745769, 1.44567, Tracked, -0.0103991, 0.06813176, 1.925691, Tracked, 0.05111792, -0.1318068, 1.952259, Tracked, 0.1316597, -0.2658278, 1.746838, Tracked, 0.1341775, -0.2943515, 1.715436, Tracked, -0.2760167, -0.3916667, 1.699198, Tracked, -0.3182938, -0.6967083, 1.638317, Tracked, -0.2972009, -1.092776, 1.606597, Inferred, -0.2537825, -1.112535, 1.476373, Inferred, -0.1157027, -0.4136686, 1.75149, Tracked, -0.03489482, -0.7292957, 1.623695, Tracked, 0.1003918, -1.072753, 1.56885, Inferred, 0.1508862, -1.074124, 1.439337, Inferred, -0.2003845, 0.1327514, 1.868712, Tracked, -0.6457551, -0.3259122, 1.408751, Tracked, -0.6685048, -0.2644883, 1.454429, Tracked, 0.1374546, -0.3428806, 1.672946, Tracked, 0.0787274, -0.2949745, 1.685143, Tracked,
Kinect 2: 2.2901358, -0.2004443, -0.4110525, 1.759751, Tracked, -0.201773, -0.09627556, 1.82704, Tracked, -0.2018951, 0.207296, 1.879298, Tracked, -0.1571621, 0.3427646, 1.912618, Tracked, -0.3582793, 0.09546418, 1.815028, Tracked, -0.5153623, -0.09447131, 1.724107, Tracked, -0.6034984, -0.2181326, 1.502616, Tracked, -0.6237778, -0.2602314, 1.431971, Tracked, -0.01160093, 0.06770128, 1.926947, Tracked, 0.05399958, -0.1349079, 1.956972, Tracked, 0.1578961, -0.2650973, 1.791385, Tracked, 0.1676246, -0.2950372, 1.745633, Tracked, -0.2773032, -0.3918106, 1.698824, Tracked, -0.3213722, -0.6914537, 1.636846, Tracked, -0.2926114, -1.092042, 1.608186, Inferred, -0.2472958, -1.111818, 1.478676, Inferred, -0.1168444, -0.4142834, 1.751967, Tracked, -0.03589725, -0.7315837, 1.625606, Tracked, 0.09908883, -1.074669, 1.577974, Inferred, 0.1505121, -1.077168, 1.449099, Inferred, -0.2020825, 0.1328295, 1.868642, Tracked, -0.6509655, -0.315728, 1.386432, Tracked, -0.6769974, -0.2541937, 1.441571, Tracked, 0.1816856, -0.3507512, 1.70206, Tracked, 0.1211374, -0.2982036, 1.714933, Tracked,
Kinect 2: 2.3228411, -0.2011455, -0.4110927, 1.760005, Tracked, -0.2027703, -0.09622676, 1.827192, Tracked, -0.2031901, 0.2074433, 1.879309, Tracked, -0.1592458, 0.3425323, 1.913116, Tracked, -0.3596925, 0.09554655, 1.812252, Tracked, -0.516691, -0.08944901, 1.716488, Tracked, -0.6110713, -0.1952597, 1.484598, Tracked, -0.6354818, -0.2302944, 1.413661, Tracked, -0.01284084, 0.06758547, 1.928251, Tracked, 0.0566418, -0.1367772, 1.967334, Tracked, 0.1759496, -0.2594748, 1.824671, Tracked, 0.2026109, -0.2938519, 1.77173, Tracked, -0.2777672, -0.391724, 1.698516, Tracked, -0.3217287, -0.6917673, 1.636437, Tracked, -0.2929276, -1.092168, 1.608584, Inferred, -0.246547, -1.112084, 1.479545, Inferred, -0.1179103, -0.4144859, 1.753001, Tracked, -0.03709416, -0.7318882, 1.62777, Tracked, 0.09999979, -1.07429, 1.577426, Inferred, 0.152298, -1.075987, 1.448846, Inferred, -0.2033052, 0.1329523, 1.868692, Tracked, -0.6524168, -0.278989, 1.351434, Tracked, -0.6857256, -0.2245449, 1.426483, Tracked, 0.2245252, -0.349049, 1.725928, Tracked, 0.1624971, -0.3015469, 1.736292, Tracked,
Kinect 2: 2.3570112, -0.201729, -0.4112811, 1.760167, Tracked, -0.2035248, -0.09627865, 1.827287, Tracked, -0.2041064, 0.2075399, 1.879325, Tracked, -0.1604455, 0.3424327, 1.913515, Tracked, -0.3602819, 0.09572784, 1.810754, Tracked, -0.5259809, -0.08958562, 1.707229, Tracked, -0.6190121, -0.1584684, 1.480015, Tracked, -0.6460481, -0.1855725, 1.401932, Tracked, -0.01363258, 0.06707171, 1.929631, Tracked, 0.06342581, -0.1371574, 1.973173, Tracked, 0.2042034, -0.2525495, 1.855556, Tracked, 0.2430236, -0.2917137, 1.806074, Tracked, -0.2780167, -0.391684, 1.69821, Tracked, -0.322107, -0.6914105, 1.635543, Tracked, -0.2957365, -1.09229, 1.604691, Inferred, -0.2490156, -1.111667, 1.475589, Inferred, -0.1190598, -0.4150949, 1.753858, Tracked, -0.03829024, -0.7316983, 1.629538, Tracked, 0.1155371, -1.068486, 1.579981, Inferred, 0.1699592, -1.068316, 1.452279, Inferred, -0.2041833, 0.1330112, 1.868728, Tracked, -0.6691059, -0.2241071, 1.338534, Tracked, -0.6882771, -0.174592, 1.403621, Tracked, 0.2771538, -0.3516924, 1.76484, Tracked, 0.2067923, -0.2982541, 1.760417, Tracked,
Kinect 2: 2.3901921, -0.2020882, -0.4115211, 1.760248, Tracked, -0.2040383, -0.09639649, 1.827338, Tracked, -0.2047916, 0.2075548, 1.879342, Tracked, -0.1616981, 0.3424675, 1.914197, Tracked, -0.3607791, 0.09584586, 1.80914, Tracked, -0.5288849, -0.08545883, 1.702803, Tracked, -0.6272371, -0.1187876, 1.487316, Tracked, -0.6657428, -0.1416666, 1.391668, Tracked, -0.0142367, 0.06689693, 1.930677, Tracked, 0.07194357, -0.1378971, 1.979016, Tracked, 0.229248, -0.248809, 1.878273, Tracked, 0.2837986, -0.2905523, 1.834799, Tracked, -0.2781695, -0.3917541, 1.697959, Tracked, -0.3223021, -0.6905323, 1.634721, Tracked, -0.295782, -1.092373, 1.603368, Inferred, -0.2483292, -1.11158, 1.474507, Inferred, -0.11963, -0.4155822, 1.754263, Tracked, -0.03947685, -0.7303012, 1.631929, Tracked, 0.1057816, -1.073278, 1.581295, Inferred, 0.160037, -1.074023, 1.453604, Inferred, -0.2048253, 0.1329916, 1.868755, Tracked, -0.7004783, -0.1776486, 1.334525, Tracked, -0.7295462, -0.1411763, 1.3955, Tracked, 0.3271527, -0.3451388, 1.800807, Tracked, 0.2485191, -0.2988865, 1.763077, Tracked,
Kinect 2: 2.4222053, -0.2023293, -0.4117855, 1.760268, Tracked, -0.2043857, -0.09652682, 1.82742, Tracked, -0.2052867, 0.2075476, 1.879508, Tracked, -0.1630368, 0.3424721, 1.915269, Tracked, -0.3609371, 0.09597339, 1.808104, Tracked, -0.5379995, -0.07966244, 1.687016, Tracked, -0.631296, -0.09565567, 1.48249, Tracked, -0.6878335, -0.1005816, 1.373735, Tracked, -0.01868543, 0.06581596, 1.935575, Tracked, 0.08037309, -0.1365008, 1.984873, Tracked, 0.2515637, -0.2394418, 1.903555, Tracked, 0.321731, -0.2820351, 1.864087, Tracked, -0.278263, -0.3919073, 1.697816, Tracked, -0.3222467, -0.6908755, 1.634057, Tracked, -0.2969166, -1.092743, 1.603369, Inferred, -0.2476452, -1.112157, 1.475362, Inferred, -0.1198911, -0.4158949, 1.754341, Tracked, -0.0396358, -0.7299063, 1.632846, Tracked, 0.1068039, -1.073183, 1.580031, Inferred, 0.162653, -1.07324, 1.453133, Inferred, -0.20528, 0.132952, 1.868897, Tracked, -0.7190409, -0.1293589, 1.312049, Tracked, -0.7449908, -0.1278596, 1.381077, Tracked, 0.3710426, -0.3306993, 1.836445, Tracked, 0.2952625, -0.2932998, 1.791, Tracked,
Kinect 2: 2.4569924, -0.2023461, -0.4119354, 1.760314, Tracked, -0.2044849, -0.09658077, 1.827488, Tracked, -0.2055434, 0.2075712, 1.879626, Tracked, -0.1640172, 0.3425594, 1.916224, Tracked, -0.3613603, 0.09562558, 1.806999, Tracked, -0.5427982, -0.07138465, 1.675366, Tracked, -0.6466268, -0.05280166, 1.455777, Tracked, -0.6999387, -0.05641875, 1.366393, Tracked, -0.01987551, 0.06548667, 1.93752, Tracked, 0.1005478, -0.13669, 1.989386, Tracked, 0.2823139, -0.2401403, 1.921728, Tracked, 0.3528904, -0.2826588, 1.898435, Tracked, -0.278181, -0.3921048, 1.697708, Tracked, -0.3218932, -0.6897119, 1.633446, Tracked, -0.2971976, -1.093058, 1.602841, Inferred, -0.2471568, -1.112532, 1.475198, Inferred, -0.1199055, -0.4159902, 1.754402, Tracked, -0.03962366, -0.7296484, 1.633734, Tracked, 0.1088163, -1.072515, 1.578562, Inferred, 0.1653282, -1.071912, 1.451944, Inferred, -0.2054892, 0.1329512, 1.868998, Tracked, -0.7351514, -0.07923162, 1.315456, Tracked, -0.7497969, -0.02395016, 1.3998, Tracked, 0.3987277, -0.3234426, 1.871805, Tracked, 0.3325381, -0.2465773, 1.855857, Tracked,
