Time,SpineBaseX,SpineBaseY,SpineBaseZ,SpineBaseTracked,SpineMidX,SpineMidY,SpineMidZ,SpineMidTracked,NeckX,NeckY,NeckZ,NeckTracked,HeadX,HeadY,HeadZ,HeadTracked,ShoulderLeftX,ShoulderLeftY,ShoulderLeftZ,ShoulderLeftTracked,ElbowLeftX,ElbowLeftY,ElbowLeftZ,ElbowLeftTracked,WristLeftX,WristLeftY,WristLeftZ,WristLeftTracked,HandLeftX,HandLeftY,HandLeftZ,HandLeftTracked,ShoulderRightX,ShoulderRightY,ShoulderRightZ,ShoulderRightTracked,ElbowRightX,ElbowRightY,ElbowRightZ,ElbowRightTracked,WristRightX,WristRightY,WristRightZ,WristRightTracked,HandRightX,HandRightY,HandRightZ,HandRightTracked,HipLeftX,HipLeftY,HipLeftZ,HipLeftTracked,KneeLeftX,KneeLeftY,KneeLeftZ,KneeLeftTracked,AnkleLeftX,AnkleLeftY,AnkleLeftZ,AnkleLeftTracked,FootLeftX,FootLeftY,FootLeftZ,FootLeftTracked,HipRightX,HipRightY,HipRightZ,HipRightTracked,KneeRightX,KneeRightY,KneeRightZ,KneeRightTracked,AnkleRightX,AnkleRightY,AnkleRightZ,AnkleRightTracked,FootRightX,FootRightY,FootRightZ,FootRightTracked,SpineShoulderX,SpineShoulderY,SpineShoulderZ,SpineShoulderTracked,HandTipLeftX,HandTipLeftY,HandTipLeftZ,HandTipLeftTracked,ThumbLeftX,ThumbLeftY,ThumbLeftZ,ThumbLeftTracked,HandTipRightX,HandTipRightY,HandTipRightZ,HandTipRightTracked,ThumbRightX,ThumbRightY,ThumbRightZ,ThumbRightTrackedKinect 2: 0.0174838, 0.5530818, -0.3797321, 1.487664, Tracked, 0.5838199, -0.05401182, 1.566309, Tracked, 0.606629, 0.257989, 1.630832, Tracked, 0.6743047, 0.3829238, 1.65152, Tracked, 0.4285871, 0.1557622, 1.593815, Tracked, 0.3103326, -0.04795666, 1.565302, Tracked, 0.344829, -0.2188386, 1.445849, Tracked, 0.377567, -0.2742362, 1.41628, Tracked, 0.7771036, 0.08987335, 1.615735, Tracked, 0.8031374, -0.1078814, 1.592859, Tracked, 0.767714, -0.2423623, 1.459419, Tracked, 0.7337528, -0.2782429, 1.424002, Tracked, 0.4565221, -0.3547678, 1.446741, Tracked, 0.382432, -0.6422519, 1.375581, Tracked, 0.3043988, -0.9980121, 1.325756, Inferred, 0.297395, -1.009199, 1.193835, Inferred, 0.6232157, -0.3866787, 1.457968, Tracked, 0.6274992, -0.6540368, 1.412852, Tracked, 0.6521891, -1.042317, 1.392926, Inferred, 0.6577855, -1.061076, 1.26647, Inferred, 0.6019231, 0.1817404, 1.616967, Tracked, 0.3921165, -0.3251134, 1.348541, Tracked, 0.3395323, -0.3148659, 1.45732, Tracked, 0.7091899, -0.3372537, 1.381151, Tracked, 0.6779296, -0.256281, 1.388333, Tracked,
Kinect 2: 2.9517434, 0.4701673, -0.369899, 1.468748, Tracked, 0.4642331, -0.04239973, 1.554035, Tracked, 0.4549653, 0.2696084, 1.622213, Tracked, 0.4911063, 0.4138634, 1.630316, Tracked, 0.2841049, 0.1617511, 1.554914, Tracked, 0.2086144, -0.06210201, 1.486492, Tracked, 0.2682437, -0.2093493, 1.37851, Tracked, 0.3081863, -0.2540047, 1.371187, Tracked, 0.6405653, 0.12604, 1.622157, Tracked, 0.6959913, -0.1067529, 1.61373, Tracked, 0.6780939, -0.2447308, 1.479702, Tracked, 0.6593847, -0.2438343, 1.465866, Tracked, 0.3775007, -0.3498924, 1.418475, Tracked, 0.3234625, -0.6372773, 1.362833, Tracked, 0.2667045, -1.003001, 1.33229, Inferred, 0.2727555, -1.021844, 1.203519, Inferred, 0.5398386, -0.3715849, 1.446942, Tracked, 0.5827743, -0.6162585, 1.401922, Tracked, 0.4825672, -1.008196, 1.363739, Inferred, 0.4738376, -1.025422, 1.233863, Inferred, 0.4578145, 0.1935308, 1.6077, Tracked, 0.3340901, -0.3005972, 1.313194, Tracked, 0.2630604, -0.2985342, 1.396888, Tracked, 0.636557, -0.2971212, 1.393147, Tracked, 0.5966913, -0.1965664, 1.427154, Tracked,
Kinect 2: 2.9836987, 0.4701791, -0.3697594, 1.468536, Tracked, 0.4642701, -0.04233311, 1.553809, Tracked, 0.4550127, 0.2696119, 1.622002, Tracked, 0.4910164, 0.4138736, 1.629844, Tracked, 0.2840368, 0.1619304, 1.554871, Tracked, 0.2085201, -0.06188043, 1.486725, Tracked, 0.2680653, -0.2091007, 1.378648, Tracked, 0.3084439, -0.2540998, 1.371126, Tracked, 0.6406563, 0.1262951, 1.621526, Tracked, 0.695943, -0.1064756, 1.613161, Tracked, 0.6787469, -0.2451337, 1.479811, Tracked, 0.6481045, -0.2724218, 1.432684, Tracked, 0.3774746, -0.3498607, 1.418419, Tracked, 0.3233731, -0.6372331, 1.362931, Tracked, 0.2665343, -1.002962, 1.332582, Inferred, 0.2723977, -1.021844, 1.2038, Inferred, 0.5399187, -0.3713226, 1.446566, Tracked, 0.5824682, -0.6163277, 1.401694, Tracked, 0.4791033, -1.007193, 1.363885, Inferred, 0.4695989, -1.024401, 1.233965, Inferred, 0.4578615, 0.193549, 1.607484, Tracked, 0.3340625, -0.3012452, 1.314684, Tracked, 0.2635761, -0.3000574, 1.396438, Tracked, 0.6374612, -0.3381995, 1.374736, Tracked, 0.5943539, -0.2503875, 1.38232, Tracked,
Kinect 2: 3.016726, 0.4701199, -0.3697923, 1.468435, Tracked, 0.4642437, -0.04232937, 1.553606, Tracked, 0.4550273, 0.2696781, 1.621679, Tracked, 0.4908704, 0.4139145, 1.629259, Tracked, 0.2839274, 0.1618871, 1.554785, Tracked, 0.2084243, -0.06197457, 1.486819, Tracked, 0.2676917, -0.2093173, 1.378754, Tracked, 0.3078468, -0.2539335, 1.37113, Tracked, 0.6407216, 0.1265838, 1.621161, Tracked, 0.6959505, -0.1065102, 1.612913, Tracked, 0.6689615, -0.2430644, 1.478674, Tracked, 0.6508206, -0.2662497, 1.437431, Inferred, 0.3773972, -0.3499404, 1.418418, Tracked, 0.3232633, -0.6372437, 1.362923, Tracked, 0.2663625, -1.003023, 1.332557, Inferred, 0.2721102, -1.021876, 1.203749, Inferred, 0.5398542, -0.371312, 1.446309, Tracked, 0.5823107, -0.6166721, 1.401471, Tracked, 0.4839783, -1.009177, 1.374447, Inferred, 0.4745866, -1.030029, 1.245919, Inferred, 0.4578665, 0.1935972, 1.607192, Tracked, 0.3356863, -0.2996206, 1.31208, Tracked, 0.2628993, -0.2977574, 1.395902, Tracked, 0.6441827, -0.3308597, 1.386294, Tracked, 0.5949934, -0.2508261, 1.382512, Tracked,
Kinect 2: 3.0494145, 0.470055, -0.3698243, 1.46842, Tracked, 0.464204, -0.04236498, 1.553534, Tracked, 0.4550077, 0.2696346, 1.621529, Tracked, 0.4907955, 0.4138356, 1.62896, Tracked, 0.2839167, 0.1618849, 1.554791, Tracked, 0.2081144, -0.06188117, 1.487158, Tracked, 0.267237, -0.209364, 1.379214, Tracked, 0.3081154, -0.2543856, 1.372023, Tracked, 0.6406795, 0.1268081, 1.620546, Tracked, 0.6959783, -0.1065227, 1.612805, Tracked, 0.67101, -0.2424637, 1.477544, Tracked, 0.6434603, -0.2731645, 1.428736, Tracked, 0.3772519, -0.3500318, 1.418478, Tracked, 0.3231322, -0.6369109, 1.363082, Tracked, 0.2661085, -1.0031, 1.332794, Inferred, 0.2716677, -1.021954, 1.203961, Inferred, 0.539817, -0.3713258, 1.446267, Tracked, 0.5821909, -0.6166646, 1.401344, Tracked, 0.4757922, -1.007005, 1.38439, Inferred, 0.4636635, -1.031113, 1.257142, Inferred, 0.4578422, 0.1935556, 1.607063, Tracked, 0.3347547, -0.3020147, 1.314213, Tracked, 0.2623364, -0.2978314, 1.397842, Tracked, 0.6289689, -0.3336545, 1.370764, Tracked, 0.5869486, -0.2418682, 1.385138, Tracked,
Kinect 2: 3.0854702, 0.4699475, -0.3698196, 1.468363, Tracked, 0.464184, -0.04233538, 1.553401, Tracked, 0.4550987, 0.2697143, 1.62126, Tracked, 0.4907046, 0.4138394, 1.628365, Tracked, 0.2837701, 0.16185, 1.554761, Tracked, 0.2081186, -0.061843, 1.487261, Tracked, 0.2668894, -0.2095153, 1.379386, Tracked, 0.3073997, -0.2543511, 1.372445, Tracked, 0.6408318, 0.126995, 1.620199, Tracked, 0.6959389, -0.1063055, 1.612415, Tracked, 0.6656037, -0.2757643, 1.434371, Tracked, 0.6235457, -0.3277243, 1.385135, Tracked, 0.3770969, -0.3500832, 1.418544, Tracked, 0.3229951, -0.6369411, 1.363176, Tracked, 0.2659822, -1.003155, 1.332922, Inferred, 0.2714305, -1.021993, 1.204069, Inferred, 0.5396927, -0.3712663, 1.44606, Tracked, 0.581947, -0.6170074, 1.401037, Tracked, 0.4773924, -1.007558, 1.379694, Inferred, 0.4659897, -1.030111, 1.251799, Inferred, 0.4579007, 0.1936202, 1.606833, Tracked, 0.3346995, -0.3003233, 1.314313, Tracked, 0.2628612, -0.3002332, 1.396444, Tracked, 0.6156814, -0.3836685, 1.352906, Tracked, 0.5799291, -0.3032578, 1.356488, Tracked,
Kinect 2: 3.1165961, 0.4698596, -0.3697441, 1.468369, Tracked, 0.4641498, -0.04221374, 1.553333, Tracked, 0.4551231, 0.2699331, 1.621092, Tracked, 0.4906899, 0.4138317, 1.6282, Tracked, 0.2836106, 0.1620381, 1.554947, Tracked, 0.2082628, -0.06132308, 1.487746, Tracked, 0.2662882, -0.2092568, 1.379807, Tracked, 0.3076661, -0.2544346, 1.373367, Tracked, 0.64057, 0.1270433, 1.619349, Tracked, 0.6958998, -0.1065519, 1.611918, Tracked, 0.6653221, -0.2759459, 1.434372, Tracked, 0.6215516, -0.3272589, 1.385476, Tracked, 0.3769756, -0.3500075, 1.418611, Tracked, 0.3228345, -0.6368443, 1.363276, Tracked, 0.2657635, -1.00307, 1.333063, Inferred, 0.2709548, -1.021879, 1.204164, Inferred, 0.5396285, -0.371201, 1.446042, Tracked, 0.5817391, -0.6170896, 1.400826, Tracked, 0.4810541, -1.008675, 1.378887, Inferred, 0.4703059, -1.031031, 1.250937, Inferred, 0.4579093, 0.1938117, 1.606693, Tracked, 0.3341642, -0.3018115, 1.315882, Tracked, 0.2629744, -0.2990749, 1.397065, Tracked, 0.615676, -0.3849564, 1.353927, Tracked, 0.5779763, -0.3063273, 1.356129, Tracked,
Kinect 2: 3.1506572, 0.4698074, -0.3697024, 1.468235, Tracked, 0.4641728, -0.04220423, 1.55309, Tracked, 0.4552377, 0.2698892, 1.620745, Tracked, 0.4904677, 0.4138374, 1.627633, Tracked, 0.2835618, 0.1619977, 1.554873, Tracked, 0.2081172, -0.06137507, 1.487842, Tracked, 0.2660708, -0.20935, 1.379923, Tracked, 0.3057899, -0.2546126, 1.372283, Tracked, 0.6406928, 0.1273307, 1.619006, Tracked, 0.695769, -0.1061416, 1.611698, Tracked, 0.665334, -0.2758636, 1.434414, Tracked, 0.6213881, -0.3259954, 1.384795, Tracked, 0.3769045, -0.3500234, 1.418614, Tracked, 0.322717, -0.6369131, 1.36343, Tracked, 0.2656052, -1.003084, 1.333414, Inferred, 0.2706786, -1.021935, 1.204515, Inferred, 0.5396286, -0.3710415, 1.445628, Tracked, 0.5813142, -0.6176957, 1.400638, Tracked, 0.4731149, -1.006492, 1.389386, Inferred, 0.459728, -1.032398, 1.262949, Inferred, 0.4580019, 0.1937832, 1.606369, Tracked, 0.3331186, -0.3030277, 1.315105, Tracked, 0.2619567, -0.2976191, 1.39727, Tracked, 0.614315, -0.3837268, 1.352583, Tracked, 0.5745901, -0.3115482, 1.35032, Tracked,
Kinect 2: 3.1828564, 0.4697339, -0.3695575, 1.46821, Tracked, 0.4641587, -0.0421657, 1.552974, Tracked, 0.455274, 0.2698142, 1.620459, Tracked, 0.4902889, 0.4137303, 1.627086, Tracked, 0.2834384, 0.1620177, 1.554942, Tracked, 0.2079258, -0.06125068, 1.488285, Tracked, 0.2648952, -0.2097421, 1.380557, Tracked, 0.3054489, -0.2553092, 1.373232, Tracked, 0.6404284, 0.1280372, 1.618255, Tracked, 0.6957535, -0.105975, 1.611472, Tracked, 0.6749439, -0.2473008, 1.481618, Tracked, 0.6438822, -0.2754782, 1.429053, Tracked, 0.3768243, -0.3499688, 1.418625, Tracked, 0.322539, -0.6368062, 1.363594, Tracked, 0.2652901, -1.003009, 1.333769, Inferred, 0.2700719, -1.021878, 1.204838, Inferred, 0.5395742, -0.3707965, 1.445592, Tracked, 0.5811118, -0.6179226, 1.400531, Tracked, 0.4815568, -1.00894, 1.38157, Inferred, 0.4705532, -1.032211, 1.254003, Inferred, 0.4580241, 0.1937458, 1.606136, Tracked, 0.3314104, -0.3035557, 1.315205, Tracked, 0.2609522, -0.2981088, 1.399602, Tracked, 0.6315663, -0.3415016, 1.371929, Tracked, 0.5917299, -0.2468915, 1.387031, Tracked,
Kinect 2: 3.2178842, 0.469652, -0.3695258, 1.468146, Tracked, 0.4640982, -0.04215022, 1.55282, Tracked, 0.4552339, 0.2698045, 1.620222, Tracked, 0.4902413, 0.4136557, 1.62675, Tracked, 0.283291, 0.1619826, 1.554957, Tracked, 0.2076122, -0.06113585, 1.488857, Tracked, 0.2646732, -0.2094163, 1.380861, Tracked, 0.3052689, -0.2548605, 1.373527, Tracked, 0.6406522, 0.1279896, 1.618064, Tracked, 0.6957343, -0.1062488, 1.610961, Tracked, 0.665592, -0.2760074, 1.43633, Tracked, 0.6214, -0.3261126, 1.385255, Tracked, 0.3766977, -0.3499584, 1.418558, Tracked, 0.3223327, -0.6367046, 1.363751, Tracked, 0.2649555, -1.002985, 1.3342, Inferred, 0.2696413, -1.021931, 1.205284, Inferred, 0.5395362, -0.370769, 1.445564, Tracked, 0.5808233, -0.6183403, 1.400405, Tracked, 0.5988434, -1.022516, 1.382072, Inferred, 0.6110783, -1.042636, 1.256803, Inferred, 0.4579805, 0.1937428, 1.605917, Tracked, 0.3321714, -0.3027286, 1.314886, Tracked, 0.2610361, -0.3013356, 1.397305, Tracked, 0.6132064, -0.3829334, 1.351238, Tracked, 0.577202, -0.2852138, 1.361118, Tracked,
Kinect 2: 3.2504074, 0.4695529, -0.369537, 1.468057, Tracked, 0.4640415, -0.04216024, 1.552663, Tracked, 0.4552158, 0.2697963, 1.620018, Tracked, 0.4901594, 0.4136167, 1.626529, Tracked, 0.2832235, 0.1619597, 1.554967, Tracked, 0.2071783, -0.06128946, 1.489762, Tracked, 0.2644473, -0.2090203, 1.381061, Tracked, 0.3052759, -0.2550169, 1.372904, Tracked, 0.6405823, 0.1278701, 1.617681, Tracked, 0.6956618, -0.1061387, 1.610819, Tracked, 0.6663046, -0.2439104, 1.478385, Tracked, 0.6374084, -0.2776373, 1.422194, Tracked, 0.3765024, -0.3500396, 1.418528, Tracked, 0.3220828, -0.6368542, 1.364006, Tracked, 0.2646584, -1.003066, 1.334825, Inferred, 0.2692361, -1.022116, 1.205932, Inferred, 0.5394946, -0.3707393, 1.445441, Tracked, 0.5805545, -0.6187841, 1.400183, Tracked, 0.4758615, -1.007593, 1.377223, Inferred, 0.4640386, -1.029268, 1.248975, Inferred, 0.4579543, 0.1937336, 1.605722, Tracked, 0.3329634, -0.3032904, 1.315068, Tracked, 0.2604213, -0.297219, 1.399805, Tracked, 0.617824, -0.335244, 1.365461, Tracked, 0.5809962, -0.2387713, 1.383609, Tracked,
Kinect 2: 3.2829295, 0.4694853, -0.3695274, 1.468059, Tracked, 0.4640249, -0.04219354, 1.552595, Tracked, 0.4552691, 0.269661, 1.619805, Tracked, 0.4901467, 0.4135985, 1.626285, Tracked, 0.2830299, 0.1617182, 1.554987, Tracked, 0.2071369, -0.06123087, 1.489905, Tracked, 0.2642594, -0.2091582, 1.381412, Tracked, 0.304976, -0.2552249, 1.373402, Tracked, 0.6406581, 0.1279099, 1.61764, Tracked, 0.6956757, -0.1061859, 1.610777, Tracked, 0.6655627, -0.2663243, 1.44321, Tracked, 0.6222535, -0.3123865, 1.392109, Tracked, 0.3764057, -0.3500565, 1.418562, Tracked, 0.3219184, -0.6367955, 1.364114, Tracked, 0.2643854, -1.003062, 1.335022, Inferred, 0.2688925, -1.02213, 1.206126, Inferred, 0.5394454, -0.3707188, 1.44544, Tracked, 0.5803657, -0.6188375, 1.400058, Tracked, 0.4759246, -1.007668, 1.375726, Inferred, 0.4642355, -1.028859, 1.247286, Inferred, 0.4579858, 0.1936292, 1.605551, Tracked, 0.3331826, -0.3033978, 1.314468, Tracked, 0.2611451, -0.3004106, 1.397274, Tracked, 0.6110879, -0.3699988, 1.350771, Tracked, 0.5770805, -0.2579079, 1.367346, Tracked,
Kinect 2: 3.3160361, 0.46942, -0.3694951, 1.468005, Tracked, 0.463973, -0.0421896, 1.552516, Tracked, 0.4552227, 0.2696398, 1.619729, Tracked, 0.490095, 0.4135908, 1.626003, Tracked, 0.2830235, 0.16172, 1.55499, Tracked, 0.2069611, -0.06103083, 1.490736, Tracked, 0.2638049, -0.2087516, 1.381766, Tracked, 0.3050236, -0.2545872, 1.373118, Tracked, 0.6407752, 0.1278363, 1.617592, Tracked, 0.6956199, -0.1061436, 1.610672, Tracked, 0.6640101, -0.2707992, 1.439058, Tracked, 0.6204771, -0.3195645, 1.387834, Tracked, 0.3763259, -0.3500378, 1.418562, Tracked, 0.321505, -0.6368549, 1.364263, Tracked, 0.2635951, -1.002952, 1.33537, Inferred, 0.2680175, -1.022091, 1.206485, Inferred, 0.5393964, -0.370681, 1.445343, Tracked, 0.5802326, -0.6189475, 1.399947, Tracked, 0.4810413, -1.009138, 1.373809, Inferred, 0.4705787, -1.02985, 1.245216, Inferred, 0.4579396, 0.1936135, 1.605473, Tracked, 0.3322914, -0.3032908, 1.314129, Tracked, 0.2616065, -0.2979038, 1.397825, Tracked, 0.6112635, -0.377529, 1.351915, Tracked, 0.5754845, -0.2712883, 1.364281, Tracked,
Kinect 2: 3.3503918, 0.4692009, -0.3694927, 1.468016, Tracked, 0.4638427, -0.04221025, 1.552462, Tracked, 0.4551309, 0.2696027, 1.619643, Tracked, 0.4901439, 0.4135175, 1.625753, Tracked, 0.2828586, 0.1618476, 1.555145, Tracked, 0.2065453, -0.0607586, 1.491457, Tracked, 0.2631469, -0.2083865, 1.382203, Tracked, 0.3036519, -0.2557837, 1.372939, Tracked, 0.6410667, 0.1277852, 1.617761, Tracked, 0.6955956, -0.1061741, 1.610585, Tracked, 0.6743387, -0.2475841, 1.480893, Tracked, 0.6433449, -0.2754314, 1.428414, Tracked, 0.3760919, -0.3500637, 1.418663, Tracked, 0.321335, -0.6368595, 1.364351, Tracked, 0.2634889, -1.002993, 1.335443, Inferred, 0.2679244, -1.022122, 1.206554, Inferred, 0.5391774, -0.3706674, 1.445305, Tracked, 0.5802103, -0.61895, 1.399932, Tracked, 0.4622489, -1.003341, 1.390363, Inferred, 0.4461882, -1.029267, 1.263985, Inferred, 0.4578418, 0.19358, 1.605393, Tracked, 0.3293338, -0.3068439, 1.314184, Tracked, 0.2595185, -0.2930875, 1.401904, Tracked, 0.6310554, -0.3414815, 1.371495, Tracked, 0.5885737, -0.2463656, 1.386704, Tracked,
Kinect 2: 3.3855254, 0.4689318, -0.3694531, 1.468029, Tracked, 0.4637339, -0.04219758, 1.552461, Tracked, 0.455101, 0.269604, 1.619651, Tracked, 0.490178, 0.4133903, 1.625384, Tracked, 0.2827584, 0.1619359, 1.5552, Tracked, 0.2064497, -0.06077261, 1.49155, Tracked, 0.2625849, -0.2088659, 1.382722, Tracked, 0.3033364, -0.2557863, 1.373989, Tracked, 0.6411, 0.1277105, 1.617718, Tracked, 0.6955192, -0.1061451, 1.610489, Tracked, 0.6665261, -0.2446587, 1.478814, Tracked, 0.6383423, -0.2775297, 1.423296, Tracked, 0.3758051, -0.3500962, 1.418836, Tracked, 0.3210789, -0.6371078, 1.364672, Tracked, 0.2633324, -1.003051, 1.335976, Inferred, 0.2677618, -1.022244, 1.207107, Inferred, 0.5388678, -0.3705629, 1.445195, Tracked, 0.5800343, -0.619319, 1.399873, Tracked, 0.4605773, -1.002718, 1.392127, Inferred, 0.443985, -1.029238, 1.266042, Inferred, 0.4577995, 0.1935829, 1.605399, Tracked, 0.3289232, -0.3064477, 1.314815, Tracked, 0.2611764, -0.2988464, 1.398687, Tracked, 0.6193297, -0.335578, 1.366284, Tracked, 0.5827059, -0.2400729, 1.385067, Tracked,
Kinect 2: 3.4174398, 0.4688355, -0.3694845, 1.467995, Tracked, 0.4636784, -0.04222961, 1.552426, Tracked, 0.4550742, 0.2695765, 1.619632, Tracked, 0.4901154, 0.4132605, 1.625135, Tracked, 0.2823892, 0.1616358, 1.555299, Tracked, 0.2062293, -0.06077975, 1.491672, Tracked, 0.2624104, -0.2088963, 1.382905, Tracked, 0.3033558, -0.2557116, 1.373108, Tracked, 0.6411518, 0.1276376, 1.617718, Tracked, 0.6954912, -0.1061236, 1.610465, Tracked, 0.6660615, -0.2678132, 1.442224, Tracked, 0.6230119, -0.3141703, 1.391306, Tracked, 0.3756846, -0.350185, 1.418855, Tracked, 0.3208989, -0.6369571, 1.364746, Tracked, 0.2630004, -1.003108, 1.336095, Inferred, 0.2673414, -1.022309, 1.207218, Inferred, 0.5387831, -0.3705588, 1.445131, Tracked, 0.5799323, -0.6192173, 1.399784, Tracked, 0.4665748, -1.004773, 1.37587, Inferred, 0.452937, -1.025758, 1.247324, Inferred, 0.4577674, 0.1935537, 1.605376, Tracked, 0.329182, -0.3067966, 1.313997, Tracked, 0.2593301, -0.2956036, 1.401178, Tracked, 0.6132576, -0.3736503, 1.35278, Tracked, 0.5771552, -0.2651747, 1.366543, Tracked,
Kinect 2: 3.4504793, 0.4688065, -0.3694624, 1.467911, Tracked, 0.4636136, -0.04222829, 1.552362, Tracked, 0.4549552, 0.269556, 1.619602, Tracked, 0.4901327, 0.4131336, 1.624971, Tracked, 0.2823254, 0.1616544, 1.555333, Tracked, 0.2061522, -0.06098742, 1.491714, Tracked, 0.2623353, -0.2089814, 1.382765, Tracked, 0.3033287, -0.2559469, 1.372684, Tracked, 0.6411452, 0.1276592, 1.617718, Tracked, 0.695453, -0.1061429, 1.610392, Tracked, 0.6753711, -0.2467796, 1.479635, Tracked, 0.6427898, -0.2753276, 1.4277, Tracked, 0.3756264, -0.3501845, 1.41877, Tracked, 0.3208503, -0.6370181, 1.364785, Tracked, 0.2629825, -1.003121, 1.336298, Inferred, 0.2673102, -1.022374, 1.20744, Inferred, 0.5387843, -0.37053, 1.445077, Tracked, 0.5798867, -0.6191917, 1.399726, Tracked, 0.4673993, -1.004994, 1.373934, Inferred, 0.4541036, -1.025369, 1.245146, Inferred, 0.4576671, 0.1935391, 1.605336, Tracked, 0.3283033, -0.3076049, 1.31456, Tracked, 0.2596965, -0.2963875, 1.402293, Tracked, 0.6308191, -0.3413722, 1.371951, Tracked, 0.5905012, -0.2467919, 1.386871, Tracked,
Kinect 2: 3.4855437, 0.4687675, -0.3694365, 1.467898, Tracked, 0.4636026, -0.04222732, 1.552365, Tracked, 0.4549463, 0.2695359, 1.619644, Tracked, 0.490142, 0.4131285, 1.624964, Tracked, 0.2822879, 0.1618078, 1.555445, Tracked, 0.2060629, -0.06100137, 1.491739, Tracked, 0.2623318, -0.2090171, 1.382873, Tracked, 0.3035758, -0.2561913, 1.373335, Tracked, 0.6411142, 0.1277178, 1.617681, Tracked, 0.6954181, -0.1061287, 1.610324, Tracked, 0.6655847, -0.2774923, 1.437306, Tracked, 0.6216145, -0.3287188, 1.384556, Tracked, 0.3755752, -0.3501725, 1.418772, Tracked, 0.320883, -0.6366806, 1.364864, Tracked, 0.2630078, -1.003124, 1.336441, Inferred, 0.2673092, -1.0224, 1.207587, Inferred, 0.5387624, -0.370499, 1.445062, Tracked, 0.5798006, -0.619078, 1.399705, Tracked, 0.4574025, -1.00167, 1.391131, Inferred, 0.4401243, -1.0277, 1.264847, Inferred, 0.4576578, 0.1935273, 1.605361, Tracked, 0.3277874, -0.3077181, 1.315314, Tracked, 0.2591337, -0.2893739, 1.406404, Tracked, 0.6146925, -0.3889685, 1.352551, Tracked, 0.5763676, -0.2909194, 1.359, Tracked,
Kinect 2: 3.5175968, 0.4687149, -0.3694757, 1.467841, Tracked, 0.4635292, -0.04226572, 1.552335, Tracked, 0.454836, 0.2694933, 1.619661, Tracked, 0.4901583, 0.4130219, 1.624921, Tracked, 0.282268, 0.1617846, 1.55544, Tracked, 0.2059237, -0.06093151, 1.491657, Tracked, 0.2622947, -0.2089829, 1.382903, Tracked, 0.3032024, -0.2556611, 1.372887, Tracked, 0.641295, 0.1274327, 1.617683, Tracked, 0.6953865, -0.1061251, 1.610263, Tracked, 0.665043, -0.2443503, 1.478546, Tracked, 0.6369548, -0.2785014, 1.421385, Tracked, 0.375511, -0.3502082, 1.418686, Tracked, 0.3209323, -0.6367132, 1.364945, Tracked, 0.2631918, -1.003203, 1.336733, Inferred, 0.2675254, -1.02255, 1.207911, Inferred, 0.538727, -0.3705411, 1.445044, Tracked, 0.5797819, -0.6191128, 1.399656, Tracked, 0.5644488, -1.021929, 1.362532, Inferred, 0.5702117, -1.038167, 1.234308, Inferred, 0.4575609, 0.1934862, 1.605364, Tracked, 0.3293272, -0.3060368, 1.313742, Tracked, 0.2603226, -0.2964781, 1.401234, Tracked, 0.619019, -0.3356136, 1.366698, Tracked, 0.5809252, -0.2394521, 1.383462, Tracked,
Kinect 2: 3.5529696, 0.4684993, -0.3695873, 1.467676, Tracked, 0.4634293, -0.04227151, 1.552283, Tracked, 0.4547839, 0.2695361, 1.619673, Tracked, 0.4901474, 0.4129958, 1.624923, Tracked, 0.2822454, 0.1617921, 1.555435, Tracked, 0.2058742, -0.06086628, 1.491644, Tracked, 0.2621502, -0.2089514, 1.382884, Tracked, 0.3032663, -0.2556579, 1.372225, Tracked, 0.6410509, 0.1272092, 1.617295, Tracked, 0.6953747, -0.1061557, 1.610206, Tracked, 0.6650489, -0.2444102, 1.478518, Tracked, 0.6369717, -0.2789818, 1.421499, Tracked, 0.3752599, -0.3503183, 1.418585, Tracked, 0.320819, -0.6368424, 1.364932, Tracked, 0.2632461, -1.003356, 1.336833, Inferred, 0.2675413, -1.022725, 1.208017, Inferred, 0.5385653, -0.3706575, 1.444849, Tracked, 0.5797645, -0.6191453, 1.39961, Tracked, 0.4587815, -1.001303, 1.409888, Inferred, 0.439382, -1.034673, 1.287492, Inferred, 0.4575057, 0.1935156, 1.605361, Tracked, 0.3292928, -0.3060027, 1.313599, Tracked, 0.2607478, -0.2968108, 1.3994, Tracked, 0.6185865, -0.3354993, 1.366231, Tracked, 0.580973, -0.239512, 1.383389, Tracked,
