Time,SpineBaseX,SpineBaseY,SpineBaseZ,SpineBaseTracked,SpineMidX,SpineMidY,SpineMidZ,SpineMidTracked,NeckX,NeckY,NeckZ,NeckTracked,HeadX,HeadY,HeadZ,HeadTracked,ShoulderLeftX,ShoulderLeftY,ShoulderLeftZ,ShoulderLeftTracked,ElbowLeftX,ElbowLeftY,ElbowLeftZ,ElbowLeftTracked,WristLeftX,WristLeftY,WristLeftZ,WristLeftTracked,HandLeftX,HandLeftY,HandLeftZ,HandLeftTracked,ShoulderRightX,ShoulderRightY,ShoulderRightZ,ShoulderRightTracked,ElbowRightX,ElbowRightY,ElbowRightZ,ElbowRightTracked,WristRightX,WristRightY,WristRightZ,WristRightTracked,HandRightX,HandRightY,HandRightZ,HandRightTracked,HipLeftX,HipLeftY,HipLeftZ,HipLeftTracked,KneeLeftX,KneeLeftY,KneeLeftZ,KneeLeftTracked,AnkleLeftX,AnkleLeftY,AnkleLeftZ,AnkleLeftTracked,FootLeftX,FootLeftY,FootLeftZ,FootLeftTracked,HipRightX,HipRightY,HipRightZ,HipRightTracked,KneeRightX,KneeRightY,KneeRightZ,KneeRightTracked,AnkleRightX,AnkleRightY,AnkleRightZ,AnkleRightTracked,FootRightX,FootRightY,FootRightZ,FootRightTracked,SpineShoulderX,SpineShoulderY,SpineShoulderZ,SpineShoulderTracked,HandTipLeftX,HandTipLeftY,HandTipLeftZ,HandTipLeftTracked,ThumbLeftX,ThumbLeftY,ThumbLeftZ,ThumbLeftTracked,HandTipRightX,HandTipRightY,HandTipRightZ,HandTipRightTracked,ThumbRightX,ThumbRightY,ThumbRightZ,ThumbRightTrackedKinect 2: 1.7439115, 0.02444498, -0.3708614, 1.360275, Tracked, 0.05359698, -0.03926712, 1.445768, Tracked, 0.08058089, 0.2739113, 1.5125, Tracked, 0.1498058, 0.3976327, 1.551957, Tracked, -0.1003692, 0.1806518, 1.445215, Tracked, -0.2308979, -0.01495416, 1.414398, Tracked, -0.1960513, -0.2246625, 1.308833, Tracked, -0.1554982, -0.2844831, 1.285915, Tracked, 0.2598303, 0.09588371, 1.550363, Tracked, 0.2801946, -0.07642314, 1.530222, Tracked, 0.3125921, -0.1934915, 1.399164, Inferred, 0.2635875, -0.2007692, 1.373644, Inferred, -0.0602119, -0.3414364, 1.291323, Tracked, -0.09372488, -0.6205233, 1.2522, Tracked, -0.1343493, -0.9540616, 1.245379, Inferred, -0.1115016, -0.9684812, 1.145502, Inferred, 0.1073935, -0.3792705, 1.352296, Tracked, 0.1217199, -0.5962307, 1.224937, Tracked, 0.1488213, -0.9575296, 1.074891, Inferred, 0.1718258, -0.9424217, 0.9701425, Inferred, 0.0741144, 0.1978743, 1.498466, Tracked, -0.1414534, -0.3506443, 1.251883, Tracked, -0.1154649, -0.2489377, 1.249657, Tracked, 0.2480993, -0.2240156, 1.310575, Tracked, 0.2575183, -0.2037028, 1.295, Tracked,
Kinect 2: 2.1435066, -0.00577642, -0.3868761, 1.591912, Tracked, -0.009904437, -0.05920454, 1.643492, Tracked, -0.01321416, 0.2536571, 1.679861, Tracked, 0.02940275, 0.3856172, 1.728295, Tracked, -0.176635, 0.1398845, 1.608323, Tracked, -0.2957944, -0.06289984, 1.567872, Tracked, -0.2236486, -0.2168007, 1.489496, Tracked, -0.1781662, -0.2586947, 1.495118, Tracked, 0.1653097, 0.1063846, 1.756838, Tracked, 0.2073065, -0.1074082, 1.770311, Tracked, 0.2138576, -0.2367729, 1.632316, Tracked, 0.1746178, -0.2741446, 1.601007, Tracked, -0.08696833, -0.3686743, 1.523528, Tracked, -0.1125202, -0.6708493, 1.479621, Tracked, -0.1532134, -1.01525, 1.487902, Inferred, -0.1168826, -1.045557, 1.373171, Inferred, 0.07550478, -0.386764, 1.584901, Tracked, 0.1016159, -0.6530815, 1.429855, Tracked, 0.1353029, -0.9877304, 1.277232, Inferred, 0.1733643, -0.9796823, 1.15352, Inferred, -0.01246758, 0.1773479, 1.673179, Tracked, -0.1439505, -0.3316772, 1.468229, Tracked, -0.1514499, -0.24764, 1.454016, Tracked, 0.1730061, -0.3317438, 1.549291, Tracked, 0.1912642, -0.3118112, 1.578572, Tracked,
Kinect 2: 2.1759566, -0.004588218, -0.3890758, 1.605515, Tracked, -0.01073973, -0.06238297, 1.663686, Tracked, -0.01701067, 0.250014, 1.70559, Tracked, 0.02495968, 0.3835403, 1.742174, Tracked, -0.1784278, 0.137352, 1.620138, Tracked, -0.2943023, -0.06627978, 1.577281, Tracked, -0.2213085, -0.2197171, 1.496945, Tracked, -0.1925202, -0.2514444, 1.505336, Tracked, 0.1641978, 0.1048565, 1.769491, Tracked, 0.2059911, -0.1092033, 1.782924, Tracked, 0.2019189, -0.2461668, 1.633723, Tracked, 0.1648319, -0.2913372, 1.59846, Tracked, -0.08555287, -0.3714415, 1.538848, Tracked, -0.1132822, -0.6729765, 1.490575, Tracked, -0.1741776, -1.016932, 1.472358, Inferred, -0.1411286, -1.041999, 1.353141, Inferred, 0.07642888, -0.3884827, 1.596853, Tracked, 0.1062691, -0.6629573, 1.446022, Tracked, 0.1431658, -0.9953726, 1.303451, Inferred, 0.1820236, -0.9873655, 1.179644, Inferred, -0.0154604, 0.1737435, 1.697704, Tracked, -0.1599853, -0.3275159, 1.486605, Tracked, -0.1539976, -0.2541587, 1.46403, Tracked, 0.159997, -0.3458527, 1.542617, Tracked, 0.1869579, -0.3272819, 1.578857, Tracked,
Kinect 2: 2.2119567, -0.002661314, -0.3907813, 1.61818, Tracked, -0.01108787, -0.06369527, 1.67441, Tracked, -0.01895091, 0.2491882, 1.714273, Tracked, 0.02168187, 0.3813171, 1.754278, Tracked, -0.1795982, 0.1344627, 1.632795, Tracked, -0.2954042, -0.06795853, 1.584303, Tracked, -0.2204585, -0.2227479, 1.507327, Tracked, -0.1927878, -0.2508982, 1.515173, Tracked, 0.1635582, 0.1034737, 1.780277, Tracked, 0.2043589, -0.1125531, 1.797893, Tracked, 0.1982241, -0.2496695, 1.651787, Tracked, 0.1618466, -0.2913298, 1.612025, Tracked, -0.08361094, -0.373188, 1.550416, Tracked, -0.1142744, -0.6746611, 1.50044, Tracked, -0.1612028, -1.021021, 1.472404, Inferred, -0.1260246, -1.042173, 1.351915, Inferred, 0.07821819, -0.3901671, 1.610554, Tracked, 0.1110794, -0.6699795, 1.468279, Tracked, 0.1510437, -1.004282, 1.337598, Inferred, 0.1899924, -0.9981025, 1.213784, Inferred, -0.01705545, 0.1727948, 1.706858, Tracked, -0.1630059, -0.3213635, 1.498761, Tracked, -0.216294, -0.2680005, 1.441, Tracked, 0.1564454, -0.344535, 1.5598, Tracked, 0.1913181, -0.3179365, 1.608, Tracked,
Kinect 2: 2.2439518, -0.0003646216, -0.3929402, 1.629978, Tracked, -0.009670085, -0.06600082, 1.686213, Tracked, -0.01843719, 0.2469751, 1.725621, Tracked, 0.02026722, 0.3784578, 1.766827, Tracked, -0.1785475, 0.1320525, 1.642721, Tracked, -0.2961324, -0.07135262, 1.592292, Tracked, -0.2200783, -0.2263649, 1.515163, Tracked, -0.1917469, -0.2534182, 1.523975, Tracked, 0.1633328, 0.1026246, 1.790079, Tracked, 0.2041309, -0.1157963, 1.809553, Tracked, 0.2162727, -0.2472989, 1.671268, Tracked, 0.1772337, -0.2833579, 1.643689, Tracked, -0.08102801, -0.3758434, 1.562753, Tracked, -0.1140275, -0.6755725, 1.506996, Tracked, -0.1598283, -1.023622, 1.47164, Inferred, -0.1243677, -1.042766, 1.350282, Inferred, 0.08014181, -0.3918779, 1.621798, Tracked, 0.114011, -0.6797924, 1.489001, Tracked, 0.2216867, -1.014039, 1.462368, Inferred, 0.2712763, -1.018099, 1.346264, Inferred, -0.01631804, 0.1705338, 1.718363, Tracked, -0.1687656, -0.2936264, 1.514044, Tracked, -0.2412056, -0.2455659, 1.4474, Tracked, 0.1812246, -0.3452402, 1.600305, Tracked, 0.1932887, -0.2928711, 1.631167, Tracked,
Kinect 2: 2.2759269, 0.003360867, -0.3949751, 1.642089, Tracked, -0.007344633, -0.06827911, 1.698104, Tracked, -0.01744193, 0.2445952, 1.737384, Tracked, 0.02098326, 0.3763281, 1.77847, Tracked, -0.1767253, 0.1294283, 1.654374, Tracked, -0.2963173, -0.07168188, 1.599519, Tracked, -0.2173346, -0.226772, 1.524165, Tracked, -0.1856249, -0.2576005, 1.533359, Tracked, 0.1652347, 0.1002149, 1.801968, Tracked, 0.204902, -0.1193386, 1.820479, Tracked, 0.2184469, -0.2521384, 1.682788, Tracked, 0.179452, -0.287098, 1.655078, Tracked, -0.07702978, -0.3784815, 1.575497, Tracked, -0.1141312, -0.6765831, 1.512435, Tracked, -0.1566334, -1.025931, 1.468389, Inferred, -0.1205565, -1.042629, 1.346178, Inferred, 0.08343869, -0.393369, 1.633284, Tracked, 0.1184199, -0.689899, 1.513218, Tracked, 0.1632118, -1.033467, 1.50329, Inferred, 0.207884, -1.047926, 1.386854, Inferred, -0.01499521, 0.168162, 1.730156, Tracked, -0.158819, -0.3387323, 1.517894, Tracked, -0.1447128, -0.2706119, 1.493953, Tracked, 0.183106, -0.3480374, 1.613856, Tracked, 0.2011415, -0.2698298, 1.658692, Tracked,
Kinect 2: 2.309862, 0.007425423, -0.3971443, 1.654227, Tracked, -0.004109697, -0.07068293, 1.711073, Tracked, -0.01511111, 0.2420957, 1.751193, Tracked, 0.0224514, 0.37398, 1.791755, Tracked, -0.1725436, 0.1269969, 1.664848, Tracked, -0.2934096, -0.07062614, 1.607702, Tracked, -0.2149481, -0.2260578, 1.531069, Tracked, -0.1825759, -0.2531581, 1.540569, Tracked, 0.1669706, 0.09795176, 1.813653, Tracked, 0.20701, -0.1215237, 1.832884, Tracked, 0.2050821, -0.2553684, 1.69471, Tracked, 0.1710578, -0.2942568, 1.657514, Tracked, -0.07266676, -0.3801392, 1.585782, Tracked, -0.1133975, -0.6785081, 1.519729, Tracked, -0.1694866, -1.026228, 1.484702, Inferred, -0.135235, -1.046412, 1.363033, Inferred, 0.08692393, -0.3961276, 1.64747, Tracked, 0.1201678, -0.6986358, 1.53834, Tracked, 0.1143921, -1.037404, 1.586, Inferred, 0.154417, -1.074107, 1.478103, Inferred, -0.01243117, 0.165667, 1.743759, Tracked, -0.1544587, -0.3333087, 1.523506, Tracked, -0.15206, -0.2501194, 1.504123, Tracked, 0.1645159, -0.3510641, 1.603253, Tracked, 0.1917227, -0.3321989, 1.6377, Tracked,
Kinect 2: 2.3443697, 0.0118941, -0.3995091, 1.66524, Tracked, -5.41158E-05, -0.07326876, 1.722624, Tracked, -0.01150427, 0.2394201, 1.763275, Tracked, 0.0257214, 0.371234, 1.805797, Tracked, -0.167659, 0.1248245, 1.674935, Tracked, -0.288612, -0.07201628, 1.616236, Tracked, -0.2105027, -0.2275343, 1.538262, Tracked, -0.1904748, -0.2468233, 1.547965, Tracked, 0.1703935, 0.09389526, 1.828831, Tracked, 0.2095412, -0.1247578, 1.844899, Tracked, 0.2097968, -0.2570115, 1.704493, Tracked, 0.1762438, -0.2975009, 1.669987, Tracked, -0.0679139, -0.3818066, 1.595381, Tracked, -0.1124269, -0.6794057, 1.524051, Tracked, -0.1487814, -1.030055, 1.485501, Inferred, -0.1099957, -1.047932, 1.364575, Inferred, 0.09086286, -0.3992205, 1.659864, Tracked, 0.1236825, -0.7060915, 1.562393, Tracked, 0.07255033, -1.041096, 1.603476, Inferred, 0.1040932, -1.083104, 1.494882, Inferred, -0.008707462, 0.1629962, 1.755714, Tracked, -0.1980558, -0.3050646, 1.507255, Tracked, -0.1966402, -0.299744, 1.481, Tracked, 0.1691718, -0.3531039, 1.616758, Tracked, 0.1969642, -0.3268342, 1.654045, Tracked,
Kinect 2: 2.3764765, 0.01743894, -0.4028835, 1.677876, Tracked, 0.005657312, -0.07608094, 1.73689, Tracked, -0.005652166, 0.2373342, 1.779326, Tracked, 0.03244483, 0.3677873, 1.825665, Tracked, -0.1613395, 0.122894, 1.687649, Tracked, -0.2823914, -0.07281589, 1.626891, Tracked, -0.2039384, -0.2278034, 1.547126, Tracked, -0.1805643, -0.2488641, 1.558268, Tracked, 0.1758448, 0.08871492, 1.84512, Tracked, 0.2136301, -0.1297537, 1.863224, Tracked, 0.2150406, -0.2603927, 1.720721, Tracked, 0.1947916, -0.2829943, 1.705536, Inferred, -0.06157987, -0.384179, 1.607499, Tracked, -0.1099757, -0.6822287, 1.53001, Tracked, -0.1619902, -1.028717, 1.478447, Inferred, -0.1246352, -1.044749, 1.35613, Inferred, 0.09542152, -0.4035603, 1.672968, Tracked, 0.1253232, -0.7135866, 1.588132, Tracked, 0.1221776, -1.046019, 1.653529, Inferred, 0.1656155, -1.088557, 1.551688, Inferred, -0.002884324, 0.160707, 1.771308, Tracked, -0.153726, -0.2954122, 1.54821, Tracked, -0.1461787, -0.2501687, 1.517656, Tracked, 0.1834983, -0.3174885, 1.661231, Tracked, 0.2025605, -0.3049221, 1.66625, Tracked,
Kinect 2: 2.4111654, 0.02488146, -0.4069206, 1.691169, Tracked, 0.01274902, -0.07971635, 1.750638, Tracked, 0.001013504, 0.2342005, 1.793416, Tracked, 0.03839484, 0.3643206, 1.839925, Tracked, -0.1558505, 0.1200006, 1.69709, Tracked, -0.2750912, -0.07539754, 1.63533, Tracked, -0.193497, -0.2295986, 1.556398, Tracked, -0.1826809, -0.2438372, 1.565935, Tracked, 0.1794655, 0.08599702, 1.859896, Tracked, 0.218281, -0.1351372, 1.880908, Tracked, 0.2189956, -0.2633614, 1.735552, Tracked, 0.201971, -0.2886425, 1.722992, Inferred, -0.05320664, -0.3874117, 1.619892, Tracked, -0.108101, -0.6858743, 1.534964, Tracked, -0.1670142, -1.028056, 1.472247, Inferred, -0.1294506, -1.042044, 1.34921, Inferred, 0.1016358, -0.4083627, 1.687187, Tracked, 0.1263373, -0.7213882, 1.614854, Tracked, 0.05812819, -1.050144, 1.663815, Inferred, 0.08693055, -1.099115, 1.559417, Inferred, 0.003898104, 0.1574343, 1.785328, Tracked, -0.1505143, -0.2986005, 1.559949, Tracked, -0.1469527, -0.2324583, 1.532314, Tracked, 0.1890257, -0.3232155, 1.678588, Tracked, 0.2078779, -0.3170012, 1.689778, Tracked,
Kinect 2: 2.4431551, 0.03229635, -0.4122892, 1.703671, Tracked, 0.01994145, -0.08397754, 1.763772, Tracked, 0.007986436, 0.2311031, 1.80725, Tracked, 0.04746834, 0.3595983, 1.859779, Tracked, -0.1452371, 0.1155876, 1.710153, Tracked, -0.2665937, -0.07839365, 1.642596, Tracked, -0.1832608, -0.2330209, 1.565839, Tracked, -0.1832786, -0.2353674, 1.575525, Tracked, 0.1847983, 0.08209319, 1.874181, Tracked, 0.2209722, -0.1383086, 1.896649, Tracked, 0.2324472, -0.282541, 1.768646, Tracked, 0.1965744, -0.3026818, 1.725876, Tracked, -0.04478584, -0.3919091, 1.632735, Tracked, -0.1051762, -0.6887268, 1.539888, Tracked, -0.1530996, -1.032723, 1.479648, Inferred, -0.1132549, -1.046568, 1.357562, Inferred, 0.1077922, -0.4144326, 1.699301, Tracked, 0.123675, -0.7299011, 1.638843, Tracked, 0.05340916, -1.058903, 1.676238, Inferred, 0.08296549, -1.104492, 1.569088, Inferred, 0.01092978, 0.1540359, 1.798983, Tracked, -0.1615014, -0.2809483, 1.559479, Tracked, -0.1508845, -0.2307965, 1.539553, Tracked, 0.1898381, -0.3615977, 1.680827, Tracked, 0.2168789, -0.3215786, 1.711941, Tracked,
Kinect 2: 2.4780354, 0.03901554, -0.4170302, 1.713519, Tracked, 0.02124196, -0.08487997, 1.765524, Tracked, 0.007904258, 0.2312008, 1.806975, Tracked, 0.05518981, 0.3557879, 1.874433, Tracked, -0.1346513, 0.1115581, 1.719984, Tracked, -0.2558869, -0.08072416, 1.64849, Tracked, -0.1702675, -0.2348624, 1.57279, Tracked, -0.1215074, -0.2787423, 1.58004, Tracked, 0.1977132, 0.07330962, 1.900432, Tracked, 0.2254705, -0.1469836, 1.916002, Tracked, 0.2332905, -0.2808672, 1.775699, Tracked, 0.2110367, -0.3066075, 1.750763, Inferred, -0.03691319, -0.3957091, 1.643353, Tracked, -0.1016503, -0.6908481, 1.544334, Tracked, -0.1462294, -1.034591, 1.477724, Inferred, -0.1027094, -1.04743, 1.356952, Inferred, 0.1131802, -0.4199686, 1.708437, Tracked, 0.1193213, -0.7407902, 1.661844, Tracked, 0.05855824, -1.068258, 1.687896, Inferred, 0.09458376, -1.108723, 1.579491, Inferred, 0.01094608, 0.1540352, 1.799003, Tracked, -0.09055205, -0.3462558, 1.554328, Tracked, -0.09592081, -0.2588238, 1.543016, Tracked, 0.2019622, -0.3371841, 1.711514, Tracked, 0.2195961, -0.335392, 1.7122, Tracked,
Kinect 2: 2.5098225, 0.04881678, -0.4238619, 1.727962, Tracked, 0.04135949, -0.09491135, 1.795935, Tracked, 0.03328814, 0.2224982, 1.846327, Tracked, 0.06819274, 0.3505712, 1.895472, Tracked, -0.1202018, 0.1080986, 1.731609, Tracked, -0.2445374, -0.08305882, 1.653471, Tracked, -0.1477186, -0.2351321, 1.587876, Tracked, -0.09830553, -0.2847263, 1.591573, Tracked, 0.2008763, 0.07067402, 1.909376, Tracked, 0.2334841, -0.1570708, 1.939975, Tracked, 0.2439193, -0.2957371, 1.804353, Tracked, 0.2153336, -0.3154535, 1.768662, Tracked, -0.02593047, -0.4012869, 1.658132, Tracked, -0.09581836, -0.6927104, 1.550733, Tracked, -0.137679, -1.037378, 1.480432, Inferred, -0.09327825, -1.048919, 1.359732, Inferred, 0.1213706, -0.4279035, 1.722492, Tracked, 0.1172785, -0.7496588, 1.681169, Tracked, 0.05683047, -1.076053, 1.707599, Inferred, 0.09299946, -1.117986, 1.600434, Inferred, 0.03538895, 0.1447157, 1.836475, Tracked, -0.05725742, -0.3474422, 1.561141, Tracked, -0.08647224, -0.2523033, 1.555102, Tracked, 0.215901, -0.3622881, 1.731676, Tracked, 0.2429869, -0.3105002, 1.781667, Tracked,
Kinect 2: 2.5437571, 0.05670398, -0.429736, 1.741278, Tracked, 0.04569089, -0.09708592, 1.802333, Tracked, 0.03552007, 0.2219715, 1.848828, Tracked, 0.07918487, 0.3451131, 1.910709, Tracked, -0.12036, 0.1081465, 1.731404, Tracked, -0.2273754, -0.09145736, 1.663098, Tracked, -0.1313259, -0.2432913, 1.593737, Tracked, -0.08262076, -0.2922955, 1.603104, Tracked, 0.2012753, 0.07060998, 1.910429, Tracked, 0.2418943, -0.1667337, 1.96215, Tracked, 0.2510653, -0.3058285, 1.825996, Tracked, 0.2157298, -0.3515817, 1.768032, Tracked, -0.01760417, -0.4064302, 1.670998, Tracked, -0.08943214, -0.6942128, 1.557007, Tracked, -0.1320279, -1.039194, 1.478946, Inferred, -0.08765134, -1.049289, 1.357932, Inferred, 0.1284098, -0.4344104, 1.736175, Tracked, 0.1160638, -0.7607676, 1.702539, Tracked, 0.04924145, -1.082714, 1.709504, Inferred, 0.08477931, -1.118969, 1.597883, Inferred, 0.03802663, 0.1439074, 1.839705, Tracked, -0.04590935, -0.3556328, 1.57499, Tracked, -0.05239717, -0.2476126, 1.618531, Tracked, 0.2054767, -0.4099852, 1.728616, Tracked, 0.2299511, -0.3831194, 1.756, Tracked,
Kinect 2: 2.5758723, 0.06683082, -0.4366149, 1.756119, Tracked, 0.06341868, -0.1047097, 1.824211, Tracked, 0.06068555, 0.2150307, 1.876028, Tracked, 0.09631347, 0.3363331, 1.931095, Tracked, -0.07244252, 0.09854452, 1.7593, Tracked, -0.2095471, -0.09028474, 1.667745, Tracked, -0.1116605, -0.2430495, 1.602697, Tracked, -0.06288292, -0.2930162, 1.614252, Tracked, 0.2279012, 0.05446261, 1.970956, Tracked, 0.2514424, -0.173531, 1.991536, Tracked, 0.2684006, -0.3211772, 1.865906, Tracked, 0.2403432, -0.334213, 1.833154, Tracked, -0.004632726, -0.4109285, 1.685457, Tracked, -0.07854929, -0.6955506, 1.563396, Tracked, -0.1379485, -1.03643, 1.47599, Inferred, -0.08751729, -1.048121, 1.359046, Inferred, 0.1355642, -0.4439718, 1.752571, Tracked, 0.1122245, -0.7757531, 1.720965, Tracked, 0.02223308, -1.084867, 1.738991, Inferred, 0.05992811, -1.130715, 1.636121, Inferred, 0.06134782, 0.1366828, 1.865668, Tracked, -0.02505085, -0.3548923, 1.585737, Tracked, -0.0420556, -0.2630056, 1.578123, Tracked, 0.228839, -0.3874838, 1.777272, Tracked, 0.2598936, -0.3347044, 1.8312, Tracked,
Kinect 2: 2.6118864, 0.07868145, -0.4433394, 1.77346, Tracked, 0.06569415, -0.1061688, 1.827398, Tracked, 0.06038559, 0.2149949, 1.875552, Tracked, 0.1140369, 0.3282486, 1.949469, Tracked, -0.06987514, 0.09786525, 1.76054, Tracked, -0.185306, -0.09610453, 1.673599, Tracked, -0.08449669, -0.2483273, 1.610929, Tracked, -0.03871793, -0.3013636, 1.627811, Tracked, 0.2289122, 0.05346097, 1.972937, Tracked, 0.2606863, -0.1805134, 2.016738, Tracked, 0.2647586, -0.3178185, 1.877034, Tracked, 0.2432863, -0.3576769, 1.840472, Inferred, 0.009841378, -0.416171, 1.701564, Tracked, -0.06809925, -0.691232, 1.567216, Tracked, -0.1276915, -1.037115, 1.473256, Inferred, -0.07673824, -1.048101, 1.356039, Inferred, 0.1441796, -0.4518839, 1.770768, Tracked, 0.1143309, -0.7832046, 1.741129, Tracked, 0.009269086, -1.089981, 1.752609, Inferred, 0.04389051, -1.136022, 1.64766, Inferred, 0.06135239, 0.136635, 1.865733, Tracked, -0.00105816, -0.3612154, 1.600794, Tracked, -0.01538785, -0.2662185, 1.595089, Tracked, 0.2228622, -0.4022262, 1.79144, Tracked, 0.24479, -0.3926647, 1.807583, Tracked,
Kinect 2: 2.6434609, 0.09804486, -0.4532309, 1.798954, Tracked, 0.101115, -0.1192384, 1.86722, Tracked, 0.09920423, 0.2047152, 1.913198, Tracked, 0.131341, 0.3221318, 1.965074, Tracked, -0.03271828, 0.08654971, 1.778823, Tracked, -0.1548616, -0.1034066, 1.681509, Tracked, -0.04998421, -0.2556247, 1.626976, Tracked, -0.01131897, -0.3091693, 1.64594, Tracked, 0.2415179, 0.04046886, 2.009855, Tracked, 0.2696639, -0.1838053, 2.043933, Tracked, 0.2696046, -0.3257349, 1.908823, Tracked, 0.2502711, -0.3763334, 1.856851, Inferred, 0.03254167, -0.4228536, 1.722776, Tracked, -0.04899754, -0.6802127, 1.567079, Tracked, -0.1284224, -1.02977, 1.471726, Inferred, -0.0742188, -1.044912, 1.358409, Inferred, 0.1594585, -0.4654396, 1.802019, Tracked, 0.124451, -0.8064415, 1.777437, Tracked, 0.01134039, -1.100837, 1.765057, Inferred, 0.05139261, -1.142937, 1.659909, Inferred, 0.09979931, 0.1253101, 1.904306, Tracked, 0.03706238, -0.367165, 1.621177, Tracked, -0.06140975, -0.345002, 1.647741, Tracked, 0.2316862, -0.4205383, 1.810592, Tracked, 0.2492767, -0.4213394, 1.814333, Tracked,
Kinect 2: 2.6768813, 0.1095068, -0.4571359, 1.811886, Tracked, 0.1088804, -0.1211199, 1.874901, Tracked, 0.1080184, 0.2029752, 1.921388, Tracked, 0.1534754, 0.3153278, 1.985684, Tracked, -0.01935636, 0.08464898, 1.784527, Tracked, -0.1311238, -0.1072424, 1.687832, Tracked, -0.02930264, -0.2621637, 1.635471, Tracked, 0.006214651, -0.3185303, 1.659567, Tracked, 0.2476303, 0.02969909, 2.01769, Tracked, 0.2775379, -0.1764847, 2.08357, Tracked, 0.2760729, -0.3188062, 1.948597, Inferred, 0.2626183, -0.3779356, 1.884626, Inferred, 0.04357856, -0.4244165, 1.729873, Tracked, -0.01531452, -0.6593527, 1.563961, Tracked, -0.1308089, -1.019829, 1.461104, Inferred, -0.08051151, -1.039353, 1.347, Inferred, 0.1706247, -0.4719909, 1.821736, Tracked, 0.1391983, -0.7980543, 1.795751, Tracked, 0.02303337, -1.107939, 1.77231, Inferred, 0.06530476, -1.147346, 1.665916, Inferred, 0.1083566, 0.1235267, 1.912369, Tracked, 0.05193315, -0.3778369, 1.631656, Tracked, -0.04313923, -0.3473922, 1.659806, Tracked, 0.2478354, -0.4164871, 1.83756, Tracked, 0.2578722, -0.4085513, 1.842667, Tracked,
Kinect 2: 2.7098104, 0.1219733, -0.4574501, 1.8263, Tracked, 0.1241534, -0.1229828, 1.890084, Tracked, 0.1257509, 0.1993376, 1.937405, Tracked, 0.1731255, 0.3117795, 2.002557, Tracked, 0.008420671, 0.08520501, 1.799135, Tracked, -0.1089923, -0.105344, 1.69366, Tracked, 0.006671069, -0.2636524, 1.6622, Tracked, 0.04221189, -0.3218096, 1.67592, Tracked, 0.2508975, 0.03185644, 2.025379, Tracked, 0.2790481, -0.1697807, 2.090629, Inferred, 0.2777657, -0.3127555, 1.956097, Inferred, 0.2627921, -0.3667043, 1.866183, Inferred, 0.05878485, -0.4243965, 1.743527, Tracked, 0.01340554, -0.6474268, 1.561495, Tracked, -0.08659522, -1.014975, 1.451795, Inferred, -0.03184062, -1.033522, 1.34017, Inferred, 0.1797526, -0.472179, 1.834931, Tracked, 0.1805697, -0.7363037, 1.832244, Tracked, 0.04739861, -1.096595, 1.770615, Inferred, 0.09047908, -1.12736, 1.658304, Inferred, 0.1254844, 0.1203294, 1.928175, Tracked, 0.1003073, -0.3814565, 1.661864, Tracked, -0.01555842, -0.3642975, 1.653231, Tracked, 0.248208, -0.4038177, 1.824093, Tracked, 0.2676001, -0.4099783, 1.864889, Tracked,
Kinect 2: 2.7450098, 0.1343459, -0.4555529, 1.83616, Tracked, 0.1379028, -0.1229116, 1.901448, Tracked, 0.1405812, 0.1974983, 1.9505, Tracked, 0.1946025, 0.3080031, 2.018924, Tracked, 0.02357092, 0.08342145, 1.805964, Tracked, -0.0851026, -0.1039046, 1.700477, Tracked, 0.0206748, -0.2619337, 1.666998, Tracked, 0.05308648, -0.3197277, 1.684891, Inferred, 0.2636952, 0.03299569, 2.040873, Inferred, 0.2892191, -0.1655286, 2.103831, Inferred, 0.2880428, -0.3088792, 1.969693, Inferred, 0.2669461, -0.3579449, 1.862665, Inferred, 0.07112988, -0.4236155, 1.755299, Tracked, 0.04976166, -0.6339927, 1.56528, Tracked, -0.08549511, -0.9979028, 1.454399, Inferred, -0.03694751, -1.022545, 1.34161, Inferred, 0.1920098, -0.4691793, 1.842923, Tracked, 0.199559, -0.7127178, 1.853427, Tracked, 0.06531855, -1.08864, 1.792468, Inferred, 0.1091544, -1.119713, 1.680343, Inferred, 0.1400792, 0.1189591, 1.940828, Tracked, 0.1116726, -0.3759524, 1.66358, Tracked, -0.00639776, -0.3597924, 1.665885, Tracked, 0.259081, -0.3961527, 1.842202, Tracked, 0.2724208, -0.3801983, 1.85725, Tracked,
