Time,SpineBaseX,SpineBaseY,SpineBaseZ,SpineBaseTracked,SpineMidX,SpineMidY,SpineMidZ,SpineMidTracked,NeckX,NeckY,NeckZ,NeckTracked,HeadX,HeadY,HeadZ,HeadTracked,ShoulderLeftX,ShoulderLeftY,ShoulderLeftZ,ShoulderLeftTracked,ElbowLeftX,ElbowLeftY,ElbowLeftZ,ElbowLeftTracked,WristLeftX,WristLeftY,WristLeftZ,WristLeftTracked,HandLeftX,HandLeftY,HandLeftZ,HandLeftTracked,ShoulderRightX,ShoulderRightY,ShoulderRightZ,ShoulderRightTracked,ElbowRightX,ElbowRightY,ElbowRightZ,ElbowRightTracked,WristRightX,WristRightY,WristRightZ,WristRightTracked,HandRightX,HandRightY,HandRightZ,HandRightTracked,HipLeftX,HipLeftY,HipLeftZ,HipLeftTracked,KneeLeftX,KneeLeftY,KneeLeftZ,KneeLeftTracked,AnkleLeftX,AnkleLeftY,AnkleLeftZ,AnkleLeftTracked,FootLeftX,FootLeftY,FootLeftZ,FootLeftTracked,HipRightX,HipRightY,HipRightZ,HipRightTracked,KneeRightX,KneeRightY,KneeRightZ,KneeRightTracked,AnkleRightX,AnkleRightY,AnkleRightZ,AnkleRightTracked,FootRightX,FootRightY,FootRightZ,FootRightTracked,SpineShoulderX,SpineShoulderY,SpineShoulderZ,SpineShoulderTracked,HandTipLeftX,HandTipLeftY,HandTipLeftZ,HandTipLeftTracked,ThumbLeftX,ThumbLeftY,ThumbLeftZ,ThumbLeftTracked,HandTipRightX,HandTipRightY,HandTipRightZ,HandTipRightTracked,ThumbRightX,ThumbRightY,ThumbRightZ,ThumbRightTrackedKinect 2: 0.0210027, 0.5405817, -0.7195603, 1.714746, Tracked, 0.5388405, -0.4686139, 1.726845, Tracked, 0.5339748, -0.221221, 1.727516, Tracked, 0.5738816, -0.07774635, 1.717746, Tracked, 0.3833997, -0.2885577, 1.691623, Tracked, 0.3070357, -0.5043906, 1.596277, Tracked, 0.4774841, -0.5653563, 1.525708, Tracked, 0.5357155, -0.599118, 1.534825, Tracked, 0.7393133, -0.3219935, 1.721463, Tracked, 0.8204806, -0.5198873, 1.73025, Tracked, 0.7161257, -0.5720276, 1.544987, Tracked, 0.6696484, -0.5996944, 1.529025, Tracked, 0.4483027, -0.7006993, 1.680887, Tracked, 0.4384533, -0.6739246, 1.329581, Tracked, 0.4330339, -0.648042, 0.8282497, Inferred, 0.4312669, -0.6195093, 0.6931204, Inferred, 0.6166858, -0.7164413, 1.696382, Tracked, 0.6630021, -0.7143979, 1.233597, Inferred, 0.70622, -0.7182527, 0.8626525, Inferred, 0.7031568, -0.6921079, 0.7298988, Inferred, 0.5357448, -0.2826284, 1.7293, Tracked, 0.6067618, -0.625808, 1.518444, Tracked, 0.4694426, -0.6482408, 1.497296, Tracked, 0.6424944, -0.6460392, 1.493127, Tracked, 0.6105626, -0.5408337, 1.536492, Tracked,
Kinect 2: 3.3894758, 0.5180659, -0.7237841, 1.663201, Tracked, 0.5135978, -0.4719113, 1.697123, Tracked, 0.503787, -0.2233933, 1.717179, Tracked, 0.4660943, -0.08181003, 1.711333, Tracked, 0.3304776, -0.3117403, 1.74974, Tracked, 0.2541664, -0.5231773, 1.708922, Tracked, 0.3972724, -0.5841427, 1.58805, Tracked, 0.4435094, -0.6188157, 1.555431, Tracked, 0.6752731, -0.2967141, 1.661301, Tracked, 0.7924288, -0.4627594, 1.60564, Tracked, 0.689774, -0.6624601, 1.463591, Tracked, 0.6415397, -0.6873872, 1.417376, Tracked, 0.4351441, -0.7172429, 1.659683, Tracked, 0.2411231, -0.6996517, 1.367054, Tracked, -0.04592229, -0.6879416, 0.9553148, Inferred, -0.08170228, -0.6523562, 0.8247482, Inferred, 0.5842847, -0.7074903, 1.614025, Tracked, 0.469005, -0.6753347, 1.163504, Inferred, 0.3782303, -0.6549013, 0.8027424, Inferred, 0.3396363, -0.6184196, 0.6721962, Inferred, 0.5071123, -0.285014, 1.714068, Tracked, 0.500429, -0.6488281, 1.504902, Tracked, 0.3805848, -0.6661965, 1.541775, Tracked, 0.6141402, -0.6958867, 1.365654, Tracked, 0.5834925, -0.666894, 1.429204, Tracked,
Kinect 2: 3.4206583, 0.5175074, -0.7235346, 1.662673, Tracked, 0.5119593, -0.4717422, 1.696834, Tracked, 0.5011283, -0.2235368, 1.717804, Tracked, 0.4618622, -0.08233339, 1.712915, Tracked, 0.3275444, -0.3134019, 1.753475, Tracked, 0.252266, -0.5232596, 1.714118, Tracked, 0.3950127, -0.5815746, 1.591331, Tracked, 0.4409888, -0.6151492, 1.558264, Tracked, 0.671381, -0.2959434, 1.659622, Tracked, 0.7884176, -0.4595634, 1.601579, Tracked, 0.689124, -0.663008, 1.462751, Tracked, 0.6383672, -0.6875938, 1.416574, Tracked, 0.4347771, -0.7172301, 1.659358, Tracked, 0.2324534, -0.7009149, 1.372592, Tracked, -0.06725056, -0.6910682, 0.9697008, Inferred, -0.1046917, -0.6556686, 0.8398299, Inferred, 0.5836113, -0.7069432, 1.613349, Tracked, 0.455357, -0.6679399, 1.166864, Tracked, 0.3537776, -0.6418564, 0.8094422, Inferred, 0.3135692, -0.605161, 0.6791673, Inferred, 0.5046237, -0.2850734, 1.71446, Tracked, 0.4967887, -0.646334, 1.507182, Tracked, 0.3761148, -0.6650788, 1.548024, Tracked, 0.6097967, -0.6958492, 1.363804, Tracked, 0.5835156, -0.6664338, 1.429315, Tracked,
Kinect 2: 3.4560728, 0.5128239, -0.7238762, 1.658217, Tracked, 0.5085651, -0.4719326, 1.695293, Tracked, 0.4991847, -0.2237053, 1.718216, Tracked, 0.457696, -0.0827778, 1.714022, Tracked, 0.3140852, -0.3210818, 1.771906, Tracked, 0.2503173, -0.5244502, 1.721123, Tracked, 0.3911541, -0.5800022, 1.594583, Tracked, 0.4363782, -0.6153909, 1.559914, Tracked, 0.6687545, -0.2955556, 1.658411, Tracked, 0.7848993, -0.4577668, 1.598359, Tracked, 0.6881532, -0.6636403, 1.461508, Tracked, 0.659837, -0.6853126, 1.421737, Tracked, 0.432265, -0.7180081, 1.656374, Tracked, 0.2237986, -0.7014938, 1.374266, Tracked, -0.08529872, -0.6913216, 0.9784068, Inferred, -0.1268865, -0.6553078, 0.850412, Inferred, 0.5764943, -0.7065668, 1.607397, Tracked, 0.4395465, -0.6684925, 1.163446, Inferred, 0.3306688, -0.6432108, 0.8081051, Inferred, 0.2863723, -0.6056858, 0.6792679, Inferred, 0.5023547, -0.2852524, 1.714522, Tracked, 0.4939711, -0.6448593, 1.507734, Tracked, 0.37264, -0.6650169, 1.549089, Tracked, 0.666973, -0.7126427, 1.360445, Tracked, 0.6133555, -0.6742152, 1.418875, Tracked,
Kinect 2: 3.4880096, 0.508868, -0.7268484, 1.681906, Tracked, 0.5020574, -0.4733258, 1.703647, Tracked, 0.4906367, -0.2244209, 1.720083, Tracked, 0.4536357, -0.08298228, 1.715379, Tracked, 0.3150431, -0.3205944, 1.770665, Tracked, 0.2481147, -0.5264041, 1.725849, Tracked, 0.388447, -0.5790129, 1.597315, Tracked, 0.4335443, -0.6131089, 1.564074, Tracked, 0.666402, -0.2952549, 1.65756, Tracked, 0.7813646, -0.4556378, 1.594383, Tracked, 0.6831087, -0.6622662, 1.459835, Tracked, 0.6310182, -0.6867508, 1.410196, Tracked, 0.4249033, -0.7225744, 1.685674, Tracked, 0.2354338, -0.7016692, 1.390254, Tracked, -0.04503528, -0.684867, 0.9743648, Inferred, -0.08605549, -0.6527973, 0.8450139, Inferred, 0.5760117, -0.7086488, 1.626725, Tracked, 0.4330445, -0.6680769, 1.18489, Tracked, 0.3191105, -0.6406855, 0.8313898, Inferred, 0.2748176, -0.607493, 0.701624, Inferred, 0.4944413, -0.2861179, 1.71778, Tracked, 0.4902462, -0.6411916, 1.511014, Tracked, 0.3692434, -0.664514, 1.5561, Tracked, 0.6008332, -0.6954062, 1.36147, Tracked, 0.5783141, -0.6690968, 1.427359, Tracked,
Kinect 2: 3.5221275, 0.5039173, -0.7253269, 1.661625, Tracked, 0.4980683, -0.4734133, 1.699896, Tracked, 0.4862515, -0.225073, 1.72058, Tracked, 0.4498033, -0.08376642, 1.716758, Tracked, 0.3154309, -0.3203231, 1.770183, Tracked, 0.246927, -0.5272821, 1.730195, Tracked, 0.3865289, -0.5776182, 1.599803, Tracked, 0.4322207, -0.6090397, 1.563993, Tracked, 0.6642399, -0.2948653, 1.656599, Tracked, 0.7781413, -0.4537146, 1.590565, Tracked, 0.6824951, -0.6629543, 1.458406, Tracked, 0.6270411, -0.6842005, 1.407658, Tracked, 0.4224012, -0.7204415, 1.661967, Tracked, 0.2153994, -0.7040286, 1.378826, Tracked, -0.09169552, -0.6940272, 0.9814212, Inferred, -0.1334649, -0.6584871, 0.8534907, Inferred, 0.5693189, -0.7073562, 1.608434, Tracked, 0.4156342, -0.6733021, 1.169709, Inferred, 0.2927331, -0.6513638, 0.8187085, Inferred, 0.2481229, -0.6143221, 0.6899526, Inferred, 0.4902295, -0.2866302, 1.717396, Tracked, 0.4899484, -0.628564, 1.507763, Tracked, 0.3701051, -0.6620111, 1.557108, Tracked, 0.5945163, -0.6900479, 1.352347, Tracked, 0.5771819, -0.6670234, 1.425514, Tracked,
Kinect 2: 3.5550312, 0.5057285, -0.7240868, 1.679065, Tracked, 0.49651, -0.4733324, 1.703671, Tracked, 0.4838043, -0.225419, 1.721171, Tracked, 0.4466682, -0.0843036, 1.718042, Tracked, 0.3155769, -0.3203104, 1.77008, Tracked, 0.2459511, -0.5295709, 1.732896, Tracked, 0.3860682, -0.5768372, 1.601819, Tracked, 0.4318292, -0.6092691, 1.565065, Inferred, 0.6624205, -0.2946398, 1.655922, Tracked, 0.77565, -0.452689, 1.588531, Tracked, 0.6819733, -0.6636165, 1.457797, Tracked, 0.6272125, -0.6849107, 1.407726, Tracked, 0.4213131, -0.7203144, 1.683595, Tracked, 0.2255528, -0.7055938, 1.392248, Tracked, -0.06453786, -0.6981106, 0.9824991, Inferred, -0.1062443, -0.6658162, 0.853727, Inferred, 0.5738813, -0.705358, 1.623165, Tracked, 0.4223042, -0.6462473, 1.186269, Tracked, 0.3011989, -0.6034881, 0.8369162, Inferred, 0.2561709, -0.5694335, 0.7071448, Inferred, 0.4879577, -0.2868942, 1.718602, Tracked, 0.4897586, -0.626038, 1.507462, Tracked, 0.3716801, -0.6631638, 1.559615, Tracked, 0.5979049, -0.6931162, 1.350898, Tracked, 0.5779026, -0.6683979, 1.426516, Tracked,
Kinect 2: 3.5889692, 0.5054513, -0.7242482, 1.682279, Tracked, 0.495239, -0.4734185, 1.705954, Tracked, 0.4819549, -0.2255922, 1.721667, Tracked, 0.4441751, -0.08496001, 1.71926, Tracked, 0.3142042, -0.3215484, 1.772777, Tracked, 0.2448013, -0.530767, 1.736674, Tracked, 0.385844, -0.5766689, 1.602852, Tracked, 0.4331306, -0.6056091, 1.565654, Inferred, 0.6539763, -0.293723, 1.652667, Tracked, 0.7741169, -0.4517805, 1.586499, Tracked, 0.6813177, -0.662619, 1.454965, Tracked, 0.6256298, -0.6851201, 1.405426, Tracked, 0.4210021, -0.7208771, 1.686614, Tracked, 0.2231444, -0.7073836, 1.396716, Tracked, -0.07014091, -0.7017342, 0.9891796, Inferred, -0.1138385, -0.6702996, 0.8611716, Inferred, 0.5738099, -0.7051231, 1.626088, Tracked, 0.4222403, -0.6472993, 1.189021, Tracked, 0.301134, -0.6055961, 0.8395341, Inferred, 0.2541299, -0.572341, 0.7103374, Inferred, 0.4861651, -0.2870573, 1.719532, Tracked, 0.4890861, -0.6163908, 1.507014, Tracked, 0.375395, -0.6629388, 1.558346, Tracked, 0.5969519, -0.6911562, 1.347945, Tracked, 0.5779994, -0.6707547, 1.423931, Tracked,
Kinect 2: 3.6206176, 0.5044609, -0.7243184, 1.684056, Tracked, 0.4940411, -0.4734435, 1.707257, Tracked, 0.480747, -0.2256751, 1.721835, Tracked, 0.4419217, -0.085269, 1.719909, Tracked, 0.3131357, -0.3223342, 1.774379, Tracked, 0.2441881, -0.5307661, 1.738901, Tracked, 0.3661568, -0.6113373, 1.606286, Tracked, 0.4071557, -0.6410853, 1.573526, Tracked, 0.6505064, -0.2933435, 1.650891, Tracked, 0.7722053, -0.4513637, 1.584435, Tracked, 0.6793977, -0.6628745, 1.454061, Tracked, 0.6253089, -0.6850629, 1.405063, Tracked, 0.4200532, -0.7210996, 1.688252, Tracked, 0.2217842, -0.7086243, 1.398627, Tracked, -0.07213983, -0.70451, 0.9915166, Inferred, -0.116809, -0.6735203, 0.8639053, Inferred, 0.5729504, -0.7050374, 1.627771, Tracked, 0.4185348, -0.6497744, 1.191375, Tracked, 0.2950427, -0.6101897, 0.8424518, Inferred, 0.2470683, -0.5773757, 0.7135915, Inferred, 0.4848898, -0.2871352, 1.71999, Tracked, 0.4626554, -0.670669, 1.516267, Tracked, 0.3705446, -0.6707205, 1.547852, Tracked, 0.5987288, -0.6919349, 1.346887, Tracked, 0.5765617, -0.6700139, 1.421697, Tracked,
Kinect 2: 3.6547526, 0.5042394, -0.7243755, 1.684682, Tracked, 0.4934411, -0.4734887, 1.707941, Tracked, 0.4797346, -0.225775, 1.722035, Tracked, 0.4398757, -0.08572053, 1.720299, Tracked, 0.3121274, -0.3230625, 1.776057, Tracked, 0.2438117, -0.5314758, 1.739883, Tracked, 0.3189735, -0.686199, 1.648249, Tracked, 0.3113179, -0.6732413, 1.611775, Tracked, 0.6480051, -0.2929693, 1.649822, Tracked, 0.7699485, -0.4503556, 1.582556, Tracked, 0.6767401, -0.6633415, 1.455063, Tracked, 0.6230329, -0.6846786, 1.404523, Tracked, 0.4197982, -0.7213312, 1.688904, Tracked, 0.2202702, -0.7090933, 1.400172, Tracked, -0.075569, -0.7053277, 0.9944272, Inferred, -0.1210287, -0.6745759, 0.8671668, Inferred, 0.5727991, -0.7049378, 1.628321, Tracked, 0.4151898, -0.6506608, 1.192943, Tracked, 0.2890324, -0.6118911, 0.8448723, Inferred, 0.2402741, -0.5792972, 0.716299, Inferred, 0.4839318, -0.2872264, 1.720357, Tracked, 0.3275932, -0.6732401, 1.581165, Tracked, 0.271211, -0.6839781, 1.610818, Tracked, 0.6017352, -0.6919407, 1.34026, Tracked, 0.5714931, -0.6729016, 1.41888, Tracked,
Kinect 2: 3.6871007, 0.5038515, -0.7244939, 1.685544, Tracked, 0.4927077, -0.4735726, 1.708778, Tracked, 0.4786965, -0.225881, 1.722356, Tracked, 0.4386977, -0.08570451, 1.720609, Tracked, 0.3115766, -0.3233865, 1.777071, Tracked, 0.2426411, -0.531992, 1.742201, Tracked, 0.3172052, -0.6844796, 1.645913, Tracked, 0.3113189, -0.6749033, 1.610625, Tracked, 0.6468251, -0.292814, 1.649422, Tracked, 0.768608, -0.4497974, 1.581696, Tracked, 0.67604, -0.6633928, 1.454814, Tracked, 0.6210428, -0.6832218, 1.403834, Tracked, 0.4194376, -0.7215612, 1.689738, Tracked, 0.2189981, -0.7098025, 1.401654, Tracked, -0.07822867, -0.7067546, 0.9968997, Inferred, -0.1240809, -0.6762212, 0.8698165, Inferred, 0.5724462, -0.7049395, 1.629129, Tracked, 0.4132257, -0.6521088, 1.194161, Tracked, 0.2857203, -0.6145358, 0.8464342, Inferred, 0.2365922, -0.5821496, 0.7180029, Inferred, 0.4829191, -0.2873323, 1.72084, Tracked, 0.333523, -0.6751838, 1.577917, Tracked, 0.2699297, -0.6830282, 1.609209, Tracked, 0.6007379, -0.6906528, 1.340895, Tracked, 0.5740918, -0.6708367, 1.421919, Tracked,
Kinect 2: 3.7218291, 0.5033863, -0.7245207, 1.686569, Tracked, 0.492151, -0.4736466, 1.709482, Tracked, 0.4781093, -0.2260254, 1.722508, Tracked, 0.4378817, -0.08553908, 1.720323, Tracked, 0.3111706, -0.3233566, 1.777884, Tracked, 0.2424095, -0.5319668, 1.742715, Tracked, 0.3160969, -0.6802371, 1.63863, Tracked, 0.3165541, -0.6749291, 1.60334, Tracked, 0.6460864, -0.2927244, 1.649086, Tracked, 0.766958, -0.4495066, 1.580758, Tracked, 0.6753993, -0.6639254, 1.454616, Tracked, 0.6232813, -0.6849731, 1.404439, Tracked, 0.4189883, -0.7216651, 1.690797, Tracked, 0.2187869, -0.7102966, 1.402532, Tracked, -0.07808237, -0.7078378, 0.9975144, Inferred, -0.1241973, -0.6775082, 0.8705287, Inferred, 0.572027, -0.7048938, 1.630045, Tracked, 0.4118208, -0.6532209, 1.195297, Tracked, 0.2834892, -0.616605, 0.8477606, Inferred, 0.2340955, -0.5844329, 0.7194236, Inferred, 0.4823126, -0.2874649, 1.721132, Tracked, 0.3435395, -0.6771952, 1.565578, Tracked, 0.2737158, -0.681101, 1.592957, Tracked, 0.6138009, -0.6970276, 1.335185, Tracked, 0.5675194, -0.6746581, 1.407924, Tracked,
Kinect 2: 3.7570532, 0.5022758, -0.7244757, 1.687468, Tracked, 0.4912249, -0.4737107, 1.710267, Tracked, 0.4774328, -0.2262068, 1.722839, Tracked, 0.4378842, -0.08547172, 1.72026, Tracked, 0.3109484, -0.3233768, 1.778468, Tracked, 0.2417354, -0.5320118, 1.74392, Tracked, 0.3600373, -0.611415, 1.607038, Tracked, 0.4256244, -0.6388721, 1.554331, Tracked, 0.6457397, -0.2927141, 1.648973, Tracked, 0.7664184, -0.4494828, 1.580434, Tracked, 0.6746942, -0.664031, 1.454651, Tracked, 0.6237362, -0.6839426, 1.40708, Tracked, 0.4178248, -0.7215953, 1.691801, Tracked, 0.2190111, -0.71047, 1.402534, Tracked, -0.07576807, -0.7083845, 0.9960107, Inferred, -0.1219871, -0.6781243, 0.8690512, Inferred, 0.571052, -0.7048707, 1.630787, Tracked, 0.4063687, -0.6546478, 1.197544, Tracked, 0.2742954, -0.6192308, 0.8512673, Inferred, 0.2247609, -0.5871708, 0.7230113, Inferred, 0.4815344, -0.2876297, 1.721596, Tracked, 0.4812698, -0.6603822, 1.495648, Tracked, 0.3753733, -0.6783549, 1.536434, Tracked, 0.5986086, -0.6910644, 1.341928, Tracked, 0.5731353, -0.6712317, 1.418311, Tracked,
Kinect 2: 3.7879706, 0.5018923, -0.7243863, 1.688103, Tracked, 0.4909117, -0.4737077, 1.710774, Tracked, 0.4772215, -0.2262847, 1.723015, Tracked, 0.4385666, -0.08502711, 1.719459, Tracked, 0.3109089, -0.3233036, 1.778749, Tracked, 0.2409237, -0.5317963, 1.745124, Tracked, 0.3589127, -0.6107904, 1.60769, Tracked, 0.4253476, -0.6381781, 1.55482, Tracked, 0.6456003, -0.2926868, 1.648904, Tracked, 0.7658836, -0.4496559, 1.580146, Tracked, 0.6743973, -0.6643105, 1.454382, Tracked, 0.6236421, -0.6840605, 1.40582, Tracked, 0.4174569, -0.7214684, 1.692355, Tracked, 0.2192145, -0.7104215, 1.402674, Tracked, -0.0746991, -0.708454, 0.9955342, Inferred, -0.1209779, -0.6782638, 0.868584, Inferred, 0.5706869, -0.7048263, 1.63147, Tracked, 0.4053193, -0.6552383, 1.19841, Tracked, 0.2726731, -0.6203457, 0.8522924, Inferred, 0.2230692, -0.5883757, 0.7240627, Inferred, 0.48128, -0.2876964, 1.721859, Tracked, 0.4812232, -0.660597, 1.494872, Tracked, 0.3531154, -0.6788959, 1.521524, Tracked, 0.6136856, -0.6962876, 1.335747, Tracked, 0.568717, -0.674423, 1.407889, Tracked,
Kinect 2: 3.8221193, 0.5019711, -0.7239717, 1.688633, Tracked, 0.4908568, -0.4736244, 1.711261, Tracked, 0.4770348, -0.226497, 1.723354, Tracked, 0.4409989, -0.08488119, 1.7179, Tracked, 0.3109178, -0.3232579, 1.778922, Tracked, 0.2404966, -0.5313178, 1.746201, Tracked, 0.3576726, -0.6104415, 1.608102, Tracked, 0.4221537, -0.6389042, 1.55617, Tracked, 0.6454828, -0.2927069, 1.648943, Tracked, 0.7656368, -0.4497394, 1.580268, Tracked, 0.6744915, -0.6644079, 1.454279, Tracked, 0.6218244, -0.6834416, 1.404524, Tracked, 0.4174109, -0.7211093, 1.692696, Tracked, 0.2194031, -0.7105005, 1.402834, Tracked, -0.07414732, -0.7091917, 0.9954287, Inferred, -0.1204593, -0.6790568, 0.8684868, Inferred, 0.5709468, -0.7043539, 1.632234, Tracked, 0.4045949, -0.6555974, 1.199452, Tracked, 0.2711311, -0.6213879, 0.8535727, Inferred, 0.2214868, -0.5894887, 0.7253579, Inferred, 0.481116, -0.287836, 1.722239, Tracked, 0.4790589, -0.6623702, 1.499121, Tracked, 0.3633167, -0.6786592, 1.528895, Tracked, 0.5876603, -0.6934811, 1.353793, Tracked, 0.5728439, -0.6662009, 1.423, Tracked,
Kinect 2: 3.8554433, 0.5031764, -0.7163084, 1.656487, Tracked, 0.4908146, -0.4722796, 1.705275, Tracked, 0.4768606, -0.2267305, 1.723717, Tracked, 0.4474866, -0.08557688, 1.714278, Tracked, 0.3109428, -0.3232348, 1.778963, Tracked, 0.2402589, -0.5309186, 1.746384, Tracked, 0.3570795, -0.6102273, 1.608077, Tracked, 0.4212504, -0.6383609, 1.554344, Tracked, 0.6454766, -0.2927333, 1.648948, Tracked, 0.7655044, -0.4500592, 1.580395, Tracked, 0.6742754, -0.6644996, 1.454055, Tracked, 0.6225072, -0.6820219, 1.403955, Tracked, 0.4222364, -0.7122546, 1.654713, Tracked, 0.1948685, -0.7146403, 1.38838, Tracked, -0.1429415, -0.7328913, 1.016483, Inferred, -0.190482, -0.6977674, 0.8918433, Inferred, 0.5688214, -0.6975676, 1.60507, Tracked, 0.3949952, -0.6534187, 1.174786, Tracked, 0.2553223, -0.6230667, 0.8308692, Inferred, 0.2054537, -0.5851952, 0.7040235, Inferred, 0.4810506, -0.2878721, 1.722183, Tracked, 0.4783489, -0.6604177, 1.497799, Tracked, 0.3504658, -0.679246, 1.517655, Tracked, 0.593732, -0.6919501, 1.348715, Tracked, 0.5721348, -0.6704509, 1.41859, Tracked,
Kinect 2: 3.8896505, 0.5026699, -0.7189886, 1.680669, Tracked, 0.4910063, -0.4725545, 1.706649, Tracked, 0.4770119, -0.2271447, 1.723713, Tracked, 0.4577667, -0.08911922, 1.710243, Tracked, 0.3111341, -0.3230097, 1.779018, Tracked, 0.2396444, -0.5305246, 1.746717, Tracked, 0.356202, -0.6095955, 1.60802, Tracked, 0.4213853, -0.635932, 1.555231, Tracked, 0.6458164, -0.292959, 1.649055, Tracked, 0.7648273, -0.4525713, 1.581159, Tracked, 0.673609, -0.6657626, 1.452594, Tracked, 0.6221413, -0.6829993, 1.400527, Tracked, 0.4180195, -0.7152003, 1.686337, Tracked, 0.2165284, -0.7119194, 1.398998, Tracked, -0.08229836, -0.7216519, 0.995321, Inferred, -0.1287692, -0.6902534, 0.8688428, Inferred, 0.5710211, -0.7003245, 1.624045, Tracked, 0.3993228, -0.644937, 1.194182, Tracked, 0.2613974, -0.6052219, 0.8506717, Inferred, 0.2116482, -0.5716083, 0.7226687, Inferred, 0.4811524, -0.2881466, 1.722258, Tracked, 0.4787703, -0.6582533, 1.499781, Tracked, 0.3502874, -0.6770705, 1.519584, Tracked, 0.5932916, -0.6916659, 1.348284, Tracked, 0.572219, -0.6708519, 1.417145, Tracked,
Kinect 2: 3.9201586, 0.5015249, -0.7211325, 1.684888, Tracked, 0.4913589, -0.4731312, 1.707865, Tracked, 0.4780996, -0.2275338, 1.723404, Tracked, 0.4687514, -0.09227415, 1.705328, Tracked, 0.3118682, -0.3220769, 1.780095, Tracked, 0.2393653, -0.5300055, 1.746541, Tracked, 0.3551612, -0.6100852, 1.60779, Tracked, 0.4205054, -0.6370233, 1.553717, Tracked, 0.6476815, -0.2937284, 1.649064, Tracked, 0.7647637, -0.4546635, 1.582353, Tracked, 0.6733826, -0.6665708, 1.451675, Tracked, 0.622942, -0.6834659, 1.39887, Tracked, 0.4175662, -0.7160468, 1.687922, Tracked, 0.2190627, -0.7111797, 1.398416, Tracked, -0.0752772, -0.7185348, 0.9914131, Inferred, -0.1216977, -0.687729, 0.8647463, Inferred, 0.5693558, -0.7040675, 1.630991, Tracked, 0.3913664, -0.6824226, 1.200844, Tracked, 0.2481411, -0.6706461, 0.8569777, Inferred, 0.1985617, -0.6383727, 0.7294232, Inferred, 0.4818678, -0.2884797, 1.722199, Tracked, 0.4808239, -0.6629051, 1.503649, Tracked, 0.356023, -0.6763312, 1.528167, Tracked, 0.5909635, -0.6942978, 1.349552, Tracked, 0.5730899, -0.671155, 1.41712, Tracked,
Kinect 2: 3.9560156, 0.5021707, -0.7214756, 1.685659, Tracked, 0.4926105, -0.4734027, 1.708235, Tracked, 0.4807763, -0.2280579, 1.722153, Tracked, 0.4803362, -0.09406132, 1.700793, Tracked, 0.313329, -0.3210176, 1.778518, Tracked, 0.2381951, -0.5283703, 1.745404, Tracked, 0.3518052, -0.6094497, 1.60535, Tracked, 0.4176489, -0.6377503, 1.554499, Tracked, 0.6513909, -0.2952242, 1.649195, Tracked, 0.7645937, -0.4570881, 1.583569, Tracked, 0.6729369, -0.6676034, 1.450727, Tracked, 0.6217424, -0.6837919, 1.399214, Tracked, 0.4176996, -0.7160867, 1.688015, Tracked, 0.2207365, -0.7107037, 1.397411, Tracked, -0.07129279, -0.7172899, 0.9887012, Inferred, -0.1170116, -0.6865838, 0.8616598, Inferred, 0.5708651, -0.704869, 1.632584, Tracked, 0.3965945, -0.666336, 1.201998, Tracked, 0.2564672, -0.6405818, 0.8577794, Inferred, 0.2074799, -0.6081339, 0.7296399, Inferred, 0.484122, -0.2889298, 1.721338, Tracked, 0.4779276, -0.6637542, 1.505887, Tracked, 0.3475214, -0.6760118, 1.523869, Tracked, 0.5545812, -0.695285, 1.364687, Tracked, 0.5734114, -0.6659088, 1.425202, Tracked,
Kinect 2: 3.9883422, 0.5025028, -0.7219624, 1.686811, Tracked, 0.4938277, -0.4737583, 1.708431, Tracked, 0.4843839, -0.2287198, 1.719868, Tracked, 0.4905084, -0.09745638, 1.698325, Tracked, 0.3151192, -0.3197214, 1.776239, Tracked, 0.2371525, -0.5257198, 1.743254, Tracked, 0.3506289, -0.6094731, 1.604792, Tracked, 0.4170647, -0.6387777, 1.554502, Tracked, 0.655431, -0.2968636, 1.649714, Tracked, 0.7654641, -0.4588888, 1.58513, Tracked, 0.6740645, -0.6678686, 1.449568, Tracked, 0.6220623, -0.6842958, 1.396114, Tracked, 0.4177019, -0.7160862, 1.688082, Tracked, 0.2246912, -0.7088371, 1.394729, Tracked, -0.06136678, -0.7126239, 0.9818055, Inferred, -0.1060688, -0.6820821, 0.8541782, Inferred, 0.5719411, -0.7062982, 1.635325, Tracked, 0.3979998, -0.6665831, 1.204706, Tracked, 0.258137, -0.639847, 0.8604346, Inferred, 0.2100703, -0.6076991, 0.7318558, Inferred, 0.487048, -0.2895202, 1.719743, Tracked, 0.47934, -0.6661295, 1.507033, Tracked, 0.3502097, -0.6753296, 1.52593, Tracked, 0.5623873, -0.6957872, 1.359286, Tracked, 0.5725889, -0.671147, 1.418424, Tracked,
