Time,SpineBaseX,SpineBaseY,SpineBaseZ,SpineBaseTracked,SpineMidX,SpineMidY,SpineMidZ,SpineMidTracked,NeckX,NeckY,NeckZ,NeckTracked,HeadX,HeadY,HeadZ,HeadTracked,ShoulderLeftX,ShoulderLeftY,ShoulderLeftZ,ShoulderLeftTracked,ElbowLeftX,ElbowLeftY,ElbowLeftZ,ElbowLeftTracked,WristLeftX,WristLeftY,WristLeftZ,WristLeftTracked,HandLeftX,HandLeftY,HandLeftZ,HandLeftTracked,ShoulderRightX,ShoulderRightY,ShoulderRightZ,ShoulderRightTracked,ElbowRightX,ElbowRightY,ElbowRightZ,ElbowRightTracked,WristRightX,WristRightY,WristRightZ,WristRightTracked,HandRightX,HandRightY,HandRightZ,HandRightTracked,HipLeftX,HipLeftY,HipLeftZ,HipLeftTracked,KneeLeftX,KneeLeftY,KneeLeftZ,KneeLeftTracked,AnkleLeftX,AnkleLeftY,AnkleLeftZ,AnkleLeftTracked,FootLeftX,FootLeftY,FootLeftZ,FootLeftTracked,HipRightX,HipRightY,HipRightZ,HipRightTracked,KneeRightX,KneeRightY,KneeRightZ,KneeRightTracked,AnkleRightX,AnkleRightY,AnkleRightZ,AnkleRightTracked,FootRightX,FootRightY,FootRightZ,FootRightTracked,SpineShoulderX,SpineShoulderY,SpineShoulderZ,SpineShoulderTracked,HandTipLeftX,HandTipLeftY,HandTipLeftZ,HandTipLeftTracked,ThumbLeftX,ThumbLeftY,ThumbLeftZ,ThumbLeftTracked,HandTipRightX,HandTipRightY,HandTipRightZ,HandTipRightTracked,ThumbRightX,ThumbRightY,ThumbRightZ,ThumbRightTrackedKinect 2: 8.375137, -0.2053612, -0.3433003, 1.358129, Tracked, -0.2038283, -0.01282973, 1.41456, Tracked, -0.2002517, 0.3001227, 1.453226, Tracked, -0.2029108, 0.4518956, 1.493909, Tracked, -0.3714736, 0.1707457, 1.381211, Tracked, -0.4577344, -0.02694585, 1.306952, Inferred, -0.4096654, -0.1487118, 1.142381, Inferred, -0.3706875, -0.1981592, 1.042819, Inferred, -0.01093341, 0.1703645, 1.457365, Tracked, 0.07218619, -0.06817933, 1.493559, Inferred, 0.09817079, -0.2506462, 1.382841, Inferred, 0.1021634, -0.313776, 1.336798, Inferred, -0.2833544, -0.3338888, 1.306467, Tracked, -0.310021, -0.6256053, 1.27144, Tracked, -0.3524663, -1.003282, 1.268277, Inferred, -0.33494, -1.01807, 1.164269, Inferred, -0.1161563, -0.3339429, 1.335536, Tracked, -0.08811346, -0.574482, 1.188548, Tracked, -0.04927662, -0.9557768, 1.011298, Inferred, -0.03015073, -0.9405203, 0.9019583, Inferred, -0.2014444, 0.2241291, 1.446091, Tracked, -0.3457406, -0.2344336, 0.9987896, Tracked, -0.3325311, -0.1700994, 1.048133, Tracked, 0.1028873, -0.3830006, 1.294513, Tracked, 0.1310479, -0.3079683, 1.302091, Tracked,
Kinect 2: 9.8420966, -0.07645399, -0.4439896, 1.814374, Tracked, -0.04509542, -0.1369362, 1.900374, Tracked, -0.01489318, 0.1590085, 1.973215, Tracked, 0.03757582, 0.2985803, 2.002919, Tracked, -0.1972567, 0.06283541, 1.90433, Tracked, -0.3221982, -0.1590184, 1.85896, Tracked, -0.3411433, -0.344687, 1.709808, Tracked, -0.359912, -0.3978857, 1.657395, Tracked, 0.1687098, 0.01001327, 1.994306, Tracked, 0.208159, -0.1937515, 1.997189, Inferred, 0.1686253, -0.3367424, 1.841735, Inferred, 0.1254497, -0.3693528, 1.78894, Inferred, -0.1568155, -0.4184122, 1.764696, Tracked, -0.2085469, -0.7144693, 1.608644, Tracked, -0.316875, -1.072428, 1.456026, Inferred, -0.2965786, -1.066511, 1.312453, Inferred, 0.007669671, -0.4521148, 1.790753, Tracked, -0.01889953, -0.7774782, 1.748013, Tracked, -0.1120746, -1.157169, 1.741639, Inferred, -0.1004989, -1.192192, 1.609235, Inferred, -0.0222201, 0.08632427, 1.957398, Tracked, -0.3697454, -0.4583313, 1.61907, Tracked, -0.3262561, -0.4174851, 1.654875, Tracked, 0.1034368, -0.4286947, 1.736939, Tracked, 0.08289516, -0.3251045, 1.747879, Tracked,
Kinect 2: 9.8761523, -0.07542755, -0.4443514, 1.814306, Tracked, -0.04371602, -0.1372082, 1.901487, Tracked, -0.0129661, 0.15887, 1.97562, Tracked, 0.04204678, 0.2959088, 2.008221, Tracked, -0.1949171, 0.06265302, 1.905034, Tracked, -0.3217047, -0.1581485, 1.858757, Tracked, -0.3412952, -0.3450359, 1.709427, Tracked, -0.357723, -0.4002279, 1.658251, Tracked, 0.1690681, 0.007918159, 1.999121, Tracked, 0.2059198, -0.196395, 2.001358, Inferred, 0.1766434, -0.3411, 1.84527, Inferred, 0.130983, -0.3688861, 1.794406, Inferred, -0.1549743, -0.4180848, 1.76311, Tracked, -0.2074166, -0.7148034, 1.609013, Tracked, -0.319493, -1.071305, 1.455138, Inferred, -0.2983717, -1.065346, 1.311734, Inferred, 0.008605528, -0.453222, 1.791872, Tracked, -0.01855352, -0.7782114, 1.748135, Tracked, -0.1123038, -1.158258, 1.742122, Inferred, -0.09955388, -1.193868, 1.610258, Inferred, -0.0204591, 0.08616044, 1.959476, Tracked, -0.3703989, -0.4577129, 1.615128, Tracked, -0.3076412, -0.3835312, 1.680938, Tracked, 0.1138119, -0.4337164, 1.745029, Tracked, 0.09489946, -0.3426484, 1.755353, Tracked,
Kinect 2: 9.9080925, -0.07435634, -0.4444002, 1.814459, Tracked, -0.04237935, -0.1372509, 1.902721, Tracked, -0.01145209, 0.1588019, 1.97773, Tracked, 0.04710005, 0.2933213, 2.013735, Tracked, -0.1948976, 0.06300583, 1.904647, Tracked, -0.3214117, -0.1582187, 1.857703, Tracked, -0.3406934, -0.3474633, 1.708671, Tracked, -0.3549215, -0.4051917, 1.662143, Tracked, 0.170113, 0.005580477, 2.005286, Tracked, 0.2047763, -0.1993181, 2.005366, Inferred, 0.1761535, -0.3399483, 1.845247, Inferred, 0.131369, -0.3707032, 1.795776, Inferred, -0.1527468, -0.417169, 1.761528, Tracked, -0.2065271, -0.7149827, 1.609155, Tracked, -0.3215912, -1.069675, 1.454298, Inferred, -0.2991652, -1.063866, 1.311164, Inferred, 0.009392477, -0.4540068, 1.793647, Tracked, -0.01807803, -0.7783244, 1.748438, Tracked, -0.1125187, -1.159037, 1.742445, Inferred, -0.09813035, -1.195201, 1.611185, Inferred, -0.01899602, 0.08611362, 1.961394, Tracked, -0.363263, -0.464743, 1.619571, Tracked, -0.3148448, -0.4067285, 1.666193, Tracked, 0.114956, -0.4334306, 1.747931, Tracked, 0.09553363, -0.3410996, 1.757238, Tracked,
Kinect 2: 9.942121, -0.07291953, -0.444817, 1.814528, Tracked, -0.04052396, -0.1375236, 1.903875, Tracked, -0.009128869, 0.1587135, 1.979745, Tracked, 0.05172942, 0.2900327, 2.017578, Tracked, -0.1922589, 0.06312811, 1.904429, Tracked, -0.3206941, -0.1574027, 1.856419, Tracked, -0.3395854, -0.3494088, 1.708544, Tracked, -0.3475262, -0.4080431, 1.664339, Tracked, 0.1699201, 0.002610897, 2.010262, Tracked, 0.2019339, -0.2028549, 2.008695, Inferred, 0.1772383, -0.3407311, 1.845404, Inferred, 0.1314924, -0.3694378, 1.796184, Inferred, -0.1505685, -0.4167668, 1.760015, Tracked, -0.2051235, -0.7144933, 1.60949, Tracked, -0.3236986, -1.06868, 1.454136, Inferred, -0.3000542, -1.063232, 1.311303, Inferred, 0.01043612, -0.45533, 1.795248, Tracked, -0.01774956, -0.7788844, 1.748503, Tracked, -0.1129058, -1.16028, 1.742056, Inferred, -0.09684002, -1.196795, 1.611336, Inferred, -0.01680717, 0.08598527, 1.96321, Tracked, -0.3582598, -0.4667602, 1.621879, Tracked, -0.3022496, -0.3987276, 1.672556, Tracked, 0.1184904, -0.4351638, 1.749774, Tracked, 0.09532513, -0.3448254, 1.753211, Tracked,
Kinect 2: 9.9751064, -0.07185406, -0.4449927, 1.814476, Tracked, -0.03931456, -0.1377389, 1.90474, Tracked, -0.007715771, 0.1583915, 1.981463, Tracked, 0.05490415, 0.2877848, 2.02076, Tracked, -0.1902728, 0.06368854, 1.903883, Tracked, -0.3196688, -0.1571107, 1.853963, Tracked, -0.3370726, -0.3520371, 1.708156, Tracked, -0.3430881, -0.411676, 1.667444, Tracked, 0.1698647, 0.0007300958, 2.017324, Tracked, 0.1999571, -0.2053754, 2.010953, Inferred, 0.1780483, -0.3424536, 1.846556, Inferred, 0.1335092, -0.3712232, 1.797357, Inferred, -0.1483764, -0.4159731, 1.757814, Tracked, -0.2039263, -0.7138718, 1.609439, Tracked, -0.3247553, -1.068069, 1.454495, Inferred, -0.2993425, -1.063346, 1.31205, Inferred, 0.01104518, -0.4563092, 1.796823, Tracked, -0.01707396, -0.7786342, 1.748692, Tracked, -0.1133853, -1.161104, 1.742602, Inferred, -0.09532531, -1.198476, 1.6127, Inferred, -0.01545106, 0.08570115, 1.964718, Tracked, -0.3521554, -0.4714809, 1.624963, Tracked, -0.3063641, -0.4278169, 1.65675, Tracked, 0.1184501, -0.4346479, 1.753567, Tracked, 0.1001357, -0.3446964, 1.76, Tracked,
Kinect 2: 10.0099823, -0.07047568, -0.4452932, 1.814392, Tracked, -0.03782972, -0.1379348, 1.905296, Tracked, -0.006145144, 0.1582844, 1.982308, Tracked, 0.05858776, 0.285052, 2.024467, Tracked, -0.1859655, 0.06424384, 1.902677, Tracked, -0.3186099, -0.1573244, 1.850408, Tracked, -0.3334937, -0.3537643, 1.70814, Tracked, -0.3369869, -0.4140779, 1.66815, Tracked, 0.170149, -0.002336754, 2.023292, Tracked, 0.1979504, -0.2087753, 2.016387, Inferred, 0.1757646, -0.340778, 1.847686, Inferred, 0.131772, -0.3680823, 1.798214, Inferred, -0.1456841, -0.4150703, 1.755073, Tracked, -0.2022922, -0.7129723, 1.609581, Tracked, -0.3262597, -1.067143, 1.454821, Inferred, -0.2990346, -1.063262, 1.312846, Inferred, 0.01183481, -0.4578112, 1.799005, Tracked, -0.01658656, -0.7780349, 1.748868, Tracked, -0.1140244, -1.162387, 1.742544, Inferred, -0.09369769, -1.200357, 1.613454, Inferred, -0.01390848, 0.08557784, 1.965512, Tracked, -0.3411008, -0.4767753, 1.630476, Tracked, -0.3004537, -0.4168786, 1.651887, Tracked, 0.1150043, -0.4289897, 1.747154, Tracked, 0.09569849, -0.338821, 1.76098, Tracked,
Kinect 2: 10.0428071, -0.07025106, -0.4455318, 1.814542, Tracked, -0.03676703, -0.1382649, 1.906347, Tracked, -0.003818203, 0.1580079, 1.984446, Tracked, 0.06258587, 0.2832666, 2.028427, Tracked, -0.1838633, 0.06487201, 1.902293, Tracked, -0.3179331, -0.1569581, 1.84848, Tracked, -0.3312493, -0.3544017, 1.707925, Tracked, -0.3318055, -0.414739, 1.66929, Tracked, 0.170731, -0.00845177, 2.030245, Tracked, 0.1951213, -0.2155446, 2.017576, Inferred, 0.1762439, -0.3441863, 1.845766, Inferred, 0.1299834, -0.3705002, 1.79853, Inferred, -0.1451812, -0.4148977, 1.754479, Tracked, -0.2016198, -0.7125647, 1.609539, Tracked, -0.3263549, -1.067131, 1.454986, Inferred, -0.2969767, -1.064113, 1.313612, Inferred, 0.01118919, -0.4593256, 1.801041, Tracked, -0.01637499, -0.7780182, 1.749128, Tracked, -0.1149229, -1.163741, 1.742506, Inferred, -0.09230391, -1.202318, 1.614313, Inferred, -0.01194108, 0.08528291, 1.967371, Tracked, -0.3332094, -0.4783572, 1.634991, Tracked, -0.2896988, -0.4196737, 1.656, Tracked, 0.1176759, -0.4318324, 1.753366, Tracked, 0.09382465, -0.3395742, 1.756152, Tracked,
Kinect 2: 10.0758213, -0.07005407, -0.4455877, 1.814689, Tracked, -0.0359667, -0.1383582, 1.907034, Tracked, -0.002423458, 0.1578562, 1.985456, Tracked, 0.06536894, 0.2820563, 2.029921, Tracked, -0.1820366, 0.06581829, 1.901592, Tracked, -0.3167467, -0.1559743, 1.844621, Tracked, -0.3268576, -0.3567841, 1.707058, Tracked, -0.3266335, -0.4152606, 1.667321, Tracked, 0.1705354, -0.009665329, 2.032618, Tracked, 0.1928073, -0.2169999, 2.019907, Inferred, 0.1764804, -0.3470115, 1.848934, Inferred, 0.1325173, -0.3722817, 1.801775, Inferred, -0.1441436, -0.4139177, 1.752804, Tracked, -0.2008324, -0.7123223, 1.609754, Tracked, -0.325321, -1.066888, 1.455089, Inferred, -0.2949079, -1.064216, 1.314038, Inferred, 0.01044645, -0.4605669, 1.803988, Tracked, -0.01626428, -0.778007, 1.749327, Tracked, -0.1175764, -1.16434, 1.74304, Inferred, -0.09452298, -1.203506, 1.615357, Inferred, -0.01069415, 0.08515209, 1.968323, Tracked, -0.3251467, -0.4783854, 1.636772, Tracked, -0.2829278, -0.4146755, 1.655041, Tracked, 0.1193118, -0.4380861, 1.757923, Tracked, 0.1004857, -0.34739, 1.759471, Tracked,
Kinect 2: 10.1079022, -0.0696393, -0.4457226, 1.814983, Tracked, -0.03510159, -0.1386276, 1.907819, Tracked, -0.001293196, 0.1574345, 1.986406, Tracked, 0.0678072, 0.2802692, 2.031419, Tracked, -0.1795034, 0.0664527, 1.900244, Tracked, -0.3162374, -0.1544712, 1.840212, Tracked, -0.3242197, -0.3571698, 1.704755, Tracked, -0.3238038, -0.41719, 1.661498, Tracked, 0.1700798, -0.01325966, 2.035265, Tracked, 0.1909566, -0.2207308, 2.021964, Inferred, 0.1745136, -0.3474704, 1.848427, Inferred, 0.1287629, -0.3711249, 1.799714, Inferred, -0.1423312, -0.4124702, 1.75001, Tracked, -0.2004398, -0.7120126, 1.609709, Tracked, -0.3234775, -1.066703, 1.455191, Inferred, -0.2914324, -1.064593, 1.314656, Inferred, 0.009732575, -0.4627023, 1.80883, Tracked, -0.01619016, -0.7778317, 1.749451, Tracked, -0.1168187, -1.166592, 1.742434, Inferred, -0.09186814, -1.205805, 1.615326, Inferred, -0.009620779, 0.08477223, 1.969254, Tracked, -0.3215939, -0.4811843, 1.637423, Tracked, -0.2772932, -0.4099069, 1.652091, Tracked, 0.1162398, -0.4328551, 1.754412, Tracked, 0.09496063, -0.3403149, 1.75944, Tracked,
Kinect 2: 10.143636, -0.06929547, -0.4456439, 1.815351, Tracked, -0.03421269, -0.1386747, 1.908648, Tracked, 0.0001053425, 0.1571306, 1.987429, Tracked, 0.06929313, 0.2791256, 2.032646, Tracked, -0.1786187, 0.06681219, 1.899607, Tracked, -0.3150128, -0.1529936, 1.837716, Tracked, -0.3210705, -0.3560646, 1.702379, Tracked, -0.3174665, -0.413755, 1.655971, Tracked, 0.1700607, -0.01328573, 2.037754, Tracked, 0.1804123, -0.2465581, 2.005763, Tracked, 0.1726118, -0.362837, 1.824071, Tracked, 0.1242633, -0.3838753, 1.790801, Inferred, -0.1415533, -0.41167, 1.749224, Tracked, -0.1998423, -0.7117218, 1.610142, Tracked, -0.3238404, -1.065743, 1.454945, Inferred, -0.2911012, -1.063812, 1.314472, Inferred, 0.009391591, -0.4629633, 1.810652, Tracked, -0.01617872, -0.7779701, 1.749884, Tracked, -0.1183206, -1.166489, 1.742619, Inferred, -0.09283756, -1.206022, 1.615692, Inferred, -0.008351841, 0.08454295, 1.970244, Tracked, -0.3099425, -0.4764788, 1.631709, Tracked, -0.2722393, -0.4063149, 1.646721, Tracked, 0.1122561, -0.4213731, 1.75934, Tracked, 0.1019909, -0.344987, 1.769167, Tracked,
Kinect 2: 10.1756465, -0.06914766, -0.4456435, 1.815483, Tracked, -0.03381781, -0.1388207, 1.909006, Tracked, 0.0007115137, 0.1567496, 1.987888, Tracked, 0.06980333, 0.2783852, 2.033352, Tracked, -0.1766485, 0.06731823, 1.898157, Tracked, -0.3127367, -0.1428476, 1.834263, Tracked, -0.3168871, -0.3543141, 1.695044, Tracked, -0.312598, -0.4100569, 1.646879, Tracked, 0.1701093, -0.01338805, 2.03895, Tracked, 0.1803138, -0.2218249, 2.024698, Inferred, 0.1724396, -0.3482465, 1.850242, Inferred, 0.1283376, -0.372133, 1.801301, Inferred, -0.1409055, -0.4108994, 1.747813, Tracked, -0.1996473, -0.711615, 1.610013, Tracked, -0.3243307, -1.064854, 1.454177, Inferred, -0.2908751, -1.063084, 1.313933, Inferred, 0.00898263, -0.4634063, 1.812165, Tracked, -0.01618054, -0.777333, 1.750029, Tracked, -0.1175027, -1.167152, 1.742624, Inferred, -0.0908995, -1.206777, 1.616092, Inferred, -0.007797999, 0.08422801, 1.970685, Tracked, -0.3010878, -0.4726541, 1.621645, Tracked, -0.2665611, -0.4035034, 1.636116, Tracked, 0.1215093, -0.4405419, 1.75557, Tracked, 0.0959543, -0.3434273, 1.75938, Tracked,
Kinect 2: 10.2087675, -0.06906747, -0.4457329, 1.815658, Tracked, -0.03330187, -0.1389711, 1.909552, Tracked, 0.001811264, 0.1565715, 1.98872, Tracked, 0.0706138, 0.2774397, 2.034536, Tracked, -0.1783904, 0.06777371, 1.897552, Tracked, -0.31241, -0.1409065, 1.832137, Tracked, -0.3136145, -0.3537974, 1.686389, Tracked, -0.3074536, -0.4073574, 1.638332, Tracked, 0.1702245, -0.01210481, 2.0377, Tracked, 0.1778589, -0.2391387, 2.01302, Tracked, 0.1709619, -0.3594241, 1.834044, Tracked, 0.1229445, -0.377479, 1.796513, Inferred, -0.1409284, -0.4108697, 1.747635, Tracked, -0.1995507, -0.7115997, 1.609986, Tracked, -0.324315, -1.064784, 1.454079, Inferred, -0.291251, -1.062829, 1.313665, Inferred, 0.008895097, -0.463652, 1.812793, Tracked, -0.0163248, -0.7774185, 1.750383, Tracked, -0.1174726, -1.167371, 1.742614, Inferred, -0.09123472, -1.20678, 1.615811, Inferred, -0.006855399, 0.08405557, 1.971451, Tracked, -0.293792, -0.4680119, 1.613591, Tracked, -0.2633294, -0.4016277, 1.628527, Tracked, 0.1108771, -0.410151, 1.762515, Tracked, 0.09876623, -0.3409452, 1.7736, Tracked,
Kinect 2: 10.2421583, -0.06899092, -0.4457642, 1.815857, Tracked, -0.03287393, -0.1392007, 1.909967, Tracked, 0.002676364, 0.1560282, 1.989204, Tracked, 0.0722096, 0.2766416, 2.035082, Tracked, -0.1795576, 0.06826372, 1.897147, Tracked, -0.3119227, -0.1396042, 1.829568, Tracked, -0.3099817, -0.3489017, 1.678122, Tracked, -0.3037402, -0.401625, 1.627731, Tracked, 0.1703595, -0.01302558, 2.041024, Tracked, 0.1781443, -0.228228, 2.023169, Tracked, 0.1700258, -0.351932, 1.846688, Tracked, 0.1265714, -0.3735189, 1.802545, Inferred, -0.1407991, -0.4107422, 1.747283, Tracked, -0.1994402, -0.7116324, 1.609957, Tracked, -0.3250664, -1.064279, 1.453472, Inferred, -0.2913519, -1.062503, 1.313262, Inferred, 0.00853753, -0.4638161, 1.813832, Tracked, -0.01676587, -0.7784001, 1.750939, Tracked, -0.1165285, -1.167918, 1.741916, Inferred, -0.08901501, -1.20691, 1.615225, Inferred, -0.00610663, 0.08360103, 1.971928, Tracked, -0.2883535, -0.4615945, 1.602958, Tracked, -0.2600956, -0.3912519, 1.624094, Tracked, 0.1177029, -0.437575, 1.755616, Tracked, 0.09684081, -0.3473392, 1.763137, Tracked,
Kinect 2: 10.2767939, -0.06897753, -0.4457976, 1.815943, Tracked, -0.032465, -0.139223, 1.910248, Tracked, 0.003769281, 0.1560884, 1.989625, Tracked, 0.07258052, 0.2762128, 2.035354, Tracked, -0.1805144, 0.06870597, 1.896604, Tracked, -0.3106022, -0.1340469, 1.823515, Tracked, -0.3079418, -0.3433686, 1.668886, Tracked, -0.3021195, -0.3945426, 1.617754, Tracked, 0.1700317, -0.01111343, 2.038267, Tracked, 0.1784397, -0.2254912, 2.025446, Tracked, 0.1686966, -0.350376, 1.849916, Tracked, 0.1246245, -0.3730882, 1.801451, Inferred, -0.1409082, -0.4106476, 1.746893, Tracked, -0.1994312, -0.7116379, 1.609953, Tracked, -0.3253361, -1.064193, 1.453221, Inferred, -0.292288, -1.062105, 1.312833, Inferred, 0.008425483, -0.4639544, 1.814293, Tracked, -0.01711469, -0.7789831, 1.751189, Tracked, -0.1162774, -1.168236, 1.741298, Inferred, -0.08926618, -1.206646, 1.614177, Inferred, -0.005203563, 0.08363409, 1.972321, Tracked, -0.2861354, -0.4521665, 1.590136, Tracked, -0.2586761, -0.3824518, 1.612804, Tracked, 0.1175358, -0.4382043, 1.755668, Tracked, 0.09157068, -0.3407553, 1.763592, Tracked,
Kinect 2: 10.3078293, -0.06919858, -0.4462902, 1.815945, Tracked, -0.03237378, -0.1393752, 1.910367, Tracked, 0.004136486, 0.1560854, 1.989848, Tracked, 0.07384493, 0.2752243, 2.035564, Tracked, -0.1809389, 0.0689135, 1.89629, Tracked, -0.3098467, -0.1309596, 1.821023, Tracked, -0.3077961, -0.3350563, 1.663353, Tracked, -0.3016275, -0.3879221, 1.609665, Tracked, 0.1701381, -0.0109264, 2.037832, Tracked, 0.178166, -0.2238129, 2.027601, Tracked, 0.1673894, -0.349439, 1.852682, Tracked, 0.1246281, -0.3731194, 1.803615, Inferred, -0.1415489, -0.4113248, 1.746877, Tracked, -0.1994103, -0.7115645, 1.61008, Tracked, -0.3256671, -1.064727, 1.452724, Inferred, -0.2927109, -1.062519, 1.31234, Inferred, 0.008191972, -0.4642945, 1.813991, Tracked, -0.0171812, -0.7779444, 1.751474, Tracked, -0.1164097, -1.168635, 1.741275, Inferred, -0.08945801, -1.206903, 1.614102, Inferred, -0.004923689, 0.08358417, 1.97251, Tracked, -0.2874469, -0.4456685, 1.582032, Tracked, -0.2601787, -0.3777163, 1.596118, Tracked, 0.1150783, -0.4375498, 1.759359, Tracked, 0.09172793, -0.3462531, 1.763051, Tracked,
Kinect 2: 10.3429805, -0.06937193, -0.4464588, 1.816247, Tracked, -0.03228921, -0.1394945, 1.910623, Tracked, 0.004395931, 0.156004, 1.990027, Tracked, 0.07442532, 0.2743942, 2.035924, Tracked, -0.1814389, 0.06917663, 1.895993, Tracked, -0.3099467, -0.1282363, 1.817769, Tracked, -0.3072772, -0.3308542, 1.657897, Tracked, -0.3003312, -0.3826127, 1.601482, Tracked, 0.1689131, -0.01779076, 2.043536, Tracked, 0.1784093, -0.2262381, 2.028532, Tracked, 0.1708444, -0.352089, 1.853629, Tracked, 0.127497, -0.3712876, 1.806727, Inferred, -0.1416335, -0.4112612, 1.746583, Tracked, -0.199454, -0.7116738, 1.610144, Tracked, -0.329338, -1.063886, 1.453768, Inferred, -0.2950992, -1.062675, 1.313918, Inferred, 0.007125476, -0.4649781, 1.81553, Tracked, -0.01759385, -0.7778123, 1.752006, Tracked, -0.1160684, -1.169521, 1.741036, Inferred, -0.08680779, -1.207839, 1.614623, Inferred, -0.00470602, 0.08349515, 1.972711, Tracked, -0.2864538, -0.4402861, 1.573748, Tracked, -0.2584071, -0.3704196, 1.592069, Tracked, 0.1204825, -0.4430035, 1.754614, Tracked, 0.09563838, -0.3482363, 1.769442, Tracked,
Kinect 2: 10.3750919, -0.06993643, -0.4472264, 1.81649, Tracked, -0.0322707, -0.1396991, 1.910731, Tracked, 0.004665091, 0.155972, 1.99004, Tracked, 0.07474089, 0.2740204, 2.035909, Tracked, -0.1764366, 0.07057238, 1.893381, Tracked, -0.3098276, -0.1262804, 1.81563, Tracked, -0.3068219, -0.3250849, 1.651696, Tracked, -0.3022248, -0.3788659, 1.593055, Tracked, 0.1690845, -0.01795481, 2.043913, Tracked, 0.1783467, -0.2264038, 2.029336, Inferred, 0.1674018, -0.3513998, 1.853955, Inferred, 0.1234809, -0.3721348, 1.804693, Inferred, -0.1420472, -0.4116799, 1.746773, Tracked, -0.199443, -0.7117406, 1.610345, Tracked, -0.3296171, -1.064037, 1.453281, Inferred, -0.2941716, -1.063261, 1.313908, Inferred, 0.006177104, -0.4659011, 1.815281, Tracked, -0.01799361, -0.7781661, 1.752484, Tracked, -0.1167062, -1.170453, 1.74107, Inferred, -0.08607274, -1.208832, 1.615205, Inferred, -0.004525012, 0.08342823, 1.972749, Tracked, -0.2855294, -0.4325515, 1.565318, Tracked, -0.2615498, -0.355751, 1.584042, Tracked, 0.1137055, -0.4347833, 1.763866, Tracked, 0.09264523, -0.3457034, 1.764819, Tracked,
Kinect 2: 10.4100521, -0.0702324, -0.4474754, 1.816625, Tracked, -0.03217713, -0.1398127, 1.910817, Tracked, 0.005382405, 0.1558933, 1.990051, Tracked, 0.07484187, 0.2740096, 2.035986, Tracked, -0.1777492, 0.07070911, 1.893187, Tracked, -0.3097272, -0.1245239, 1.812078, Tracked, -0.3068629, -0.3213764, 1.645855, Tracked, -0.3022138, -0.3739855, 1.587203, Tracked, 0.1690092, -0.01795563, 2.043913, Tracked, 0.1790094, -0.226338, 2.030439, Inferred, 0.1711217, -0.3516719, 1.855151, Inferred, 0.1254277, -0.3678222, 1.809605, Inferred, -0.1424338, -0.4118553, 1.746701, Tracked, -0.1995751, -0.7118005, 1.610464, Tracked, -0.3296874, -1.064343, 1.453358, Inferred, -0.2943239, -1.063545, 1.314053, Inferred, 0.00585641, -0.4661021, 1.81536, Tracked, -0.01834292, -0.7782265, 1.752725, Tracked, -0.1164303, -1.170825, 1.740776, Inferred, -0.08569618, -1.208837, 1.614833, Inferred, -0.004011678, 0.08332757, 1.972797, Tracked, -0.2885684, -0.4274582, 1.560898, Tracked, -0.2595426, -0.3643822, 1.573942, Tracked, 0.1139123, -0.4248824, 1.759101, Tracked, 0.0891332, -0.3228216, 1.7748, Tracked,
Kinect 2: 10.4420791, -0.07041927, -0.4475872, 1.816823, Tracked, -0.03214979, -0.1398168, 1.910858, Tracked, 0.005734588, 0.1560717, 1.989883, Tracked, 0.07516111, 0.2738566, 2.035743, Tracked, -0.1789042, 0.07087496, 1.892961, Tracked, -0.3098353, -0.1231753, 1.810097, Tracked, -0.307325, -0.3157489, 1.643067, Tracked, -0.3027461, -0.368192, 1.583665, Tracked, 0.1689662, -0.01785598, 2.043793, Tracked, 0.1789964, -0.2262421, 2.030193, Inferred, 0.1716865, -0.3529178, 1.855903, Inferred, 0.1357192, -0.3488262, 1.841737, Inferred, -0.1426359, -0.4118776, 1.746583, Tracked, -0.1996818, -0.7118524, 1.610567, Tracked, -0.3297121, -1.064402, 1.453295, Inferred, -0.2944351, -1.063546, 1.314049, Inferred, 0.005500517, -0.4662565, 1.815827, Tracked, -0.01838646, -0.77544, 1.75307, Tracked, -0.1150927, -1.171328, 1.741585, Inferred, -0.08411609, -1.209295, 1.615803, Inferred, -0.003764107, 0.083436, 1.972718, Tracked, -0.2908823, -0.4241278, 1.557904, Tracked, -0.2596374, -0.3588201, 1.571821, Tracked, 0.1181387, -0.3948613, 1.775062, Tracked, 0.1000774, -0.2843553, 1.815556, Tracked,
