Time,SpineBaseX,SpineBaseY,SpineBaseZ,SpineBaseTracked,SpineMidX,SpineMidY,SpineMidZ,SpineMidTracked,NeckX,NeckY,NeckZ,NeckTracked,HeadX,HeadY,HeadZ,HeadTracked,ShoulderLeftX,ShoulderLeftY,ShoulderLeftZ,ShoulderLeftTracked,ElbowLeftX,ElbowLeftY,ElbowLeftZ,ElbowLeftTracked,WristLeftX,WristLeftY,WristLeftZ,WristLeftTracked,HandLeftX,HandLeftY,HandLeftZ,HandLeftTracked,ShoulderRightX,ShoulderRightY,ShoulderRightZ,ShoulderRightTracked,ElbowRightX,ElbowRightY,ElbowRightZ,ElbowRightTracked,WristRightX,WristRightY,WristRightZ,WristRightTracked,HandRightX,HandRightY,HandRightZ,HandRightTracked,HipLeftX,HipLeftY,HipLeftZ,HipLeftTracked,KneeLeftX,KneeLeftY,KneeLeftZ,KneeLeftTracked,AnkleLeftX,AnkleLeftY,AnkleLeftZ,AnkleLeftTracked,FootLeftX,FootLeftY,FootLeftZ,FootLeftTracked,HipRightX,HipRightY,HipRightZ,HipRightTracked,KneeRightX,KneeRightY,KneeRightZ,KneeRightTracked,AnkleRightX,AnkleRightY,AnkleRightZ,AnkleRightTracked,FootRightX,FootRightY,FootRightZ,FootRightTracked,SpineShoulderX,SpineShoulderY,SpineShoulderZ,SpineShoulderTracked,HandTipLeftX,HandTipLeftY,HandTipLeftZ,HandTipLeftTracked,ThumbLeftX,ThumbLeftY,ThumbLeftZ,ThumbLeftTracked,HandTipRightX,HandTipRightY,HandTipRightZ,HandTipRightTracked,ThumbRightX,ThumbRightY,ThumbRightZ,ThumbRightTrackedKinect 2: 0.0123102, -0.2320932, -0.3459127, 1.632538, Tracked, -0.2263097, -0.04206285, 1.720971, Tracked, -0.21883, 0.2497948, 1.795798, Tracked, -0.1750085, 0.353225, 1.867708, Tracked, -0.3403881, 0.1495108, 1.632644, Tracked, -0.4219038, -0.05284972, 1.512285, Tracked, -0.4264806, -0.2602834, 1.463349, Tracked, -0.4258339, -0.3352855, 1.469792, Tracked, -0.1072417, 0.05871755, 1.897248, Tracked, -0.08996411, -0.1552982, 1.91154, Tracked, -0.06863569, -0.3544486, 1.724211, Tracked, -0.07040272, -0.3997054, 1.670603, Tracked, -0.2784413, -0.3156801, 1.555774, Tracked, -0.3292541, -0.6228079, 1.464099, Tracked, -0.4218563, -0.9973181, 1.427315, Inferred, -0.3499489, -1.039848, 1.330937, Inferred, -0.1763981, -0.3629948, 1.645108, Tracked, -0.1615142, -0.6831632, 1.612851, Tracked, -0.1879165, -1.063188, 1.617209, Inferred, -0.1060858, -1.09928, 1.529517, Inferred, -0.2207585, 0.1782111, 1.779222, Tracked, -0.4253811, -0.4155672, 1.444242, Tracked, -0.4096283, -0.3868742, 1.395, Tracked, -0.07134437, -0.4516494, 1.629228, Tracked, -0.08495493, -0.3594795, 1.6429, Tracked,
Kinect 2: 1.480789, -0.2296814, -0.34895, 1.633566, Tracked, -0.2224066, -0.04336175, 1.722805, Tracked, -0.213485, 0.2506092, 1.798347, Tracked, -0.1763457, 0.3567558, 1.871773, Tracked, -0.3353501, 0.1495597, 1.631287, Tracked, -0.4124013, -0.05145039, 1.505566, Tracked, -0.299596, -0.2123214, 1.453728, Tracked, -0.3238034, -0.2674524, 1.477326, Tracked, -0.1134067, 0.06743882, 1.9013, Inferred, -0.09318062, -0.1675392, 1.913041, Tracked, -0.0670611, -0.3611885, 1.719065, Tracked, -0.07004231, -0.4074827, 1.665658, Tracked, -0.2742198, -0.3191587, 1.559271, Tracked, -0.3231209, -0.6221314, 1.462266, Tracked, -0.4465057, -0.9943063, 1.420177, Inferred, -0.3797325, -1.043612, 1.323073, Inferred, -0.1759806, -0.3650114, 1.643608, Tracked, -0.1596938, -0.6868616, 1.616386, Tracked, -0.1927297, -1.068015, 1.618146, Inferred, -0.1093139, -1.105506, 1.531357, Inferred, -0.2159511, 0.1784979, 1.781649, Tracked, -0.3227099, -0.3441078, 1.455328, Tracked, -0.4031274, -0.2541488, 1.465966, Tracked, -0.07158075, -0.4632979, 1.620416, Tracked, -0.0845013, -0.3676189, 1.634556, Tracked,
Kinect 2: 1.5136922, -0.2294401, -0.3489464, 1.633627, Tracked, -0.22233, -0.0432849, 1.722824, Tracked, -0.2135308, 0.2508147, 1.798332, Tracked, -0.1763466, 0.356966, 1.871693, Tracked, -0.3352974, 0.1495968, 1.631205, Tracked, -0.4122064, -0.05122152, 1.505514, Tracked, -0.299696, -0.2123376, 1.453778, Tracked, -0.3256773, -0.2652256, 1.477094, Tracked, -0.1134709, 0.06765719, 1.901283, Inferred, -0.09299882, -0.167714, 1.912976, Tracked, -0.06665996, -0.3608407, 1.718465, Tracked, -0.0686909, -0.4082308, 1.666965, Tracked, -0.2738759, -0.3191642, 1.559373, Tracked, -0.3229934, -0.621914, 1.462237, Tracked, -0.4445941, -0.9949449, 1.420328, Inferred, -0.3772473, -1.043903, 1.323366, Inferred, -0.1758552, -0.3649994, 1.643623, Tracked, -0.1595067, -0.6871984, 1.616415, Tracked, -0.1921742, -1.068111, 1.61817, Inferred, -0.1086601, -1.105522, 1.531404, Inferred, -0.2159556, 0.1786592, 1.781646, Tracked, -0.3205828, -0.3437133, 1.454314, Tracked, -0.3907726, -0.2580947, 1.490439, Tracked, -0.07038506, -0.4646024, 1.621854, Tracked, -0.08406724, -0.3674782, 1.635159, Tracked,
Kinect 2: 1.5467225, -0.2293739, -0.3489113, 1.633637, Tracked, -0.2222997, -0.04319577, 1.722828, Tracked, -0.2135892, 0.2510135, 1.798319, Tracked, -0.1766416, 0.3572791, 1.871644, Tracked, -0.3352807, 0.1496251, 1.631184, Tracked, -0.4120622, -0.05082347, 1.505458, Tracked, -0.2998855, -0.2122099, 1.453845, Tracked, -0.2753851, -0.2661894, 1.477941, Tracked, -0.1135467, 0.06786738, 1.901268, Inferred, -0.09298319, -0.1643884, 1.913018, Tracked, -0.06682158, -0.3585834, 1.719564, Tracked, -0.06836576, -0.4054812, 1.668809, Tracked, -0.2737829, -0.3191604, 1.55948, Tracked, -0.3230088, -0.6218016, 1.462217, Tracked, -0.4434252, -0.9953623, 1.420156, Inferred, -0.3756801, -1.044011, 1.32322, Inferred, -0.1757704, -0.364893, 1.643521, Tracked, -0.1594082, -0.6871782, 1.61643, Tracked, -0.1919186, -1.068063, 1.61881, Inferred, -0.1083424, -1.105565, 1.532159, Inferred, -0.2159835, 0.1788292, 1.781638, Tracked, -0.2174826, -0.3221433, 1.454701, Tracked, -0.3285047, -0.3059354, 1.462017, Tracked, -0.07300903, -0.4588476, 1.621003, Tracked, -0.08068793, -0.4318285, 1.60925, Tracked,
Kinect 2: 1.5803743, -0.2292791, -0.3488867, 1.633559, Tracked, -0.2221607, -0.04314693, 1.722755, Tracked, -0.2134547, 0.2510724, 1.798254, Tracked, -0.1766991, 0.3574098, 1.871618, Tracked, -0.3352866, 0.1496336, 1.631125, Tracked, -0.4118375, -0.05078567, 1.505264, Tracked, -0.2998078, -0.2121911, 1.453321, Tracked, -0.3310385, -0.2563894, 1.477018, Tracked, -0.1134306, 0.06792556, 1.901205, Inferred, -0.09278155, -0.1631635, 1.912883, Tracked, -0.06664143, -0.3574128, 1.719469, Tracked, -0.06886512, -0.4044597, 1.667497, Inferred, -0.2737364, -0.3191576, 1.559458, Tracked, -0.3229041, -0.6215594, 1.461922, Tracked, -0.4408438, -0.9963251, 1.421795, Inferred, -0.3724692, -1.044929, 1.325345, Inferred, -0.1756291, -0.3648279, 1.643335, Tracked, -0.1592191, -0.687246, 1.616387, Tracked, -0.1920677, -1.068033, 1.618846, Inferred, -0.1085477, -1.105639, 1.532162, Inferred, -0.2158441, 0.1788905, 1.78157, Tracked, -0.3244111, -0.336745, 1.457321, Tracked, -0.4005279, -0.250013, 1.485067, Tracked, -0.06943122, -0.4594403, 1.624832, Tracked, -0.08440353, -0.3654148, 1.635565, Tracked,
Kinect 2: 1.6123864, -0.2291386, -0.3489427, 1.633512, Tracked, -0.2221133, -0.0431693, 1.722742, Tracked, -0.213456, 0.2510668, 1.798253, Tracked, -0.1766242, 0.3573694, 1.871627, Tracked, -0.3352138, 0.1496445, 1.63105, Tracked, -0.411867, -0.05071568, 1.505138, Tracked, -0.3000943, -0.2121948, 1.452771, Tracked, -0.3284877, -0.2585329, 1.47722, Tracked, -0.1119237, 0.06997578, 1.898149, Tracked, -0.09257521, -0.1634981, 1.912624, Tracked, -0.06647044, -0.357653, 1.719088, Tracked, -0.06921269, -0.4036596, 1.667624, Tracked, -0.2737181, -0.3192428, 1.559456, Tracked, -0.3228428, -0.6214122, 1.461697, Tracked, -0.440109, -0.9966967, 1.422118, Inferred, -0.3722022, -1.045078, 1.325037, Inferred, -0.1752349, -0.3648182, 1.643165, Tracked, -0.159035, -0.6868156, 1.616426, Tracked, -0.1907087, -1.068183, 1.619135, Inferred, -0.1075702, -1.105587, 1.531736, Inferred, -0.2158406, 0.1788846, 1.781568, Tracked, -0.3235744, -0.340385, 1.456205, Tracked, -0.4033232, -0.2382292, 1.479684, Tracked, -0.06875926, -0.4599398, 1.624847, Tracked, -0.08459669, -0.3654712, 1.635644, Tracked,
Kinect 2: 1.6457361, -0.2290224, -0.3488712, 1.633388, Tracked, -0.2220392, -0.04314311, 1.7226, Tracked, -0.2134483, 0.2510436, 1.798066, Tracked, -0.1767206, 0.3573559, 1.871554, Tracked, -0.3350518, 0.1497317, 1.63095, Tracked, -0.4112484, -0.05100256, 1.504744, Tracked, -0.2998383, -0.2128035, 1.452617, Tracked, -0.3077974, -0.2851782, 1.472179, Tracked, -0.1108854, 0.07133631, 1.895429, Inferred, -0.09236003, -0.16383, 1.912668, Tracked, -0.06488631, -0.3530485, 1.714277, Tracked, -0.07374104, -0.4434929, 1.637969, Inferred, -0.2737248, -0.3192201, 1.55936, Tracked, -0.3229201, -0.6229094, 1.462044, Tracked, -0.4380381, -0.9974727, 1.421794, Inferred, -0.3700079, -1.044961, 1.324, Inferred, -0.1749246, -0.3646583, 1.642983, Tracked, -0.1589639, -0.6868788, 1.616397, Tracked, -0.192359, -1.067967, 1.618825, Inferred, -0.1099513, -1.105756, 1.530738, Inferred, -0.2158143, 0.1788781, 1.781396, Tracked, -0.2965311, -0.3530056, 1.439784, Tracked, -0.3683532, -0.292627, 1.493636, Tracked, -0.07849257, -0.5047895, 1.601856, Tracked, -0.0916517, -0.4136516, 1.598731, Tracked,
Kinect 2: 1.6795353, -0.2288588, -0.3488796, 1.633321, Tracked, -0.2219946, -0.04310066, 1.722539, Tracked, -0.213515, 0.2511628, 1.797954, Tracked, -0.1766746, 0.3573973, 1.871552, Tracked, -0.3349316, 0.1496595, 1.630792, Tracked, -0.4112141, -0.05085304, 1.504697, Tracked, -0.2996978, -0.2124715, 1.452068, Tracked, -0.308364, -0.285114, 1.473304, Tracked, -0.1105359, 0.07256524, 1.894072, Inferred, -0.09205808, -0.1654626, 1.911599, Tracked, -0.06633164, -0.3596694, 1.718013, Tracked, -0.0677468, -0.4080164, 1.665942, Tracked, -0.2736844, -0.3192363, 1.559307, Tracked, -0.3231216, -0.6232988, 1.461924, Tracked, -0.4390175, -0.9973179, 1.42254, Inferred, -0.3715022, -1.045161, 1.324578, Inferred, -0.1746157, -0.3646495, 1.64291, Tracked, -0.1589299, -0.6868753, 1.616406, Tracked, -0.1931085, -1.06798, 1.618568, Inferred, -0.1110363, -1.105924, 1.530128, Inferred, -0.2158433, 0.1789729, 1.781303, Tracked, -0.2992135, -0.3559197, 1.442584, Tracked, -0.3682657, -0.2925786, 1.493642, Tracked, -0.06919476, -0.4628911, 1.624445, Tracked, -0.08363158, -0.3683255, 1.633833, Tracked,
Kinect 2: 1.7137076, -0.2285645, -0.3488862, 1.633106, Tracked, -0.2218932, -0.0430021, 1.722363, Tracked, -0.21359, 0.2513842, 1.797735, Tracked, -0.1766491, 0.3575263, 1.871515, Tracked, -0.3348696, 0.149646, 1.630426, Tracked, -0.4111434, -0.05113939, 1.504461, Tracked, -0.2994496, -0.2126793, 1.451955, Tracked, -0.3083328, -0.2844666, 1.47154, Tracked, -0.1102471, 0.07366122, 1.89286, Inferred, -0.09251767, -0.1579517, 1.912576, Tracked, -0.06649351, -0.3535964, 1.720498, Tracked, -0.06737287, -0.4027172, 1.668923, Inferred, -0.2735852, -0.3192868, 1.559254, Tracked, -0.3230917, -0.6228163, 1.461715, Tracked, -0.4439985, -0.9956873, 1.420848, Inferred, -0.378045, -1.04424, 1.322152, Inferred, -0.1740983, -0.3645494, 1.642417, Tracked, -0.1588673, -0.6869153, 1.616332, Tracked, -0.1925815, -1.06799, 1.618619, Inferred, -0.1105799, -1.105867, 1.529992, Inferred, -0.2158671, 0.1791594, 1.781101, Tracked, -0.298778, -0.3529151, 1.440965, Tracked, -0.3684629, -0.2926865, 1.49363, Tracked, -0.07093062, -0.4560432, 1.624307, Tracked, -0.08174637, -0.3594175, 1.639905, Tracked,
Kinect 2: 1.7457239, -0.228518, -0.3488759, 1.633131, Tracked, -0.2219111, -0.04295703, 1.722333, Tracked, -0.2138551, 0.2515776, 1.79751, Tracked, -0.176746, 0.3576112, 1.87142, Tracked, -0.3348853, 0.14971, 1.630335, Tracked, -0.411117, -0.05115478, 1.504408, Tracked, -0.2993619, -0.2126636, 1.451879, Tracked, -0.3028345, -0.2854787, 1.471488, Tracked, -0.1103641, 0.07431275, 1.89208, Inferred, -0.09227818, -0.1609673, 1.910325, Tracked, -0.06618579, -0.3566087, 1.718237, Tracked, -0.06849243, -0.4049927, 1.6684, Inferred, -0.2735871, -0.3192971, 1.559278, Tracked, -0.3229511, -0.622625, 1.461656, Tracked, -0.4446689, -0.9956301, 1.422742, Inferred, -0.37917, -1.04493, 1.324302, Inferred, -0.1739774, -0.3645008, 1.642444, Tracked, -0.158778, -0.6870599, 1.616236, Tracked, -0.1922999, -1.06804, 1.618581, Inferred, -0.1103324, -1.105893, 1.52985, Inferred, -0.2160451, 0.1793124, 1.780941, Tracked, -0.2853743, -0.3472129, 1.438618, Tracked, -0.3688197, -0.2915003, 1.492546, Tracked, -0.07057607, -0.4590477, 1.621966, Tracked, -0.0836952, -0.3661697, 1.634852, Tracked,
Kinect 2: 1.7797226, -0.2284296, -0.348929, 1.633107, Tracked, -0.2218972, -0.04297785, 1.72232, Tracked, -0.2138866, 0.2515521, 1.7975, Tracked, -0.176871, 0.3576315, 1.871387, Tracked, -0.3348882, 0.1496636, 1.630257, Tracked, -0.4112334, -0.05143261, 1.504369, Tracked, -0.2991896, -0.2127611, 1.451833, Tracked, -0.3025165, -0.286171, 1.472157, Tracked, -0.1103073, 0.07437699, 1.891912, Inferred, -0.09220961, -0.1616344, 1.910539, Tracked, -0.0662149, -0.3572087, 1.718341, Tracked, -0.06861627, -0.4040513, 1.667565, Tracked, -0.2735692, -0.3194005, 1.559338, Tracked, -0.3228716, -0.6224774, 1.461666, Tracked, -0.4179609, -1.003403, 1.41851, Inferred, -0.344959, -1.045383, 1.320513, Inferred, -0.1737621, -0.3645264, 1.642278, Tracked, -0.1587598, -0.6870204, 1.616251, Tracked, -0.1929405, -1.068066, 1.618781, Inferred, -0.1110877, -1.106126, 1.53003, Inferred, -0.2160611, 0.1792936, 1.780931, Tracked, -0.2853659, -0.3502445, 1.439953, Tracked, -0.366088, -0.2994618, 1.490549, Tracked, -0.06846995, -0.4596438, 1.622788, Tracked, -0.08342636, -0.3662367, 1.635342, Tracked,
Kinect 2: 1.8127795, -0.2283674, -0.3488346, 1.633137, Tracked, -0.2218874, -0.0429555, 1.72231, Tracked, -0.2139123, 0.2515446, 1.797459, Tracked, -0.1770024, 0.3576522, 1.871397, Tracked, -0.3349014, 0.1496802, 1.630239, Tracked, -0.4110741, -0.05164326, 1.503927, Tracked, -0.2990314, -0.2130934, 1.451762, Tracked, -0.3034074, -0.2848538, 1.472714, Tracked, -0.1102171, 0.07450701, 1.891625, Inferred, -0.09204167, -0.1634118, 1.910101, Tracked, -0.06607514, -0.3584731, 1.717327, Tracked, -0.06807322, -0.4079254, 1.667942, Tracked, -0.2735532, -0.3192827, 1.559205, Tracked, -0.3227704, -0.6224074, 1.461674, Tracked, -0.44515, -0.9955172, 1.421469, Inferred, -0.379807, -1.044591, 1.322626, Inferred, -0.1736164, -0.3643661, 1.64259, Tracked, -0.1586874, -0.6868551, 1.616224, Tracked, -0.1926499, -1.06802, 1.618794, Inferred, -0.1107917, -1.106049, 1.529981, Inferred, -0.2160746, 0.1792968, 1.780902, Tracked, -0.2823673, -0.3458242, 1.438784, Tracked, -0.3681758, -0.2936791, 1.492863, Tracked, -0.06915444, -0.463003, 1.623447, Tracked, -0.08275746, -0.3695546, 1.634277, Tracked,
Kinect 2: 1.846452, -0.2281168, -0.3489249, 1.63324, Tracked, -0.2217646, -0.04295922, 1.722358, Tracked, -0.2138803, 0.251567, 1.797478, Tracked, -0.1770373, 0.3577119, 1.87139, Tracked, -0.3348624, 0.1496573, 1.630168, Tracked, -0.41087, -0.0516672, 1.503791, Tracked, -0.2987441, -0.2132007, 1.452067, Tracked, -0.3083588, -0.2844747, 1.473961, Tracked, -0.1099871, 0.07470309, 1.891521, Inferred, -0.0920044, -0.1636231, 1.910634, Tracked, -0.0660095, -0.3586595, 1.717802, Tracked, -0.06866454, -0.4075572, 1.669136, Tracked, -0.2733776, -0.3194446, 1.559317, Tracked, -0.3227014, -0.6224127, 1.461718, Tracked, -0.4459996, -0.9954427, 1.422068, Inferred, -0.3810059, -1.044895, 1.323244, Inferred, -0.1733599, -0.3643926, 1.642676, Tracked, -0.1584314, -0.6872292, 1.616367, Tracked, -0.1926389, -1.068078, 1.619264, Inferred, -0.1108416, -1.106243, 1.530448, Inferred, -0.2160286, 0.1793172, 1.780925, Tracked, -0.296556, -0.3531044, 1.442719, Tracked, -0.3692247, -0.2880719, 1.496293, Tracked, -0.06953951, -0.4654286, 1.628674, Tracked, -0.08413992, -0.3648214, 1.637367, Tracked,
Kinect 2: 1.8803973, -0.2278293, -0.3492296, 1.633366, Tracked, -0.221627, -0.04303715, 1.722357, Tracked, -0.2138252, 0.2515767, 1.797429, Tracked, -0.177102, 0.3577942, 1.87127, Tracked, -0.3348406, 0.1496759, 1.630025, Tracked, -0.4109267, -0.05104397, 1.503914, Tracked, -0.2990853, -0.2127867, 1.452183, Tracked, -0.3290542, -0.2472686, 1.47757, Tracked, -0.1097014, 0.07487026, 1.891225, Inferred, -0.09215873, -0.159628, 1.913558, Tracked, -0.06634798, -0.3554099, 1.721452, Tracked, -0.06869794, -0.4053648, 1.671201, Tracked, -0.2731776, -0.3200655, 1.559834, Tracked, -0.3227463, -0.6226844, 1.461796, Tracked, -0.4464064, -0.9959115, 1.422892, Inferred, -0.3816172, -1.045655, 1.324136, Inferred, -0.1730018, -0.3645642, 1.64256, Tracked, -0.1582131, -0.6871635, 1.616393, Tracked, -0.1904714, -1.068494, 1.619162, Inferred, -0.1083923, -1.106172, 1.530274, Inferred, -0.2159639, 0.1793132, 1.780886, Tracked, -0.3184175, -0.296467, 1.473494, Tracked, -0.4109696, -0.2460248, 1.45675, Tracked, -0.0689373, -0.4605494, 1.628069, Tracked, -0.08381191, -0.3640959, 1.638877, Tracked,
Kinect 2: 1.9116275, -0.2277926, -0.3493008, 1.633489, Tracked, -0.2216039, -0.04298533, 1.722228, Tracked, -0.2138679, 0.2520648, 1.796326, Tracked, -0.1772837, 0.3581221, 1.870922, Tracked, -0.3345901, 0.1497718, 1.629166, Tracked, -0.4102261, -0.05119384, 1.503232, Tracked, -0.2986229, -0.2133674, 1.452472, Tracked, -0.3288696, -0.2469174, 1.479245, Tracked, -0.1094793, 0.07575608, 1.889508, Inferred, -0.09221788, -0.1611084, 1.913314, Tracked, -0.06624658, -0.3563629, 1.720646, Tracked, -0.07027749, -0.4063641, 1.670531, Tracked, -0.2731948, -0.3202622, 1.560153, Tracked, -0.3227492, -0.6227041, 1.46197, Tracked, -0.4495668, -0.9951752, 1.425156, Inferred, -0.3859982, -1.04619, 1.326536, Inferred, -0.1729803, -0.3645723, 1.642577, Tracked, -0.1576167, -0.6870091, 1.616327, Tracked, -0.1882792, -1.068804, 1.616683, Inferred, -0.1060979, -1.105616, 1.52719, Inferred, -0.2159782, 0.1796606, 1.780107, Tracked, -0.322454, -0.2944805, 1.476098, Tracked, -0.3984456, -0.2351568, 1.488429, Tracked, -0.06951509, -0.4618608, 1.630051, Tracked, -0.08516982, -0.365083, 1.638777, Tracked,
Kinect 2: 1.9469411, -0.2274245, -0.3498741, 1.634366, Tracked, -0.2214716, -0.04298913, 1.722256, Tracked, -0.2136108, 0.2524342, 1.795869, Tracked, -0.1768314, 0.3586175, 1.869842, Tracked, -0.3338218, 0.1497706, 1.628339, Tracked, -0.409586, -0.05121956, 1.502315, Tracked, -0.2983154, -0.2138746, 1.452489, Tracked, -0.3294581, -0.2479417, 1.480882, Tracked, -0.1089782, 0.0763787, 1.888767, Inferred, -0.0923394, -0.1617754, 1.913523, Tracked, -0.06549998, -0.355793, 1.719645, Tracked, -0.07176978, -0.4068015, 1.670483, Inferred, -0.2729403, -0.3212511, 1.561459, Tracked, -0.3222402, -0.6231416, 1.463023, Tracked, -0.4519981, -0.9951149, 1.425236, Inferred, -0.3891864, -1.046478, 1.326306, Inferred, -0.1726532, -0.3648139, 1.643073, Tracked, -0.1558859, -0.6866854, 1.61623, Tracked, -0.1833574, -1.069518, 1.61143, Inferred, -0.1007556, -1.104575, 1.52109, Inferred, -0.2157668, 0.1798899, 1.779835, Tracked, -0.3257057, -0.3316897, 1.464588, Tracked, -0.4065892, -0.2227359, 1.466238, Tracked, -0.0698589, -0.4609756, 1.625732, Tracked, -0.08697049, -0.3654364, 1.638984, Tracked,
Kinect 2: 1.9794359, -0.2271031, -0.3509737, 1.636635, Tracked, -0.2213301, -0.04297489, 1.722289, Tracked, -0.2129608, 0.253509, 1.794113, Tracked, -0.1765369, 0.3599868, 1.867738, Tracked, -0.3310952, 0.1494528, 1.625349, Tracked, -0.4083181, -0.05108013, 1.501176, Tracked, -0.2980067, -0.2147242, 1.452625, Tracked, -0.3266945, -0.2495444, 1.48405, Tracked, -0.1080477, 0.0777353, 1.886645, Inferred, -0.0914844, -0.1712795, 1.911189, Tracked, -0.06386272, -0.3654624, 1.717567, Tracked, -0.0755573, -0.4503219, 1.652374, Inferred, -0.2725487, -0.3227245, 1.56385, Tracked, -0.3219873, -0.6252331, 1.465417, Tracked, -0.4529136, -0.9959055, 1.423052, Inferred, -0.3895654, -1.046025, 1.323352, Inferred, -0.1725097, -0.3655024, 1.645112, Tracked, -0.151696, -0.6861242, 1.616963, Tracked, -0.1815115, -1.070053, 1.607762, Inferred, -0.09916131, -1.104765, 1.516858, Inferred, -0.2152782, 0.1805554, 1.778803, Tracked, -0.3245736, -0.297533, 1.486166, Tracked, -0.4117475, -0.2513696, 1.470111, Tracked, -0.07664889, -0.5136058, 1.616315, Tracked, -0.100094, -0.438925, 1.606842, Tracked,
Kinect 2: 2.0133591, -0.2259717, -0.3534037, 1.64057, Tracked, -0.2204266, -0.0432753, 1.722516, Tracked, -0.2109007, 0.2543797, 1.791632, Tracked, -0.1758006, 0.3613866, 1.865467, Tracked, -0.3269237, 0.1495283, 1.621081, Tracked, -0.4072702, -0.05194861, 1.499804, Tracked, -0.2962014, -0.2156585, 1.453483, Tracked, -0.3232121, -0.252621, 1.488052, Tracked, -0.1057091, 0.07876121, 1.88393, Inferred, -0.08947171, -0.1752326, 1.909376, Inferred, -0.06246397, -0.3665047, 1.731939, Tracked, -0.06955162, -0.4221284, 1.682515, Inferred, -0.2713376, -0.326084, 1.568212, Tracked, -0.3218262, -0.6284872, 1.46877, Tracked, -0.4719685, -0.9910029, 1.42213, Inferred, -0.4138691, -1.043916, 1.321015, Inferred, -0.1716176, -0.3670153, 1.648561, Tracked, -0.1437203, -0.6861604, 1.619268, Tracked, -0.1721362, -1.071349, 1.600927, Inferred, -0.08954697, -1.104062, 1.508951, Inferred, -0.2136342, 0.1810442, 1.777251, Tracked, -0.3147268, -0.3009835, 1.48948, Tracked, -0.407183, -0.2397742, 1.472327, Tracked, -0.07077028, -0.4783418, 1.643881, Tracked, -0.08680411, -0.3849271, 1.6488, Tracked,
Kinect 2: 2.0454302, -0.2248154, -0.3562303, 1.646741, Tracked, -0.218983, -0.0439123, 1.723318, Tracked, -0.2083739, 0.2548138, 1.789232, Tracked, -0.1723014, 0.3614291, 1.863229, Tracked, -0.3209251, 0.1504029, 1.616873, Tracked, -0.4020272, -0.05304999, 1.497589, Tracked, -0.2907788, -0.2180788, 1.458153, Tracked, -0.268042, -0.2784715, 1.491561, Tracked, -0.1030353, 0.07926816, 1.881438, Inferred, -0.08721163, -0.1779504, 1.907698, Inferred, -0.06813985, -0.3986816, 1.745183, Tracked, -0.07751247, -0.5888726, 1.623385, Inferred, -0.2700662, -0.3293926, 1.574222, Tracked, -0.3191185, -0.6307687, 1.475613, Tracked, -0.4779027, -0.9898295, 1.41704, Inferred, -0.4202783, -1.040788, 1.313813, Inferred, -0.1707417, -0.3692191, 1.654811, Tracked, -0.1335246, -0.6850387, 1.622189, Tracked, -0.1679762, -1.072224, 1.597774, Inferred, -0.08600431, -1.105192, 1.505375, Inferred, -0.2115562, 0.1812131, 1.775817, Tracked, -0.2130301, -0.3474223, 1.469177, Tracked, -0.3190788, -0.3018412, 1.487185, Tracked, -0.07758927, -0.6464345, 1.592254, Tracked, -0.1015768, -0.5577067, 1.596929, Tracked,
Kinect 2: 2.0810195, -0.2218238, -0.3600592, 1.652629, Tracked, -0.2152522, -0.04585648, 1.724617, Tracked, -0.2035527, 0.2543363, 1.785975, Tracked, -0.1706651, 0.3621997, 1.860143, Tracked, -0.3131196, 0.149743, 1.612836, Tracked, -0.3911715, -0.06603257, 1.492756, Tracked, -0.2771598, -0.2303329, 1.461169, Tracked, -0.2919047, -0.3001168, 1.497674, Tracked, -0.09812776, 0.07883909, 1.878139, Inferred, -0.0826818, -0.1813358, 1.905148, Inferred, -0.0661918, -0.4023873, 1.74282, Tracked, -0.07477564, -0.5981221, 1.625342, Inferred, -0.2670406, -0.3336168, 1.579876, Tracked, -0.3178822, -0.6318274, 1.478659, Tracked, -0.4795397, -0.9913421, 1.41606, Inferred, -0.4212417, -1.041564, 1.312638, Inferred, -0.1679936, -0.3725006, 1.660901, Tracked, -0.1218206, -0.6876334, 1.627948, Tracked, -0.1485111, -1.075035, 1.606154, Inferred, -0.06525785, -1.107048, 1.514945, Inferred, -0.2071023, 0.1804783, 1.773646, Tracked, -0.2838354, -0.3721042, 1.474552, Tracked, -0.3508415, -0.2954851, 1.514, Tracked, -0.07493947, -0.6679351, 1.589103, Tracked, -0.1038525, -0.5752807, 1.595795, Tracked,
