Time,SpineBaseX,SpineBaseY,SpineBaseZ,SpineBaseTracked,SpineMidX,SpineMidY,SpineMidZ,SpineMidTracked,NeckX,NeckY,NeckZ,NeckTracked,HeadX,HeadY,HeadZ,HeadTracked,ShoulderLeftX,ShoulderLeftY,ShoulderLeftZ,ShoulderLeftTracked,ElbowLeftX,ElbowLeftY,ElbowLeftZ,ElbowLeftTracked,WristLeftX,WristLeftY,WristLeftZ,WristLeftTracked,HandLeftX,HandLeftY,HandLeftZ,HandLeftTracked,ShoulderRightX,ShoulderRightY,ShoulderRightZ,ShoulderRightTracked,ElbowRightX,ElbowRightY,ElbowRightZ,ElbowRightTracked,WristRightX,WristRightY,WristRightZ,WristRightTracked,HandRightX,HandRightY,HandRightZ,HandRightTracked,HipLeftX,HipLeftY,HipLeftZ,HipLeftTracked,KneeLeftX,KneeLeftY,KneeLeftZ,KneeLeftTracked,AnkleLeftX,AnkleLeftY,AnkleLeftZ,AnkleLeftTracked,FootLeftX,FootLeftY,FootLeftZ,FootLeftTracked,HipRightX,HipRightY,HipRightZ,HipRightTracked,KneeRightX,KneeRightY,KneeRightZ,KneeRightTracked,AnkleRightX,AnkleRightY,AnkleRightZ,AnkleRightTracked,FootRightX,FootRightY,FootRightZ,FootRightTracked,SpineShoulderX,SpineShoulderY,SpineShoulderZ,SpineShoulderTracked,HandTipLeftX,HandTipLeftY,HandTipLeftZ,HandTipLeftTracked,ThumbLeftX,ThumbLeftY,ThumbLeftZ,ThumbLeftTracked,HandTipRightX,HandTipRightY,HandTipRightZ,HandTipRightTracked,ThumbRightX,ThumbRightY,ThumbRightZ,ThumbRightTrackedKinect 2: 0.0234844, -0.07258292, -0.5027341, 1.968019, Tracked, 0.01799328, -0.1809165, 2.027204, Tracked, 0.1073459, 0.1292947, 2.064356, Tracked, 0.1986206, 0.2287243, 2.111367, Tracked, -0.04448989, 0.05323993, 1.948974, Tracked, -0.2135895, -0.07783107, 1.835529, Tracked, -0.1494299, -0.2494291, 1.776315, Tracked, -0.1269422, -0.3052425, 1.801253, Tracked, 0.2128081, -0.08686656, 2.187226, Tracked, 0.182487, -0.2833699, 2.19828, Tracked, 0.1581152, -0.4080216, 2.048338, Tracked, 0.1587701, -0.4158933, 2.014984, Tracked, -0.1295659, -0.4575226, 1.880245, Tracked, -0.176596, -0.7570778, 1.749775, Tracked, -0.3139158, -1.113086, 1.76475, Inferred, -0.2616957, -1.164554, 1.660437, Inferred, -0.01301297, -0.5276217, 1.976655, Tracked, -0.004855629, -0.7947303, 1.902956, Tracked, -0.1690422, -1.197646, 1.849471, Inferred, -0.13407, -1.220891, 1.736048, Inferred, 0.08500069, 0.05303351, 2.058426, Tracked, -0.1172661, -0.3798528, 1.780969, Tracked, -0.1556381, -0.2693831, 1.75337, Tracked, 0.1369508, -0.4462357, 1.976349, Tracked, 0.1242423, -0.4013369, 1.963632, Tracked,
Kinect 2: 1.5579026, 0.2452186, -0.3958597, 1.534975, Tracked, 0.3215696, -0.0625993, 1.601923, Tracked, 0.3870887, 0.253194, 1.648871, Tracked, 0.469668, 0.3568504, 1.685205, Tracked, 0.2000485, 0.1583155, 1.523295, Tracked, 0.054246, -0.01486926, 1.428675, Tracked, 0.1480611, -0.231759, 1.357051, Tracked, 0.1692641, -0.2979912, 1.380211, Tracked, 0.4914503, 0.04753804, 1.729877, Inferred, 0.4779102, -0.2105175, 1.714649, Tracked, 0.4674068, -0.3281948, 1.556832, Tracked, 0.4183917, -0.3461235, 1.534594, Inferred, 0.17434, -0.3550253, 1.458497, Tracked, 0.09241208, -0.6154931, 1.386402, Tracked, -0.1189349, -0.9648966, 1.52782, Inferred, -0.1214974, -1.051478, 1.465089, Inferred, 0.3035906, -0.4166966, 1.533931, Tracked, 0.3403325, -0.6829975, 1.483933, Tracked, 0.251221, -0.9869428, 1.52993, Inferred, 0.2676518, -0.8425754, 1.468655, Tracked, 0.3715966, 0.1762298, 1.639722, Tracked, 0.1848847, -0.3691176, 1.362047, Tracked, 0.2257056, -0.2681466, 1.387575, Tracked, 0.4044399, -0.3860543, 1.499815, Tracked, 0.3868917, -0.2981039, 1.485143, Tracked,
Kinect 2: 1.5898709, 0.2483346, -0.3972249, 1.531009, Tracked, 0.3276645, -0.06401499, 1.59676, Tracked, 0.4001815, 0.2524095, 1.643104, Tracked, 0.4891642, 0.3530963, 1.6827, Tracked, 0.2211591, 0.1619025, 1.519187, Tracked, 0.0694663, -0.01508254, 1.426663, Tracked, 0.1564505, -0.2322254, 1.355642, Tracked, 0.1799333, -0.2956933, 1.37188, Tracked, 0.499684, 0.04168612, 1.733235, Tracked, 0.4839372, -0.211372, 1.711466, Tracked, 0.4744877, -0.3301556, 1.554497, Tracked, 0.4299717, -0.3411465, 1.524634, Inferred, 0.1784435, -0.3559187, 1.454389, Tracked, 0.09378844, -0.6416039, 1.385339, Tracked, -0.01293991, -1.031162, 1.338422, Inferred, 0.03752019, -1.060501, 1.223004, Inferred, 0.3056485, -0.418378, 1.530231, Tracked, 0.3441902, -0.6836981, 1.463338, Tracked, 0.3135811, -1.119513, 1.447922, Inferred, 0.3610008, -1.138439, 1.341193, Inferred, 0.3826518, 0.1752554, 1.634093, Tracked, 0.2044912, -0.3502211, 1.355625, Tracked, 0.240293, -0.2625387, 1.378238, Tracked, 0.4100091, -0.3755304, 1.487329, Tracked, 0.396337, -0.3036291, 1.473286, Tracked,
Kinect 2: 1.6239844, 0.2584988, -0.4006463, 1.522009, Tracked, 0.3440287, -0.06689706, 1.584652, Tracked, 0.4231906, 0.2510216, 1.629356, Tracked, 0.5174261, 0.3480522, 1.678611, Tracked, 0.2486808, 0.1595485, 1.50693, Tracked, 0.09554992, -0.0147672, 1.412742, Tracked, 0.1675505, -0.2272636, 1.348963, Tracked, 0.1859426, -0.2824407, 1.365677, Tracked, 0.5339391, 0.01161348, 1.739588, Tracked, 0.4983118, -0.2116181, 1.704805, Tracked, 0.4824927, -0.3249112, 1.543994, Tracked, 0.4421774, -0.3341596, 1.514119, Inferred, 0.1932172, -0.3589804, 1.440246, Tracked, 0.09521218, -0.6418876, 1.378272, Tracked, -0.02824693, -1.026562, 1.340877, Inferred, 0.02155659, -1.060227, 1.227591, Inferred, 0.3115851, -0.4215738, 1.525423, Tracked, 0.3469454, -0.6872501, 1.458105, Tracked, 0.2809406, -1.105759, 1.330036, Inferred, 0.3229281, -1.106983, 1.210296, Inferred, 0.4043221, 0.1734844, 1.620659, Tracked, 0.2164675, -0.3295728, 1.351053, Tracked, 0.2507696, -0.2469774, 1.369089, Tracked, 0.4180664, -0.3670543, 1.476282, Tracked, 0.3994833, -0.2998889, 1.448616, Tracked,
Kinect 2: 1.656962, 0.2616286, -0.4032929, 1.518628, Tracked, 0.3532187, -0.06921957, 1.580713, Tracked, 0.4412551, 0.2494714, 1.625458, Tracked, 0.5389096, 0.3445067, 1.675829, Tracked, 0.2664088, 0.1596188, 1.508057, Tracked, 0.1103591, -0.008325587, 1.412997, Tracked, 0.1716936, -0.1813115, 1.353192, Tracked, 0.1872007, -0.2297899, 1.375078, Tracked, 0.5390751, 0.01022485, 1.723164, Tracked, 0.5130758, -0.2421458, 1.655973, Tracked, 0.480659, -0.3628157, 1.503614, Inferred, 0.4254733, -0.3917754, 1.471084, Inferred, 0.1943184, -0.3605765, 1.441386, Tracked, 0.1003007, -0.638284, 1.36612, Tracked, -0.02146817, -1.027596, 1.30941, Inferred, 0.02773098, -1.057194, 1.193678, Inferred, 0.319102, -0.4268264, 1.510732, Tracked, 0.3528507, -0.6929629, 1.452281, Tracked, 0.4918295, -1.090527, 1.321218, Inferred, 0.5545876, -1.078307, 1.205639, Inferred, 0.4199508, 0.171714, 1.616725, Tracked, 0.2153573, -0.2803672, 1.352064, Tracked, 0.2486757, -0.1971352, 1.385771, Tracked, 0.4200405, -0.4619577, 1.431931, Tracked, 0.3918327, -0.3441941, 1.429833, Tracked,
Kinect 2: 1.6899028, 0.276385, -0.4014081, 1.514726, Tracked, 0.3742074, -0.06854565, 1.57612, Tracked, 0.4636326, 0.2480976, 1.620975, Tracked, 0.5659698, 0.3410214, 1.675769, Tracked, 0.2919998, 0.1571942, 1.498582, Tracked, 0.1282557, -0.002585021, 1.40157, Tracked, 0.2013405, -0.2208773, 1.335965, Tracked, 0.2172746, -0.2877138, 1.358554, Tracked, 0.5590876, -0.004556791, 1.726474, Tracked, 0.5161198, -0.2535816, 1.653512, Tracked, 0.4910801, -0.3523671, 1.484004, Tracked, 0.4371905, -0.3871223, 1.472044, Inferred, 0.2178813, -0.3551714, 1.426866, Tracked, 0.1110162, -0.6067635, 1.34463, Tracked, -0.1999133, -0.9121619, 1.394059, Inferred, -0.2328634, -0.9657465, 1.317002, Inferred, 0.327214, -0.4264114, 1.516788, Tracked, 0.364598, -0.689837, 1.43304, Tracked, 0.1891968, -0.96332, 1.408829, Inferred, 0.2455798, -0.8281868, 1.373153, Inferred, 0.4424706, 0.1709158, 1.612216, Tracked, 0.2324213, -0.3535567, 1.342831, Tracked, 0.2754536, -0.257102, 1.366634, Tracked, 0.429953, -0.4297573, 1.440192, Tracked, 0.4172066, -0.3228828, 1.4481, Tracked,
Kinect 2: 1.7249306, 0.2804404, -0.4011855, 1.515609, Tracked, 0.3848062, -0.06849632, 1.577886, Tracked, 0.4836987, 0.247855, 1.623712, Tracked, 0.5852266, 0.3389167, 1.676371, Tracked, 0.3067412, 0.1583322, 1.50354, Tracked, 0.139618, -0.00291969, 1.404768, Tracked, 0.2062644, -0.215406, 1.340867, Tracked, 0.2188528, -0.2786767, 1.370625, Tracked, 0.5767084, -0.008178124, 1.731355, Inferred, 0.5273373, -0.2559472, 1.657715, Tracked, 0.4986927, -0.3588214, 1.49139, Tracked, 0.4452043, -0.3877578, 1.478727, Inferred, 0.2199816, -0.3546838, 1.427874, Tracked, 0.1193437, -0.6563904, 1.367396, Tracked, 0.005530543, -1.025205, 1.334272, Inferred, 0.05569018, -1.059802, 1.222428, Inferred, 0.3310657, -0.4269057, 1.52022, Tracked, 0.3678687, -0.6922851, 1.45646, Tracked, 0.4371614, -1.121804, 1.411325, Inferred, 0.4969347, -1.131279, 1.305946, Inferred, 0.4598585, 0.1707696, 1.614717, Tracked, 0.2321251, -0.3487987, 1.349688, Tracked, 0.2761967, -0.2529023, 1.376239, Tracked, 0.4322261, -0.4238975, 1.443485, Tracked, 0.4179489, -0.3227691, 1.440455, Tracked,
Kinect 2: 1.7573287, 0.2870661, -0.4053957, 1.515668, Tracked, 0.3966688, -0.07191354, 1.578157, Tracked, 0.4991157, 0.2462384, 1.623983, Tracked, 0.6034303, 0.3347021, 1.67614, Tracked, 0.3215625, 0.1597154, 1.505656, Tracked, 0.1563985, 0.002387081, 1.406197, Tracked, 0.2136828, -0.2120443, 1.344542, Tracked, 0.2254163, -0.2749996, 1.372481, Tracked, 0.5928745, -0.00343718, 1.72973, Tracked, 0.5332961, -0.2500911, 1.659903, Tracked, 0.5355318, -0.3533121, 1.491748, Inferred, 0.5376256, -0.3884057, 1.439801, Inferred, 0.2248422, -0.3600456, 1.433135, Tracked, 0.1195252, -0.6564311, 1.367172, Tracked, -0.002044412, -1.025989, 1.32674, Inferred, 0.04638368, -1.059725, 1.21327, Inferred, 0.3380069, -0.4304909, 1.518028, Tracked, 0.3682001, -0.6968657, 1.456249, Tracked, 0.4274323, -1.128074, 1.414171, Inferred, 0.4860575, -1.138685, 1.308, Inferred, 0.4746589, 0.1686376, 1.615011, Tracked, 0.2389533, -0.3375995, 1.349596, Tracked, 0.285024, -0.2486469, 1.376849, Tracked, 0.5239831, -0.4245307, 1.404787, Inferred, 0.5090824, -0.3231767, 1.40194, Inferred,
Kinect 2: 1.7898892, 0.2918581, -0.4072509, 1.514289, Tracked, 0.4070179, -0.07362808, 1.576565, Tracked, 0.5151666, 0.2447766, 1.622372, Tracked, 0.6181115, 0.3351301, 1.674657, Tracked, 0.336015, 0.1580554, 1.50344, Tracked, 0.1657715, 0.005352397, 1.402672, Tracked, 0.2197513, -0.1695989, 1.341147, Tracked, 0.2340342, -0.2222243, 1.369408, Inferred, 0.5963479, -0.002133744, 1.698715, Tracked, 0.5383729, -0.2534482, 1.655678, Tracked, 0.4976485, -0.3343954, 1.47923, Tracked, 0.4471462, -0.3665231, 1.464378, Inferred, 0.2291182, -0.3607765, 1.427993, Tracked, 0.1226617, -0.6508359, 1.361182, Tracked, -0.004076249, -1.024551, 1.31866, Inferred, 0.04051355, -1.057026, 1.202282, Inferred, 0.3435309, -0.4339793, 1.521548, Tracked, 0.3703829, -0.7001979, 1.451761, Tracked, 0.424506, -1.13123, 1.396855, Inferred, 0.4794561, -1.14059, 1.287335, Inferred, 0.4892656, 0.1671196, 1.613386, Tracked, 0.2404221, -0.2984465, 1.345088, Tracked, 0.2899529, -0.2052631, 1.376024, Tracked, 0.4299443, -0.4054007, 1.432664, Tracked, 0.4127025, -0.2967467, 1.410652, Tracked,
Kinect 2: 1.8238082, 0.2933385, -0.4107057, 1.509646, Tracked, 0.413791, -0.07626803, 1.572679, Tracked, 0.5296456, 0.24245, 1.618971, Tracked, 0.6325548, 0.3331709, 1.67229, Tracked, 0.349195, 0.1569189, 1.499871, Tracked, 0.1791943, 0.004986602, 1.401448, Tracked, 0.2438654, -0.2082809, 1.340762, Tracked, 0.2557688, -0.2733641, 1.365585, Tracked, 0.6102716, -0.0238244, 1.705262, Tracked, 0.5497965, -0.2626643, 1.65239, Tracked, 0.4925982, -0.3326374, 1.47553, Tracked, 0.4452171, -0.3569508, 1.45335, Tracked, 0.2292691, -0.3625846, 1.427413, Tracked, 0.1240131, -0.6469001, 1.352963, Tracked, -0.004973549, -1.024545, 1.299392, Inferred, 0.04094419, -1.055962, 1.183326, Inferred, 0.3453062, -0.438399, 1.511262, Tracked, 0.3749067, -0.7037182, 1.437675, Tracked, 0.4334252, -1.133523, 1.376682, Inferred, 0.4889287, -1.142841, 1.268318, Inferred, 0.5016086, 0.1646995, 1.609785, Tracked, 0.2696522, -0.3443958, 1.34845, Tracked, 0.3135715, -0.2441467, 1.376642, Tracked, 0.418998, -0.3683356, 1.417381, Tracked, 0.4072207, -0.29267, 1.402022, Tracked,
Kinect 2: 1.8577405, 0.2951578, -0.4114201, 1.509108, Tracked, 0.4220135, -0.07718424, 1.572673, Tracked, 0.5433542, 0.2416519, 1.620421, Tracked, 0.6494668, 0.3292989, 1.671799, Tracked, 0.3584664, 0.1562321, 1.500896, Tracked, 0.1893141, 0.007249751, 1.402668, Tracked, 0.2457975, -0.2083029, 1.342007, Tracked, 0.2564451, -0.2740371, 1.369846, Tracked, 0.6188875, -0.02734672, 1.708934, Inferred, 0.5692459, -0.2570677, 1.664853, Tracked, 0.4955036, -0.325188, 1.493449, Tracked, 0.4521372, -0.3482573, 1.461757, Tracked, 0.2307718, -0.3631874, 1.427476, Tracked, 0.1257829, -0.6473495, 1.354649, Tracked, -0.003062586, -1.025589, 1.303133, Inferred, 0.04302058, -1.057711, 1.187606, Inferred, 0.3462967, -0.4388747, 1.511019, Tracked, 0.3776085, -0.7041206, 1.439683, Tracked, 0.4388508, -1.13384, 1.382278, Inferred, 0.4944722, -1.143898, 1.274388, Inferred, 0.5142298, 0.1638778, 1.610853, Tracked, 0.2654016, -0.3516334, 1.350485, Tracked, 0.3166705, -0.2558768, 1.375827, Tracked, 0.407638, -0.3882445, 1.409751, Tracked, 0.4043368, -0.2776726, 1.412333, Tracked,
Kinect 2: 1.8897329, 0.2989815, -0.4119745, 1.507816, Tracked, 0.4307513, -0.07800929, 1.571723, Tracked, 0.5545084, 0.2402968, 1.620083, Tracked, 0.6613415, 0.3274124, 1.671298, Tracked, 0.368219, 0.1564849, 1.501885, Tracked, 0.1970235, 0.01064689, 1.403657, Tracked, 0.2488305, -0.2081024, 1.343166, Tracked, 0.2581063, -0.2725086, 1.368675, Tracked, 0.6271994, -0.008065788, 1.696593, Tracked, 0.5735545, -0.2604574, 1.658364, Tracked, 0.5683249, -0.352268, 1.483349, Tracked, 0.5680231, -0.3835804, 1.429087, Inferred, 0.2328915, -0.3638743, 1.42773, Tracked, 0.1257932, -0.6513, 1.354343, Tracked, -0.002965254, -1.025571, 1.302937, Inferred, 0.0409916, -1.056961, 1.185816, Inferred, 0.3510213, -0.4390027, 1.508737, Tracked, 0.3788655, -0.7048198, 1.438628, Tracked, 0.4348767, -1.135443, 1.383121, Inferred, 0.4886123, -1.14565, 1.2736, Inferred, 0.5249089, 0.162684, 1.610373, Tracked, 0.2733435, -0.3336554, 1.349086, Tracked, 0.3150251, -0.2455599, 1.376111, Tracked, 0.5227628, -0.4233455, 1.377414, Inferred, 0.5183928, -0.3124726, 1.380441, Inferred,
Kinect 2: 1.9239723, 0.3032964, -0.4130005, 1.507196, Tracked, 0.4381925, -0.07900397, 1.571784, Tracked, 0.5638338, 0.2392987, 1.620711, Tracked, 0.6699247, 0.327456, 1.67169, Tracked, 0.3774013, 0.1557137, 1.501569, Tracked, 0.204614, 0.008711132, 1.40421, Tracked, 0.249839, -0.2074207, 1.343724, Tracked, 0.2592906, -0.2692043, 1.371033, Tracked, 0.6310474, -0.00566409, 1.695471, Inferred, 0.5803496, -0.2581645, 1.662933, Tracked, 0.5667987, -0.3505554, 1.488574, Tracked, 0.5156724, -0.3686917, 1.512522, Inferred, 0.2366079, -0.3653697, 1.428532, Tracked, 0.1266927, -0.6611129, 1.358908, Tracked, 0.000606877, -1.027774, 1.314017, Inferred, 0.04479889, -1.060474, 1.197786, Inferred, 0.355271, -0.4394966, 1.507504, Tracked, 0.3821447, -0.7055624, 1.439388, Tracked, 0.4368066, -1.136593, 1.387016, Inferred, 0.4908146, -1.147497, 1.277996, Inferred, 0.5338054, 0.1616928, 1.61087, Tracked, 0.2681331, -0.3296866, 1.348562, Tracked, 0.3179058, -0.2460085, 1.375206, Tracked, 0.5126199, -0.3726406, 1.503586, Tracked, 0.5074824, -0.362836, 1.4885, Inferred,
Kinect 2: 1.9569735, 0.3111692, -0.4141425, 1.508024, Tracked, 0.4476625, -0.07967402, 1.572778, Tracked, 0.5737864, 0.2389774, 1.621461, Tracked, 0.684126, 0.3224771, 1.671976, Tracked, 0.3862836, 0.1562698, 1.503406, Tracked, 0.2127574, 0.009494066, 1.405723, Tracked, 0.2521105, -0.2071338, 1.344799, Tracked, 0.2606712, -0.267487, 1.372088, Tracked, 0.6384336, -0.003246342, 1.694794, Inferred, 0.5929551, -0.2561466, 1.670724, Tracked, 0.5594344, -0.3444628, 1.496616, Tracked, 0.503912, -0.3717291, 1.493268, Inferred, 0.2430239, -0.3670587, 1.431187, Tracked, 0.1299806, -0.6666287, 1.364774, Tracked, 0.003425508, -1.028772, 1.324532, Inferred, 0.04687564, -1.062334, 1.20838, Inferred, 0.3642001, -0.4400731, 1.507233, Tracked, 0.3865927, -0.7070646, 1.445725, Tracked, 0.4346083, -1.139583, 1.403787, Inferred, 0.4883555, -1.151947, 1.294788, Inferred, 0.5436792, 0.1612893, 1.611699, Tracked, 0.2663035, -0.3250257, 1.346842, Tracked, 0.3200842, -0.2440892, 1.374197, Tracked, 0.4843232, -0.4229688, 1.455395, Tracked, 0.484028, -0.3091609, 1.461625, Tracked,
Kinect 2: 1.9913306, 0.3148095, -0.4150241, 1.506491, Tracked, 0.4531904, -0.08010539, 1.572235, Tracked, 0.5817616, 0.2389588, 1.622187, Tracked, 0.69053, 0.3245538, 1.671499, Tracked, 0.393369, 0.155151, 1.500184, Tracked, 0.2209275, 0.009898333, 1.400766, Tracked, 0.2540404, -0.2053542, 1.343333, Tracked, 0.2634842, -0.2586471, 1.366762, Tracked, 0.6457118, -0.001657328, 1.694731, Inferred, 0.5945106, -0.2554405, 1.670681, Tracked, 0.5628406, -0.3442233, 1.496493, Tracked, 0.5100539, -0.3642657, 1.490943, Inferred, 0.2463148, -0.3680808, 1.430719, Tracked, 0.145737, -0.622112, 1.350646, Tracked, 0.0009275883, -1.023891, 1.280284, Inferred, 0.04490969, -1.053649, 1.162529, Inferred, 0.3676296, -0.4407344, 1.505034, Tracked, 0.3886814, -0.707736, 1.441452, Tracked, 0.4347214, -1.140297, 1.396167, Inferred, 0.4885977, -1.152655, 1.287451, Inferred, 0.550994, 0.1611598, 1.612064, Tracked, 0.2664075, -0.3032306, 1.344908, Tracked, 0.3275615, -0.2364096, 1.366548, Tracked, 0.4858362, -0.4130333, 1.449078, Tracked, 0.4830051, -0.3042877, 1.447167, Tracked,
Kinect 2: 2.0238011, 0.318385, -0.4157528, 1.505403, Tracked, 0.4585438, -0.08052027, 1.571694, Tracked, 0.5886312, 0.2388073, 1.622209, Tracked, 0.6964136, 0.3257155, 1.671337, Tracked, 0.40021, 0.155983, 1.501173, Tracked, 0.2258387, 0.01197617, 1.401181, Tracked, 0.2572758, -0.2053048, 1.342661, Tracked, 0.2650544, -0.2627885, 1.366483, Tracked, 0.6523408, -0.0008612269, 1.694315, Inferred, 0.5976604, -0.2540265, 1.670142, Tracked, 0.5671417, -0.3454145, 1.497192, Tracked, 0.515611, -0.362396, 1.48949, Tracked, 0.2494559, -0.3692884, 1.431446, Tracked, 0.1407968, -0.6478516, 1.35074, Tracked, 0.005098839, -1.026235, 1.287631, Inferred, 0.04875835, -1.056503, 1.170008, Inferred, 0.3719843, -0.4409816, 1.501871, Tracked, 0.3891745, -0.7083591, 1.438042, Tracked, 0.4293522, -1.141525, 1.392297, Inferred, 0.482731, -1.154184, 1.283269, Inferred, 0.5575226, 0.1609447, 1.611945, Tracked, 0.2657462, -0.3127828, 1.341121, Tracked, 0.3272843, -0.2470552, 1.368663, Tracked, 0.4897366, -0.4097686, 1.44799, Tracked, 0.4871529, -0.3083831, 1.448122, Tracked,
Kinect 2: 2.0569012, 0.3209333, -0.4152743, 1.503981, Tracked, 0.4627167, -0.08069842, 1.570338, Tracked, 0.5945218, 0.2375398, 1.620852, Tracked, 0.7029421, 0.3238739, 1.670207, Tracked, 0.4211753, 0.1559273, 1.498384, Tracked, 0.2367126, 0.02428489, 1.392893, Tracked, 0.2660336, -0.2057439, 1.333947, Tracked, 0.2737572, -0.264407, 1.353278, Tracked, 0.6580762, -0.00154024, 1.692708, Inferred, 0.6010396, -0.2540948, 1.669369, Tracked, 0.5732882, -0.344112, 1.495222, Tracked, 0.5223003, -0.3532705, 1.484081, Inferred, 0.2521055, -0.3688094, 1.430625, Tracked, 0.139645, -0.6475792, 1.350747, Inferred, 5.18885E-05, -1.023373, 1.289087, Inferred, 0.04509458, -1.055289, 1.173095, Inferred, 0.3738648, -0.4405726, 1.500315, Tracked, 0.3961182, -0.7071604, 1.433011, Inferred, 0.4442576, -1.139072, 1.381747, Inferred, 0.4991301, -1.151583, 1.274489, Inferred, 0.5629776, 0.1599864, 1.610594, Tracked, 0.2734424, -0.3108859, 1.329158, Tracked, 0.3372855, -0.2503617, 1.359242, Tracked, 0.4950927, -0.4095314, 1.444471, Tracked, 0.4956108, -0.3035361, 1.446857, Tracked,
Kinect 2: 2.089653, 0.3267684, -0.4167828, 1.505029, Tracked, 0.4690639, -0.08175741, 1.572087, Tracked, 0.6006448, 0.2370224, 1.62306, Tracked, 0.7073617, 0.3253532, 1.670894, Tracked, 0.4208116, 0.1559391, 1.499512, Tracked, 0.2387936, 0.01643044, 1.399757, Tracked, 0.269089, -0.1671854, 1.350588, Tracked, 0.279133, -0.215147, 1.378769, Tracked, 0.6640721, -0.001647481, 1.694697, Inferred, 0.6063293, -0.2526758, 1.671708, Inferred, 0.5803076, -0.3459109, 1.499118, Tracked, 0.5788528, -0.3420456, 1.524919, Inferred, 0.2575968, -0.3710879, 1.433692, Tracked, 0.1436794, -0.6500367, 1.355311, Tracked, 0.002734343, -1.025005, 1.295755, Inferred, 0.04682517, -1.056993, 1.179269, Inferred, 0.3799946, -0.4414297, 1.499889, Tracked, 0.39718, -0.7088149, 1.436977, Tracked, 0.4376455, -1.142015, 1.392623, Inferred, 0.4919603, -1.155365, 1.284878, Inferred, 0.5692084, 0.1593228, 1.612707, Tracked, 0.2818609, -0.2704494, 1.35679, Tracked, 0.3368406, -0.1864426, 1.384333, Tracked, 0.5594149, -0.3479627, 1.503003, Tracked, 0.5530031, -0.3233519, 1.4885, Tracked,
Kinect 2: 2.124655, 0.3308834, -0.4167347, 1.501323, Tracked, 0.4721307, -0.08192555, 1.569282, Tracked, 0.6027247, 0.2366623, 1.620954, Tracked, 0.7090422, 0.3255176, 1.670445, Tracked, 0.4203583, 0.1541732, 1.493319, Tracked, 0.2424053, 0.01409492, 1.390758, Tracked, 0.2677816, -0.2064358, 1.328954, Tracked, 0.2754183, -0.2628313, 1.354926, Inferred, 0.6661923, -0.001850189, 1.692479, Inferred, 0.6080762, -0.2522115, 1.669849, Inferred, 0.5829979, -0.3454356, 1.497123, Tracked, 0.5382515, -0.3515278, 1.487994, Inferred, 0.262055, -0.3701281, 1.428749, Tracked, 0.1461873, -0.6147776, 1.327531, Tracked, -0.04875142, -0.8658549, 1.377517, Inferred, 0.03210952, -0.7537412, 1.301616, Inferred, 0.3832193, -0.4420175, 1.497478, Tracked, 0.3991951, -0.7095087, 1.434935, Inferred, 0.4379018, -1.142902, 1.391128, Inferred, 0.4925514, -1.156344, 1.283722, Inferred, 0.5715233, 0.1590024, 1.61044, Tracked, 0.2752764, -0.3097318, 1.330104, Tracked, 0.3384575, -0.2439139, 1.353465, Tracked, 0.5158016, -0.4191827, 1.466095, Tracked, 0.5208925, -0.3228179, 1.461038, Tracked,
Kinect 2: 2.1569992, 0.3342205, -0.4163657, 1.50139, Tracked, 0.4750979, -0.08186628, 1.569803, Tracked, 0.6052511, 0.2364158, 1.621896, Tracked, 0.7126299, 0.3241509, 1.671369, Tracked, 0.4208127, 0.1538825, 1.494289, Tracked, 0.2446662, 0.01415944, 1.392215, Tracked, 0.268818, -0.2059716, 1.333384, Tracked, 0.2740693, -0.2671131, 1.364042, Inferred, 0.668691, -0.001964176, 1.693368, Inferred, 0.6107169, -0.2534498, 1.669243, Tracked, 0.6064388, -0.3485698, 1.496147, Tracked, 0.5572416, -0.347885, 1.504397, Inferred, 0.2651047, -0.3696347, 1.429915, Tracked, 0.149327, -0.615067, 1.331964, Tracked, -0.04470664, -0.8674181, 1.379757, Inferred, 0.03600124, -0.7553722, 1.303602, Inferred, 0.3867995, -0.441808, 1.496528, Tracked, 0.4011904, -0.7094836, 1.434687, Tracked, 0.4375555, -1.143159, 1.391957, Inferred, 0.4919655, -1.156691, 1.284335, Inferred, 0.5741621, 0.158827, 1.611278, Tracked, 0.2741387, -0.322608, 1.336866, Tracked, 0.3350182, -0.2455737, 1.365395, Tracked, 0.5468436, -0.3439145, 1.48552, Tracked, 0.5424209, -0.327109, 1.4735, Tracked,
